-,-,-
s
86.09,-5.49,180.34
86.09,-5.49,180.34
86.09,-5.49,180.33
86.09,-5.49,180.33
86.08,-5.49,180.34
86.09,-5.49,180.33
86.09,-5.49,180.33
86.10,-5.49,180.33
86.10,-5.50,180.34
86.10,-5.50,180.34
86.10,-5.50,180.33
86.09,-5.50,180.34
86.08,-5.50,180.34
86.08,-5.50,180.33
86.08,-5.50,180.33
86.08,-5.50,180.34
86.08,-5.50,180.34
86.09,-5.50,180.35
86.10,-5.50,180.35
86.10,-5.50,180.35
86.11,-5.50,180.36
86.11,-5.50,180.36
86.11,-5.50,180.36
86.11,-5.50,180.36
86.11,-5.50,180.36
86.11,-5.50,180.36
86.11,-5.50,180.36
86.11,-5.50,180.36
86.11,-5.50,180.37
86.11,-5.50,180.37
86.11,-5.50,180.38
86.11,-5.50,180.39
86.11,-5.51,180.39
86.12,-5.51,180.40
86.13,-5.51,180.40
86.13,-5.51,180.41
86.14,-5.52,180.41
86.15,-5.52,180.42
86.14,-5.52,180.41
86.13,-5.51,180.41
86.12,-5.52,180.41
86.12,-5.52,180.40
86.11,-5.52,180.40
86.11,-5.52,180.40
86.11,-5.52,180.39
86.10,-5.52,180.40
86.10,-5.52,180.40
86.10,-5.52,180.39
86.09,-5.52,180.39
86.08,-5.52,180.38
86.07,-5.52,180.38
86.07,-5.52,180.37
86.06,-5.52,180.36
86.06,-5.52,180.35
86.05,-5.52,180.35
86.03,-5.52,180.35
86.03,-5.52,180.35
86.03,-5.52,180.34
86.03,-5.52,180.34
86.02,-5.52,180.34
86.02,-5.52,180.34
86.01,-5.52,180.34
86.01,-5.52,180.34
86.02,-5.52,180.34
86.02,-5.51,180.34
86.02,-5.52,180.34
86.02,-5.51,180.34
86.02,-5.51,180.34
86.02,-5.51,180.35
86.02,-5.51,180.34
86.02,-5.51,180.35
86.02,-5.51,180.34
86.02,-5.51,180.34
86.02,-5.51,180.34
86.03,-5.51,180.35
86.04,-5.51,180.35
86.05,-5.51,180.35
86.05,-5.51,180.36
86.06,-5.51,180.37
86.07,-5.51,180.37
86.07,-5.51,180.37
86.07,-5.51,180.37
86.06,-5.51,180.37
86.07,-5.51,180.37
86.06,-5.51,180.37
86.06,-5.51,180.37
86.06,-5.51,180.38
86.06,-5.51,180.38
86.06,-5.51,180.37
86.06,-5.51,180.38
86.05,-5.51,180.38
86.05,-5.51,180.38
86.06,-5.51,180.37
86.06,-5.51,180.37
86.05,-5.51,180.37
86.04,-5.51,180.37
86.04,-5.51,180.38
86.04,-5.51,180.37
86.04,-5.51,180.36
86.04,-5.51,180.35
86.04,-5.51,180.35
86.04,-5.51,180.35
86.04,-5.52,180.35
86.04,-5.52,180.35
86.04,-5.52,180.36
86.04,-5.53,180.36
86.05,-5.53,180.35
86.05,-5.53,180.35
86.05,-5.53,180.35
86.05,-5.53,180.35
86.05,-5.53,180.36
86.04,-5.53,180.36
86.05,-5.53,180.35
86.05,-5.53,180.35
86.05,-5.53,180.35
86.05,-5.53,180.35
86.05,-5.53,180.35
86.04,-5.53,180.36
86.04,-5.53,180.35
86.04,-5.53,180.34
86.04,-5.53,180.34
86.04,-5.53,180.35
86.04,-5.53,180.34
86.04,-5.53,180.34
86.04,-5.53,180.35
86.05,-5.52,180.34
86.05,-5.52,180.34
86.06,-5.52,180.35
86.06,-5.52,180.35
86.07,-5.52,180.35
86.08,-5.52,180.35
86.09,-5.52,180.35
86.09,-5.52,180.36
86.10,-5.52,180.36
86.10,-5.52,180.37
86.10,-5.52,180.37
86.10,-5.52,180.37
86.10,-5.52,180.37
86.11,-5.51,180.37
86.11,-5.51,180.38
86.12,-5.51,180.39
86.13,-5.51,180.40
86.13,-5.51,180.40
86.14,-5.51,180.41
86.14,-5.51,180.42
86.14,-5.51,180.42
86.14,-5.51,180.42
86.15,-5.51,180.42
86.15,-5.51,180.43
86.15,-5.51,180.43
86.14,-5.51,180.43
86.14,-5.50,180.43
86.13,-5.50,180.43
86.12,-5.50,180.42
86.12,-5.50,180.42
86.12,-5.49,180.42
86.12,-5.49,180.41
86.13,-5.49,180.42
86.13,-5.49,180.42
86.13,-5.49,180.42
86.13,-5.49,180.43
86.13,-5.49,180.43
86.12,-5.49,180.43
86.12,-5.49,180.42
86.11,-5.49,180.42
86.10,-5.49,180.42
86.09,-5.49,180.42
86.09,-5.49,180.41
86.09,-5.49,180.41
86.09,-5.49,180.41
86.09,-5.49,180.40
86.09,-5.49,180.40
86.09,-5.49,180.40
86.09,-5.49,180.40
86.09,-5.49,180.41
86.09,-5.49,180.41
86.10,-5.49,180.42
86.11,-5.49,180.42
86.12,-5.49,180.42
86.12,-5.49,180.42
86.13,-5.49,180.42
86.13,-5.49,180.43
86.13,-5.49,180.44
86.13,-5.49,180.44
86.13,-5.49,180.45
86.13,-5.49,180.45
86.13,-5.49,180.45
86.13,-5.49,180.45
86.14,-5.49,180.45
86.13,-5.49,180.45
86.13,-5.49,180.45
86.13,-5.49,180.45
86.13,-5.49,180.44
86.12,-5.49,180.44
86.12,-5.49,180.43
86.11,-5.49,180.43
86.11,-5.49,180.43
86.11,-5.50,180.43
86.10,-5.50,180.43
86.10,-5.50,180.42
86.10,-5.50,180.42
86.11,-5.50,180.42
86.11,-5.50,180.42
86.10,-5.51,180.42
86.10,-5.51,180.43
86.09,-5.51,180.42
86.10,-5.51,180.42
86.09,-5.51,180.42
86.09,-5.52,180.43
86.08,-5.52,180.43
86.09,-5.52,180.44
86.09,-5.52,180.43
86.09,-5.52,180.43
86.09,-5.51,180.43
86.08,-5.51,180.44
86.09,-5.51,180.44
86.09,-5.51,180.45
86.08,-5.51,180.45
86.09,-5.51,180.45
86.09,-5.51,180.45
86.09,-5.51,180.46
86.09,-5.50,180.45
86.08,-5.50,180.45
86.08,-5.50,180.45
86.07,-5.50,180.44
86.07,-5.50,180.44
86.06,-5.49,180.44
86.05,-5.49,180.43
86.05,-5.49,180.43
86.05,-5.49,180.43
86.05,-5.49,180.43
86.05,-5.49,180.43
86.04,-5.49,180.43
86.04,-5.49,180.44
86.04,-5.49,180.44
86.05,-5.49,180.44
86.05,-5.49,180.44
86.04,-5.49,180.43
86.04,-5.48,180.43
86.05,-5.48,180.44
86.06,-5.48,180.45
86.07,-5.48,180.45
86.07,-5.48,180.46
86.08,-5.48,180.47
86.09,-5.48,180.47
86.09,-5.48,180.47
86.08,-5.48,180.47
86.08,-5.47,180.47
86.08,-5.47,180.47
86.08,-5.47,180.47
86.08,-5.47,180.47
86.08,-5.47,180.47
86.07,-5.47,180.46
86.07,-5.47,180.46
86.06,-5.47,180.46
86.06,-5.47,180.46
86.06,-5.47,180.45
86.05,-5.47,180.45
86.04,-5.47,180.44
86.03,-5.47,180.44
86.03,-5.47,180.43
86.02,-5.48,180.43
86.02,-5.48,180.43
86.03,-5.49,180.43
86.03,-5.49,180.44
86.03,-5.49,180.44
86.03,-5.49,180.44
86.03,-5.49,180.44
86.04,-5.49,180.45
86.04,-5.49,180.45
86.04,-5.49,180.45
86.04,-5.49,180.45
86.05,-5.49,180.45
86.05,-5.49,180.45
86.04,-5.49,180.45
86.04,-5.49,180.44
86.04,-5.49,180.44
86.04,-5.49,180.44
86.03,-5.49,180.44
86.03,-5.50,180.44
86.04,-5.49,180.44
86.04,-5.49,180.44
86.04,-5.49,180.44
86.05,-5.49,180.44
86.05,-5.49,180.44
86.05,-5.49,180.45
86.05,-5.50,180.44
86.04,-5.49,180.43
86.02,-5.50,180.42
86.01,-5.49,180.41
86.00,-5.49,180.40
86.00,-5.49,180.39
86.00,-5.49,180.39
86.01,-5.49,180.38
86.02,-5.48,180.38
86.02,-5.48,180.38
86.02,-5.48,180.38
86.03,-5.48,180.38
86.02,-5.48,180.38
86.02,-5.48,180.38
86.02,-5.48,180.39
86.02,-5.48,180.39
86.02,-5.48,180.39
86.03,-5.48,180.39
86.03,-5.48,180.39
86.03,-5.48,180.38
86.03,-5.47,180.38
86.03,-5.47,180.39
86.03,-5.47,180.39
86.03,-5.47,180.39
86.03,-5.47,180.39
86.03,-5.47,180.38
86.02,-5.47,180.38
86.02,-5.47,180.38
86.01,-5.47,180.37
86.01,-5.47,180.37
86.01,-5.47,180.37
86.01,-5.47,180.37
86.01,-5.47,180.37
