X,Y,Z
-80.14,48.02,354.70
-79.64,48.07,355.33
-79.15,48.11,355.93
-78.65,48.13,356.51
-78.14,48.12,357.07
-77.61,48.07,357.65
-77.08,48.00,358.23
-76.52,47.91,358.85
-75.94,47.78,359.51
-75.33,47.63,0.23
-74.69,47.45,0.99
-74.01,47.26,1.82
-73.29,47.04,2.70
-72.52,46.79,3.64
-71.70,46.51,4.64
-70.85,46.21,5.69
-69.96,45.89,6.80
-69.06,45.56,7.95
-68.15,45.23,9.13
-67.25,44.91,10.35
-66.42,44.60,11.59
-65.83,44.36,12.67
-65.85,44.24,13.30
-66.41,44.19,13.61
-67.19,44.16,13.69
-68.16,44.21,13.56
-69.34,44.32,13.18
-70.63,44.49,12.55
-71.97,44.71,11.66
-73.30,44.96,10.52
-74.59,45.23,9.15
-75.82,45.51,7.56
-76.98,45.78,5.75
-78.09,46.05,3.74
-79.21,46.30,1.50
-80.39,46.51,359.06
-81.64,46.68,356.45
-82.96,46.79,353.71
-84.34,46.86,350.90
-85.75,46.88,348.07
-87.16,46.86,345.26
-88.55,46.80,342.52
-89.87,46.71,339.88
-91.11,46.58,337.37
-92.23,46.41,335.03
-93.24,46.19,332.86
-94.11,45.92,330.91
-94.85,45.61,329.19
-95.44,45.26,327.72
-95.90,44.87,326.48
-96.30,44.44,325.46
-96.60,43.97,324.72
-96.76,43.47,324.25
-96.74,42.95,324.08
-96.56,42.43,324.20
-96.25,41.90,324.63
-95.77,41.39,325.36
-95.14,40.88,326.38
-94.38,40.39,327.68
-93.54,39.88,329.21
-92.65,39.36,330.93
-91.75,38.82,332.80
-90.85,38.25,334.80
-89.96,37.68,336.89
-89.10,37.11,339.04
-88.28,36.55,341.24
-87.52,36.01,343.48
-86.78,35.49,345.75
-86.07,35.01,348.07
-85.34,34.57,350.43
-84.58,34.20,352.85
-83.78,33.86,355.33
-82.96,33.53,357.85
-82.11,33.21,0.38
-81.22,32.87,2.92
-80.33,32.53,5.43
-79.52,32.17,7.81
-78.84,31.80,10.05
-78.26,31.43,12.15
-77.77,31.07,14.16
-77.39,30.74,16.03
-77.16,30.43,17.72
-77.12,30.15,19.15
-77.25,29.91,20.27
-77.51,29.69,21.07
-77.86,29.50,21.53
-78.26,29.32,21.69
-78.70,29.17,21.53
-79.19,29.06,21.06
-79.73,28.99,20.29
-80.35,28.96,19.21
-81.08,28.95,17.79
-81.95,28.96,16.00
-82.98,28.97,13.80
-84.10,28.98,11.23
-85.30,29.00,8.32
-86.59,29.00,5.11
-87.96,28.97,1.65
-89.36,28.91,358.03
-90.75,28.81,354.31
-92.11,28.68,350.54
-93.42,28.51,346.75
-94.68,28.29,342.97
