X,Y,Z
76.78,-1.25,358.93
76.79,0.12,358.67
76.80,1.43,358.50
77.01,2.55,358.39
77.26,3.57,358.31
77.41,4.47,358.23
77.47,5.07,358.11
77.53,5.26,357.94
77.52,5.16,357.71
77.45,4.87,357.41
77.32,4.40,357.04
77.15,3.76,356.62
76.93,2.98,356.19
76.68,2.07,355.78
76.40,1.05,355.44
76.12,-0.05,355.19
75.83,-1.21,355.05
75.53,-2.42,355.01
75.21,-3.67,355.06
74.85,-4.93,355.20
74.47,-6.17,355.40
74.08,-7.39,355.65
73.71,-8.57,355.93
73.35,-9.71,356.21
73.00,-10.80,356.50
72.67,-11.78,356.79
72.37,-12.62,357.08
72.14,-13.29,357.36
71.94,-13.85,357.65
71.79,-14.33,357.93
71.66,-14.75,358.20
71.53,-15.12,358.47
71.33,-15.47,358.72
71.00,-15.87,358.96
70.54,-16.37,359.19
70.01,-16.96,359.43
69.50,-17.63,359.67
69.09,-18.32,359.93
68.79,-18.99,0.18
68.58,-19.60,0.42
68.44,-20.15,0.63
68.36,-20.69,0.81
68.35,-21.23,0.95
68.41,-21.75,1.06
68.57,-22.25,1.12
68.84,-22.72,1.15
69.22,-23.07,1.15
69.98,-23.00,1.02
70.85,-22.57,0.73
71.91,-21.83,0.35
73.19,-20.79,359.81
74.60,-19.39,359.14
75.99,-17.79,358.53
77.19,-16.16,358.09
78.09,-14.57,357.89
78.70,-13.01,357.98
79.11,-11.53,358.26
79.41,-10.20,358.62
79.55,-9.10,358.97
79.59,-8.25,359.23
79.56,-7.55,359.33
79.49,-6.94,359.31
79.36,-6.39,359.29
79.22,-5.88,359.28
79.10,-5.40,359.30
79.01,-4.95,359.32
78.97,-4.51,359.32
78.97,-4.09,359.27
79.01,-3.66,359.19
79.07,-3.23,359.09
79.15,-2.81,358.97
79.23,-2.42,358.85
79.31,-2.08,358.75
79.38,-1.80,358.66
79.42,-1.56,358.58
79.45,-1.36,358.52
79.46,-1.21,358.48
79.45,-1.10,358.46
79.45,-1.04,358.45
79.44,-1.01,358.44
79.43,-0.99,358.44
79.43,-0.98,358.44
79.44,-0.95,358.43
79.46,-0.92,358.42
79.49,-0.89,358.41
79.51,-0.87,358.40
79.53,-0.87,358.40
79.52,-0.86,358.40
79.49,-0.85,358.41
79.46,-0.84,358.42
79.41,-0.83,358.43
79.37,-0.82,358.44
79.32,-0.81,358.45
79.28,-0.80,358.46
79.25,-0.79,358.46
79.21,-0.79,358.46
79.18,-0.78,358.47
79.15,-0.77,358.48
79.11,-0.76,358.49
79.08,-0.75,358.50
79.04,-0.73,358.52
79.02,-0.71,358.54
79.00,-0.70,358.57
78.98,-0.68,358.59
78.97,-0.67,358.61
78.97,-0.65,358.64
78.96,-0.62,358.66
78.95,-0.59,358.67
78.95,-0.54,358.68
78.97,-0.47,358.69
78.98,-0.39,358.70
78.98,-0.30,358.70
78.97,-0.18,358.69
78.94,-0.05,358.67
78.86,0.07,358.63
78.77,0.20,358.58
78.69,0.37,358.54
78.66,0.61,358.51
78.68,0.95,358.48
78.69,1.34,358.44
78.70,1.78,358.41
78.74,2.28,358.39
78.78,2.84,358.36
78.82,3.46,358.34
78.89,4.14,358.32
78.99,4.89,358.30
79.11,5.72,358.27
79.28,6.63,358.23
79.50,7.62,358.17
79.76,8.70,358.10
80.05,9.89,358.04
80.40,11.22,357.98
80.82,12.75,357.92
81.28,14.50,357.83
81.75,16.53,357.72
82.20,18.82,357.60
82.60,21.39,357.46
82.89,24.21,357.31
83.00,27.23,357.15
82.89,30.36,356.96
82.51,33.51,356.68
81.85,36.62,356.27
81.03,39.64,355.71
80.16,42.53,354.99
79.20,45.31,354.06
78.31,48.14,352.86
77.67,50.08,351.50
77.36,50.67,350.49
77.28,50.44,350.04
77.57,49.62,350.14
78.15,48.35,350.42
78.77,46.75,350.63
79.19,45.02,350.71
79.31,43.26,350.73
79.15,41.50,350.71
78.82,39.73,350.66
78.43,37.94,350.63
78.05,36.10,350.69
77.74,34.21,350.87
77.50,32.25,351.17
77.32,30.21,351.58
77.16,28.09,352.07
76.99,25.89,352.60
76.79,23.65,353.11
76.53,21.36,353.58
76.19,19.03,353.98
75.75,16.66,354.31
75.21,14.26,354.56
74.59,11.83,354.74
73.93,9.42,354.87
73.27,7.04,355.00
