X,Y,Z
78.94,-2.65,14.25
78.74,-2.21,14.22
78.65,-1.75,13.93
78.72,-0.81,13.50
78.63,0.45,13.05
78.52,1.64,12.71
78.47,2.54,12.57
78.55,3.03,12.59
78.79,3.15,12.72
79.00,3.00,12.88
79.05,2.73,12.96
78.92,2.42,12.85
78.62,2.00,12.55
78.27,1.40,12.11
77.98,0.59,11.59
77.79,-0.41,11.05
77.65,-1.56,10.51
77.50,-2.82,9.99
77.30,-4.18,9.52
77.07,-5.61,9.14
76.83,-7.08,8.85
76.58,-8.58,8.69
76.33,-10.09,8.64
76.06,-11.56,8.70
75.77,-12.97,8.84
75.46,-14.30,9.07
75.15,-15.50,9.38
74.83,-16.57,9.75
74.47,-17.53,10.18
74.09,-18.37,10.63
73.68,-19.09,11.10
73.21,-19.72,11.57
72.68,-20.33,12.04
72.12,-20.89,12.50
71.58,-21.42,12.93
71.07,-21.91,13.32
70.63,-22.41,13.66
70.29,-22.91,13.91
70.08,-23.39,14.06
70.00,-23.81,14.08
70.04,-24.18,13.95
70.15,-24.51,13.68
70.35,-24.81,13.30
70.65,-25.03,12.82
71.03,-25.16,12.27
71.47,-25.21,11.67
71.96,-25.18,11.05
72.49,-25.08,10.42
73.06,-24.89,9.80
73.62,-24.62,9.21
74.16,-24.27,8.68
74.67,-23.85,8.22
75.46,-23.11,7.84
76.44,-22.01,7.44
77.52,-20.72,7.09
78.71,-19.28,6.76
79.97,-17.78,6.48
81.15,-16.24,6.31
82.10,-14.68,6.31
82.86,-13.10,6.49
83.38,-11.53,6.85
83.70,-10.00,7.32
83.87,-8.63,7.81
83.94,-7.46,8.23
83.94,-6.48,8.51
83.87,-5.65,8.62
83.74,-4.95,8.64
83.56,-4.37,8.61
83.36,-3.87,8.57
83.15,-3.43,8.54
82.95,-3.04,8.52
82.79,-2.68,8.47
82.67,-2.33,8.40
82.59,-2.02,8.32
82.55,-1.73,8.23
82.56,-1.48,8.15
82.63,-1.28,8.09
82.74,-1.13,8.05
82.88,-1.05,8.02
83.00,-1.02,8.00
83.11,-1.01,7.98
83.18,-1.01,7.97
83.25,-1.01,7.96
83.29,-1.01,7.97
83.31,-1.02,7.97
83.30,-1.04,7.98
83.27,-1.05,8.00
83.21,-1.06,8.01
83.14,-1.08,8.03
83.05,-1.08,8.04
82.95,-1.09,8.05
82.86,-1.10,8.07
82.76,-1.10,8.09
82.66,-1.10,8.10
82.57,-1.11,8.11
82.48,-1.11,8.13
82.40,-1.11,8.14
82.31,-1.12,8.15
82.23,-1.12,8.16
82.15,-1.13,8.18
82.07,-1.15,8.18
82.00,-1.16,8.19
81.92,-1.17,8.19
81.84,-1.18,8.19
81.76,-1.20,8.19
81.69,-1.21,8.20
81.62,-1.22,8.20
81.56,-1.23,8.21
81.50,-1.24,8.22
81.45,-1.25,8.24
81.40,-1.26,8.26
81.36,-1.27,8.28
81.33,-1.27,8.30
81.30,-1.28,8.32
81.26,-1.29,8.35
81.24,-1.30,8.37
81.21,-1.30,8.39
81.19,-1.30,8.42
81.16,-1.29,8.45
81.12,-1.27,8.48
81.07,-1.25,8.52
81.04,-1.20,8.56
81.01,-1.12,8.59
80.97,-1.02,8.61
80.93,-0.87,8.62
80.81,-0.68,8.59
80.68,-0.46,8.54
80.59,-0.13,8.50
80.52,0.34,8.48
80.53,0.87,8.46
80.58,1.46,8.44
80.67,2.13,8.42
80.77,2.90,8.39
80.89,3.72,8.37
81.02,4.61,8.34
81.20,5.58,8.33
81.42,6.64,8.31
81.72,7.81,8.30
82.08,9.12,8.29
82.50,10.62,8.25
82.99,12.34,8.21
83.50,14.28,8.17
84.00,16.47,8.15
84.49,18.90,8.15
84.92,21.54,8.17
85.28,24.37,8.20
85.63,27.31,8.29
85.89,30.31,8.40
86.12,33.28,8.57
86.28,36.19,8.71
86.34,39.02,8.79
86.19,41.76,8.76
85.99,44.70,8.57
85.93,47.16,8.06
85.86,48.32,7.34
85.71,48.48,6.76
85.64,48.00,6.46
85.75,46.89,6.32
85.98,45.35,6.21
86.16,43.53,6.06
86.25,41.60,5.90
86.21,39.65,5.74
86.05,37.72,5.55
85.83,35.83,5.33
85.58,33.93,5.08
85.29,32.00,4.83
84.95,30.00,4.58
84.52,27.90,4.34
84.03,25.67,4.13
83.47,23.33,3.97
82.82,20.91,3.87
82.12,18.46,3.82
81.39,16.06,3.83
80.64,13.73,3.88
79.89,11.41,3.96
79.12,9.10,4.04
78.36,6.80,4.14
77.65,4.53,4.27
76.99,2.29,4.49
76.40,0.09,4.81
75.83,-2.00,5.23
75.22,-4.00,5.75
74.52,-5.89,6.34
73.72,-7.70,6.97
72.82,-9.42,7.64
71.94,-10.99,8.31
71.10,-12.39,8.98
70.31,-13.64,9.64
69.57,-14.78,10.27
68.86,-15.89,10.84
68.12,-17.01,11.33
67.36,-18.17,11.75
66.59,-19.37,12.12
65.86,-20.54,12.46
65.26,-21.60,12.79
64.82,-22.52,13.09
64.57,-23.28,13.35
64.47,-23.89,13.53
64.50,-24.36,13.63
64.65,-24.71,13.66
64.91,-24.94,13.62
65.33,-25.06,13.54
65.93,-25.10,13.45
66.81,-24.86,13.30
68.12,-23.75,12.92
69.43,-22.36,12.49
71.18,-20.74,12.09
73.13,-18.95,11.71
74.32,-16.98,11.65
75.01,-14.73,12.00
75.57,-12.35,12.39
75.96,-10.21,12.70
76.16,-8.58,12.89
76.25,-7.42,12.84
76.26,-6.52,12.62
76.22,-5.82,12.37
76.16,-5.24,12.19
76.11,-4.76,12.07
76.09,-4.43,12.01
76.10,-4.22,11.98
76.13,-4.06,11.96
76.18,-3.93,11.96
76.25,-3.81,11.96
76.35,-3.69,11.96
76.46,-3.57,11.96
76.58,-3.45,11.96
76.68,-3.34,11.96
76.76,-3.24,11.98
76.79,-3.14,11.99
76.79,-3.05,12.01
76.73,-2.96,12.04
76.63,-2.88,12.07
76.49,-2.80,12.11
76.33,-2.74,12.15
76.17,-2.68,12.19
76.02,-2.62,12.23
75.91,-2.56,12.26
75.83,-2.50,12.29
75.79,-2.43,12.30
75.78,-2.36,12.31
75.79,-2.28,12.31
75.80,-2.20,12.31
75.82,-2.11,12.31
75.82,-2.03,12.31
75.83,-1.94,12.31
75.82,-1.85,12.32
75.81,-1.76,12.33
75.78,-1.67,12.34
75.75,-1.57,12.35
75.71,-1.48,12.36
75.66,-1.38,12.38
75.62,-1.27,12.39
75.58,-1.16,12.41
75.53,-1.04,12.42
75.50,-0.92,12.43
75.47,-0.79,12.44
75.45,-0.67,12.44
75.44,-0.54,12.44
75.44,-0.39,12.42
75.46,-0.25,12.39
75.49,-0.10,12.36
75.52,0.06,12.31
75.58,0.24,12.25
75.58,0.47,12.15
75.55,0.80,12.04
75.59,1.23,11.94
75.66,1.78,11.86
75.66,2.36,11.77
75.66,3.01,11.70
75.66,3.72,11.64
75.68,4.48,11.58
75.70,5.31,11.52
75.75,6.21,11.45
75.85,7.20,11.39
76.02,8.29,11.31
76.18,9.44,11.22
76.36,10.66,11.10
76.63,11.99,10.99
76.96,13.49,10.87
77.36,15.20,10.72
77.76,17.17,10.53
78.06,19.42,10.29
78.21,21.91,9.97
78.19,24.65,9.56
77.96,27.59,9.08
77.60,30.70,8.55
77.10,33.83,7.97
76.63,36.94,7.34
76.28,39.97,6.67
75.93,42.84,5.95
75.51,45.56,5.16
75.03,48.40,4.22
74.73,50.82,3.07
74.94,51.88,2.20
75.42,51.78,1.88
76.04,50.93,2.04
76.66,49.57,2.39
77.26,47.95,2.76
77.76,46.19,3.05
78.09,44.42,3.27
78.29,42.69,3.47
78.40,40.98,3.64
78.48,39.25,3.81
78.57,37.47,3.98
78.64,35.60,4.17
78.66,33.63,4.36
78.62,31.56,4.55
78.49,29.37,4.75
78.30,27.09,4.97
78.03,24.75,5.19
77.72,22.41,5.42
77.39,20.12,5.65
77.02,17.87,5.86
76.60,15.65,6.05
76.07,13.46,6.17
75.42,11.31,6.22
74.69,9.23,6.20
73.93,7.24,6.12
73.15,5.30,6.04
72.36,3.40,5.98
71.58,1.52,6.00
70.83,-0.33,6.11
70.13,-2.11,6.33
69.47,-3.78,6.67
68.82,-5.28,7.09
68.11,-6.59,7.56
67.28,-7.76,8.09
66.31,-8.87,8.69
65.29,-9.97,9.40
64.30,-11.09,10.24
63.42,-12.23,11.22
62.74,-13.38,12.32
62.29,-14.51,13.44
62.01,-15.60,14.52
61.82,-16.61,15.45
61.64,-17.52,16.17
61.41,-18.35,16.66
61.11,-19.08,16.95
60.79,-19.69,17.06
60.53,-20.20,17.05
60.42,-20.61,16.98
60.79,-20.68,16.85
61.71,-20.23,16.60
63.05,-19.48,16.32
65.11,-18.36,15.92
67.50,-16.94,15.44
69.20,-15.17,15.16
70.02,-13.23,15.31
70.66,-11.17,15.54
71.14,-9.28,15.64
71.44,-7.75,15.64
71.59,-6.53,15.51
71.65,-5.62,15.26
71.65,-4.89,14.98
71.61,-4.28,14.73
71.59,-3.80,14.54
71.59,-3.49,14.43
71.62,-3.33,14.36
71.68,-3.26,14.33
71.74,-3.22,14.33
71.81,-3.18,14.32
71.91,-3.15,14.30
72.02,-3.13,14.29
72.13,-3.11,14.27
72.25,-3.10,14.26
72.35,-3.09,14.25
72.42,-3.09,14.25
72.45,-3.10,14.25
72.45,-3.11,14.26
72.40,-3.12,14.28
72.32,-3.14,14.30
72.22,-3.16,14.33
72.11,-3.18,14.36
72.01,-3.20,14.39
71.92,-3.22,14.40
71.87,-3.23,14.41
71.84,-3.23,14.41
71.83,-3.24,14.40
71.85,-3.24,14.39
71.89,-3.23,14.37
71.94,-3.22,14.35
71.99,-3.22,14.33
72.03,-3.20,14.32
72.08,-3.19,14.30
72.12,-3.17,14.29
72.16,-3.15,14.28
72.20,-3.13,14.28
72.23,-3.11,14.28
72.27,-3.09,14.28
72.30,-3.07,14.29
72.32,-3.04,14.29
72.35,-3.01,14.30
72.38,-2.98,14.31
72.41,-2.93,14.32
72.43,-2.88,14.33
72.46,-2.83,14.34
72.48,-2.77,14.35
72.50,-2.71,14.37
72.52,-2.64,14.38
72.54,-2.56,14.38
72.56,-2.47,14.38
72.58,-2.38,14.37
72.60,-2.27,14.34
72.58,-2.13,14.29
72.50,-1.99,14.20
72.45,-1.78,14.10
72.43,-1.45,14.00
72.48,-0.99,13.91
72.54,-0.42,13.81
72.61,0.19,13.71
72.70,0.88,13.61
72.80,1.65,13.50
72.90,2.50,13.37
73.01,3.44,13.23
73.11,4.48,13.08
73.25,5.60,12.91
73.45,6.85,12.74
73.72,8.22,12.52
74.06,9.77,12.24
74.45,11.50,11.90
74.85,13.45,11.50
75.15,15.62,11.01
75.30,18.04,10.43
75.29,20.71,9.76
75.09,23.57,9.02
74.71,26.56,8.21
74.17,29.60,7.32
73.61,32.64,6.40
73.09,35.63,5.44
72.50,38.57,4.40
71.69,41.40,3.25
70.62,44.31,1.94
69.50,47.05,0.27
68.69,48.60,358.66
68.20,48.87,357.68
68.12,48.46,357.47
68.44,47.43,357.87
69.09,45.96,358.63
69.87,44.26,359.51
70.60,42.48,0.38
71.25,40.71,1.21
71.83,38.98,1.99
72.38,37.23,2.69
72.92,35.38,3.32
73.39,33.41,3.88
73.72,31.35,4.35
73.87,29.21,4.74
73.85,26.99,5.07
73.66,24.67,5.34
73.38,22.27,5.61
73.05,19.84,5.88
72.73,17.42,6.16
72.43,15.06,6.46
72.12,12.75,6.73
71.76,10.46,6.97
71.32,8.16,7.13
70.81,5.85,7.23
70.29,3.57,7.28
69.81,1.35,7.30
69.39,-0.78,7.32
69.04,-2.81,7.39
68.66,-4.76,7.52
68.14,-6.66,7.77
67.43,-8.51,8.19
66.53,-10.26,8.81
65.45,-11.82,9.58
64.28,-13.13,10.47
63.07,-14.22,11.46
61.87,-15.18,12.55
60.74,-16.13,13.72
59.80,-17.15,14.95
59.09,-18.22,16.19
58.59,-19.26,17.32
58.23,-20.20,18.26
57.89,-21.00,18.92
57.48,-21.68,19.32
56.98,-22.27,19.50
56.50,-22.78,19.55
56.15,-23.16,19.53
56.04,-23.38,19.52
56.16,-23.46,19.51
56.72,-23.16,19.43
57.74,-22.32,19.13
59.02,-21.23,18.77
61.00,-19.82,18.21
63.26,-18.11,17.52
64.76,-16.08,17.01
65.59,-13.92,16.88
66.28,-11.79,16.80
66.84,-9.89,16.63
67.21,-8.44,16.45
67.40,-7.38,16.23
67.52,-6.60,15.96
67.58,-6.01,15.69
67.58,-5.54,15.47
67.57,-5.17,15.31
67.59,-4.88,15.21
67.66,-4.68,15.15
67.79,-4.57,15.12
67.94,-4.49,15.09
68.07,-4.43,15.08
68.24,-4.38,15.06
68.41,-4.34,15.04
68.58,-4.30,15.03
68.74,-4.28,15.01
68.87,-4.25,15.00
68.97,-4.23,15.00
69.04,-4.22,15.00
69.06,-4.21,15.01
69.05,-4.18,15.02
69.01,-4.15,15.03
68.95,-4.12,15.05
68.87,-4.09,15.06
68.80,-4.07,15.08
68.74,-4.04,15.09
68.69,-4.01,15.10
68.66,-3.98,15.11
68.65,-3.95,15.10
68.67,-3.91,15.09
68.68,-3.87,15.08
68.71,-3.84,15.07
68.72,-3.80,15.06
68.73,-3.76,15.06
68.74,-3.72,15.05
68.74,-3.68,15.05
68.75,-3.65,15.05
68.76,-3.61,15.04
68.77,-3.58,15.04
68.78,-3.54,15.03
68.80,-3.51,15.03
68.82,-3.48,15.02
68.84,-3.45,15.02
68.87,-3.41,15.02
68.89,-3.37,15.02
68.92,-3.33,15.02
68.94,-3.29,15.02
68.96,-3.23,15.02
68.99,-3.17,15.02
69.02,-3.10,15.02
69.06,-3.02,15.02
69.08,-2.94,15.01
69.10,-2.86,15.01
69.10,-2.76,14.99
69.09,-2.66,14.97
69.05,-2.54,14.93
68.98,-2.40,14.86
68.89,-2.21,14.78
68.81,-1.94,14.69
68.72,-1.57,14.61
68.61,-1.09,14.53
68.55,-0.55,14.43
68.52,0.06,14.32
68.52,0.75,14.20
68.55,1.50,14.07
68.59,2.32,13.91
68.67,3.21,13.73
68.80,4.17,13.51
68.97,5.19,13.27
69.17,6.27,13.01
69.39,7.47,12.73
69.66,8.85,12.43
69.99,10.44,12.07
70.34,12.25,11.64
70.64,14.28,11.15
70.86,16.56,10.59
70.93,19.10,9.97
70.78,21.85,9.25
70.46,24.80,8.46
69.98,27.87,7.58
69.42,30.99,6.66
68.99,34.15,5.72
68.63,37.27,4.75
68.15,40.33,3.72
67.44,43.27,2.59
66.44,46.18,1.28
65.16,49.03,359.62
64.12,50.81,358.02
63.83,51.25,357.28
64.34,50.85,357.53
65.44,49.73,358.54
66.76,48.13,359.86
68.04,46.27,1.10
69.13,44.29,2.14
69.92,42.28,2.98
70.46,40.24,3.64
70.87,38.14,4.16
71.26,35.97,4.55
71.66,33.72,4.83
72.04,31.40,5.00
72.34,29.03,5.08
72.49,26.62,5.05
72.48,24.15,4.96
72.30,21.65,4.83
72.01,19.14,4.70
71.64,16.64,4.63
71.22,14.18,4.63
70.75,11.75,4.69
70.23,9.33,4.82
69.68,6.91,4.99
69.10,4.52,5.22
68.52,2.18,5.52
67.94,-0.10,5.92
67.37,-2.28,6.44
66.80,-4.33,7.09
66.20,-6.27,7.88
65.51,-8.09,8.77
64.69,-9.77,9.74
63.75,-11.31,10.74
62.74,-12.73,11.75
61.71,-14.00,12.77
60.69,-15.17,13.78
59.73,-16.26,14.78
58.86,-17.34,15.76
58.05,-18.46,16.74
57.36,-19.61,17.66
56.81,-20.72,18.47
56.37,-21.72,19.13
56.01,-22.55,19.61
55.72,-23.21,19.92
55.48,-23.71,20.09
55.35,-24.10,20.16
55.41,-24.33,20.14
55.88,-24.15,19.98
56.71,-23.51,19.63
57.83,-22.60,19.25
59.56,-21.42,18.76
61.90,-19.92,18.13
63.90,-18.12,17.56
64.87,-16.12,17.33
65.54,-13.99,17.31
66.10,-11.86,17.21
66.47,-9.97,17.08
66.67,-8.44,16.94
66.74,-7.29,16.73
66.74,-6.45,16.44
66.68,-5.78,16.16
66.61,-5.24,15.94
66.56,-4.80,15.76
66.56,-4.45,15.62
66.62,-4.22,15.53
66.74,-4.08,15.46
66.90,-3.99,15.42
67.09,-3.93,15.39
67.29,-3.87,15.35
67.52,-3.82,15.31
67.75,-3.79,15.28
67.96,-3.76,15.26
68.14,-3.74,15.24
68.29,-3.72,15.22
68.40,-3.71,15.22
68.47,-3.70,15.22
68.50,-3.70,15.22
68.50,-3.69,15.23
