X,Y,Z
106.20,-19.00,15.20
106.22,-19.02,14.81
106.19,-18.90,14.43
106.50,-18.37,14.23
107.11,-17.42,14.22
108.12,-16.26,14.35
109.18,-14.87,14.59
110.30,-13.41,14.94
111.20,-11.95,15.44
111.97,-10.56,15.90
112.71,-9.33,16.25
113.03,-8.28,16.59
112.91,-7.42,16.86
112.54,-6.79,17.03
112.05,-6.32,17.10
111.41,-5.92,17.12
110.66,-5.57,17.11
109.92,-5.30,17.10
109.33,-5.14,17.09
108.93,-5.03,17.10
108.67,-4.94,17.09
108.51,-4.89,17.08
108.40,-4.84,17.06
108.34,-4.79,17.04
108.30,-4.75,17.03
108.27,-4.70,17.01
108.25,-4.66,17.00
108.22,-4.64,16.99
108.19,-4.62,16.99
108.15,-4.61,16.98
108.09,-4.60,16.97
108.03,-4.59,16.96
107.97,-4.58,16.95
107.92,-4.58,16.94
107.88,-4.57,16.93
107.87,-4.56,16.91
107.89,-4.53,16.90
107.96,-4.49,16.88
108.07,-4.44,16.85
108.21,-4.38,16.82
108.37,-4.30,16.78
108.55,-4.23,16.74
108.75,-4.14,16.70
108.94,-4.03,16.65
109.15,-3.90,16.60
109.36,-3.75,16.54
109.56,-3.61,16.48
109.74,-3.49,16.43
109.89,-3.39,16.39
110.05,-3.28,16.35
110.24,-3.15,16.29
110.46,-3.01,16.24
110.71,-2.85,16.19
110.99,-2.69,16.14
111.29,-2.52,16.10
111.62,-2.35,16.06
111.99,-2.16,16.04
112.39,-1.95,16.03
112.81,-1.72,16.05
113.22,-1.48,16.07
113.65,-1.21,16.11
114.10,-0.93,16.16
114.58,-0.62,16.23
115.11,-0.25,16.31
115.64,0.16,16.41
116.15,0.59,16.52
116.62,1.04,16.65
117.05,1.51,16.81
117.44,2.00,16.98
117.81,2.54,17.18
118.14,3.15,17.40
118.40,3.74,17.63
118.61,4.41,17.90
118.74,5.07,18.19
118.80,5.79,18.52
118.75,6.58,18.89
118.64,7.45,19.31
118.48,8.40,19.76
118.36,9.47,20.26
118.25,10.65,20.78
118.18,11.97,21.34
118.11,13.41,21.96
118.04,14.99,22.64
117.95,16.70,23.40
117.85,18.58,24.22
117.76,20.66,25.10
117.66,22.97,26.02
117.54,25.56,26.93
117.33,28.40,27.77
117.08,31.46,28.52
116.78,34.63,29.17
116.57,37.77,29.72
116.48,40.82,30.18
116.43,43.80,30.55
116.37,46.72,30.71
116.43,49.41,30.70
116.80,51.84,30.68
117.24,53.95,30.55
117.06,55.55,29.93
115.89,56.67,28.43
114.39,57.32,26.47
112.22,57.03,24.19
109.69,56.05,21.78
107.33,54.79,19.53
105.38,53.37,17.57
103.83,51.81,15.96
102.58,50.20,14.70
101.59,48.55,13.78
100.80,46.84,13.20
100.19,45.07,12.93
99.75,43.26,12.94
99.46,41.36,13.24
99.32,39.37,13.80
99.30,37.23,14.59
99.40,34.91,15.61
99.59,32.45,16.78
99.78,29.88,18.02
99.85,27.27,19.22
99.74,24.70,20.35
99.48,22.23,21.39
99.08,19.85,22.33
98.58,17.52,23.16
98.05,15.19,23.90
97.56,12.83,24.58
97.13,10.43,25.20
96.75,8.01,25.75
96.36,5.60,26.25
95.95,3.23,26.68
95.46,0.91,27.07
94.89,-1.36,27.42
94.25,-3.61,27.78
93.52,-5.84,28.19
92.72,-8.05,28.67
91.86,-10.19,29.25
90.97,-12.23,29.94
90.05,-14.08,30.75
89.09,-15.73,31.65
88.09,-17.16,32.63
87.06,-18.39,33.64
