X,Y,Z
65.36,-25.09,186.22
66.13,-24.53,185.56
67.24,-23.43,184.63
68.51,-22.27,183.71
70.00,-21.09,182.81
71.56,-19.88,181.93
72.97,-18.57,181.19
74.18,-17.15,180.64
75.15,-15.66,180.32
75.76,-14.14,180.31
76.13,-12.62,180.56
76.38,-11.18,180.90
76.52,-9.89,181.24
76.55,-8.79,181.51
76.58,-7.82,181.62
76.59,-6.94,181.61
76.56,-6.17,181.53
76.51,-5.52,181.43
76.48,-4.96,181.32
76.46,-4.46,181.22
76.46,-4.01,181.11
76.48,-3.61,181.00
76.51,-3.25,180.88
76.55,-2.94,180.77
76.61,-2.69,180.68
76.68,-2.52,180.62
76.75,-2.42,180.58
76.82,-2.39,180.56
76.87,-2.38,180.55
76.92,-2.40,180.55
76.96,-2.42,180.55
76.99,-2.45,180.56
77.02,-2.48,180.56
77.05,-2.51,180.57
77.07,-2.54,180.58
77.10,-2.57,180.58
77.12,-2.60,180.59
77.12,-2.62,180.60
77.13,-2.64,180.61
77.13,-2.66,180.62
77.13,-2.68,180.64
77.12,-2.69,180.65
77.12,-2.69,180.66
77.12,-2.70,180.67
77.12,-2.70,180.68
77.13,-2.70,180.68
77.15,-2.70,180.69
77.17,-2.69,180.70
77.21,-2.69,180.71
77.26,-2.68,180.72
77.32,-2.67,180.72
77.37,-2.67,180.73
77.43,-2.66,180.73
77.48,-2.66,180.73
77.52,-2.65,180.73
77.55,-2.65,180.74
77.57,-2.64,180.74
77.56,-2.63,180.75
77.55,-2.61,180.75
77.54,-2.58,180.76
77.52,-2.54,180.77
77.50,-2.49,180.78
77.49,-2.42,180.80
77.47,-2.33,180.82
77.48,-2.21,180.83
77.49,-2.08,180.83
77.51,-1.93,180.81
77.57,-1.78,180.79
77.71,-1.59,180.74
77.85,-1.38,180.65
77.87,-1.18,180.51
77.81,-0.90,180.35
77.77,-0.51,180.22
77.82,0.03,180.14
77.87,0.69,180.07
77.89,1.39,180.01
77.90,2.16,179.97
77.93,3.01,179.94
77.97,3.95,179.92
78.01,4.97,179.90
78.07,6.07,179.88
78.18,7.26,179.85
78.31,8.52,179.82
78.46,9.86,179.77
78.67,11.35,179.73
78.90,13.04,179.67
79.13,14.98,179.60
79.35,17.21,179.53
79.54,19.74,179.44
79.64,22.56,179.35
79.60,25.64,179.25
79.44,28.92,179.15
79.19,32.26,179.04
79.00,35.60,178.93
78.85,38.84,178.78
78.70,41.94,178.58
78.52,44.85,178.29
78.41,47.80,177.92
78.42,50.47,177.28
78.43,51.95,176.48
78.46,52.31,175.94
78.63,51.99,175.83
78.89,51.04,175.91
79.30,49.65,175.98
79.68,48.03,175.82
79.85,46.37,175.45
79.69,44.71,174.91
79.20,42.97,174.25
78.48,41.10,173.52
77.65,39.09,172.82
76.81,36.94,172.21
