X	Y	Z
92.88	-2.1	266.76
92.49	-2.9	267.12
92.09	-3.71	267.51
91.68	-4.52	267.9
91.28	-5.33	268.29
90.9	-6.13	268.64
90.55	-6.92	268.96
90.21	-7.68	269.21
89.9	-8.42	269.39
89.58	-9.13	269.5
89.28	-9.8	269.54
89	-10.43	269.52
88.71	-11.02	269.44
88.42	-11.56	269.34
88.13	-12.07	269.22
87.82	-12.57	269.11
87.52	-13.06	269.05
87.26	-13.56	269.02
87.01	-14.03	269.05
86.79	-14.48	269.14
86.58	-14.87	269.28
86.36	-15.2	269.47
86.15	-15.45	269.7
85.95	-15.62	269.97
85.75	-15.7	270.26
85.57	-15.69	270.56
85.41	-15.61	270.87
85.28	-15.44	271.17
85.23	-15.1	271.43
85.13	-14.32	271.49
85.19	-13.22	271.4
85.49	-12.09	271.26
85.97	-11.07	271.09
86.59	-10.14	270.91
87.31	-9.2	270.75
87.93	-8.17	270.71
88.32	-7.1	270.84
88.58	-6.1	271.03
88.77	-5.22	271.12
88.88	-4.45	271.11
88.86	-3.76	271.03
88.76	-3.21	270.91
88.78	-2.69	270.76
88.96	-2.24	270.6
89.16	-1.87	270.48
89.4	-1.6	270.38
89.59	-1.38	270.33
89.74	-1.2	270.29
89.87	-1.06	270.23
89.96	-0.94	270.17
90.04	-0.84	270.11
90.1	-0.75	270.04
90.15	-0.67	269.98
90.19	-0.59	269.93
90.23	-0.53	269.88
90.26	-0.46	269.82
90.3	-0.4	269.77
90.34	-0.33	269.71
90.38	-0.27	269.66
90.42	-0.2	269.6
90.46	-0.13	269.55
90.5	-0.06	269.49
90.52	0.02	269.44
90.54	0.09	269.38
90.54	0.16	269.33
90.52	0.23	269.28
90.5	0.31	269.23
90.49	0.39	269.18
90.47	0.47	269.13
90.45	0.55	269.08
90.44	0.63	269.03
90.42	0.7	268.98
90.4	0.77	268.93
90.38	0.83	268.88
90.36	0.9	268.83
90.34	0.96	268.77
90.32	1.02	268.72
90.31	1.09	268.67
90.29	1.15	268.61
90.28	1.23	268.56
90.26	1.3	268.5
90.25	1.39	268.45
90.24	1.48	268.39
90.26	1.58	268.34
90.26	1.68	268.28
90.26	1.78	268.23
90.27	1.89	268.18
90.27	2.01	268.13
90.29	2.13	268.08
90.31	2.27	268.03
90.33	2.41	267.98
90.36	2.57	267.94
90.39	2.74	267.9
90.43	2.93	267.85
90.48	3.13	267.81
90.53	3.36	267.77
90.6	3.6	267.73
90.66	3.87	267.69
90.71	4.15	267.65
90.76	4.45	267.61
90.81	4.78	267.58
90.88	5.16	267.55
90.95	5.58	267.51
91.01	6.04	267.46
91.06	6.54	267.42
91.09	7.08	267.37
91.1	7.68	267.34
91.1	8.33	267.32
91.09	9.03	267.3
91.08	9.8	267.28
91.07	10.63	267.27
91.08	11.54	267.26
91.1	12.53	267.25
91.15	13.6	267.25
91.24	14.77	267.26
91.34	16.07	267.27
91.46	17.5	267.29
91.59	19.06	267.31
91.75	20.77	267.35
91.91	22.64	267.39
92.06	24.68	267.42
92.17	26.89	267.41
92.15	29.26	267.31
92.03	31.73	267.13
91.85	34.27	266.86
91.64	36.84	266.5
91.41	39.42	266.06
91.09	41.96	265.53
90.67	44.36	264.88
90.17	46.63	264.1
89.59	48.82	263.17
88.93	51.03	262.01
88.22	53.25	260.69
87.42	55.22	259.2
86.23	56.45	257.58
84.65	56.69	255.96
82.96	56.14	254.54
81.55	55.07	253.44
80.59	53.73	252.71
80.01	52.33	252.27
79.74	50.97	252.08
79.66	49.65	252.11
79.65	48.33	252.31
79.65	46.99	252.62
79.62	45.59	253.03
79.57	44.1	253.56
79.49	42.43	254.15
79.49	40.59	254.86
79.51	38.64	255.64
79.51	36.59	256.42
79.54	34.5	257.24
79.5	32.38	258.02
79.38	30.26	258.74
79.17	28.16	259.4
78.87	26.06	259.99
78.51	23.98	260.53
78.14	21.9	261.05
77.78	19.83	261.57
77.44	17.76	262.09
77.11	15.72	262.62
76.75	13.72	263.12
76.36	11.75	263.59
75.91	9.81	264.04
75.44	7.93	264.47
74.93	6.1	264.88
74.41	4.33	265.3
73.87	2.64	265.75
73.3	1.03	266.25
72.68	-0.48	266.83
72.04	-1.89	267.49
71.36	-3.19	268.23
70.65	-4.41	269.05
69.94	-5.55	269.95
69.24	-6.61	270.9
68.55	-7.56	271.87
67.89	-8.4	272.79
67.29	-9.11	273.61
66.75	-9.67	274.29
66.29	-10.13	274.81
65.92	-10.47	275.17
65.73	-10.57	275.34
65.73	-10.38	275.31
66.04	-9.82	275.11
66.64	-8.85	274.74
67.62	-7.53	274.24
68.79	-5.92	273.7
69.9	-4.34	273.25
71.07	-2.99	272.84
72.25	-1.79	272.49
73.11	-0.66	272.31
73.73	0.16	272.2
74.41	0.7	272.05
74.88	1.01	271.91
75.11	1.22	271.84
75.21	1.37	271.85
75.27	1.44	271.88
75.31	1.46	271.91
75.35	1.46	271.95
75.39	1.46	271.99
75.43	1.45	272.03
75.5	1.44	272.07
75.57	1.42	272.11
75.64	1.41	272.15
75.71	1.4	272.19
75.77	1.39	272.22
75.84	1.38	272.26
75.9	1.37	272.3
75.96	1.36	272.33
76.01	1.34	272.37
76.04	1.33	272.41
76.08	1.31	272.45
76.11	1.3	272.49
76.16	1.3	272.52
76.22	1.3	272.55
76.28	1.3	272.58
76.32	1.3	272.6
76.35	1.31	272.63
76.38	1.33	272.65
76.42	1.35	272.67
76.47	1.38	272.69
76.52	1.41	272.71
76.58	1.45	272.73
76.63	1.49	272.75
76.67	1.53	272.77
76.71	1.58	272.79
76.72	1.63	272.81
76.76	1.7	272.83
76.8	1.77	272.85
76.85	1.86	272.86
76.9	1.96	272.88
76.95	2.07	272.9
77	2.2	272.93
77.07	2.34	272.94
77.16	2.49	272.95
77.26	2.66	272.96
77.36	2.84	272.97
77.47	3.02	272.97
77.58	3.23	272.97
77.7	3.45	272.96
77.83	3.68	272.94
77.96	3.94	272.91
78.1	4.21	272.88
78.23	4.51	272.84
78.35	4.82	272.79
78.46	5.17	272.73
78.56	5.56	272.66
78.64	6	272.57
78.71	6.49	272.48
78.76	7.03	272.39
78.78	7.64	272.29
78.79	8.3	272.2
78.79	9.02	272.1
78.78	9.81	271.99
78.8	10.69	271.88
78.86	11.66	271.74
78.95	12.75	271.59
79.09	13.98	271.4
79.23	15.38	271.16
79.37	16.94	270.87
79.52	18.69	270.56
79.62	20.64	270.21
79.66	22.78	269.78
79.58	25.1	269.22
79.37	27.54	268.5
79.08	30.07	267.61
78.7	32.64	266.56
78.22	35.22	265.34
77.59	37.74	263.99
76.85	40.09	262.5
76.09	42.3	260.94
75.34	44.41	259.27
74.64	46.44	257.51
74.08	48.43	255.67
73.85	49.95	254.23
73.82	50.38	253.55
73.75	49.9	253.41
73.7	48.89	253.64
73.8	47.64	254.07
74.13	46.37	254.64
74.64	45.17	255.31
75.22	44	256.06
75.82	42.78	256.9
76.39	41.45	257.83
76.93	39.96	258.84
77.45	38.31	259.93
77.97	36.53	261.08
78.53	34.69	262.29
79.09	32.77	263.53
79.61	30.8	264.75
80.05	28.79	265.94
80.38	26.74	267.07
80.6	24.68	268.12
80.75	22.65	269.12
80.79	20.64	270.06
80.77	18.65	270.95
80.68	16.67	271.8
80.54	14.7	272.62
80.36	12.72	273.4
80.16	10.77	274.11
79.9	8.84	274.75
79.58	6.95	275.32
79.21	5.11	275.79
78.79	3.31	276.17
78.31	1.56	276.47
77.76	-0.15	276.67
77.15	-1.8	276.79
76.48	-3.38	276.85
75.75	-4.9	276.86
74.97	-6.34	276.85
74.14	-7.75	276.86
73.28	-9.13	276.93
72.46	-10.42	277.09
71.7	-11.61	277.33
70.93	-12.79	277.68
70.11	-13.88	278.1
69.2	-14.9	278.58
68.26	-15.85	279.09
67.35	-16.7	279.64
66.63	-17.33	280.16
66.2	-17.57	280.61
66.15	-17.24	280.94
66.49	-16.37	281.16
67.4	-14.83	281.23
68.84	-12.81	281.16
70.7	-10.4	281.1
72.5	-8.01	281.17
74.15	-6.12	281.2
75.55	-4.79	281.11
76.64	-3.93	280.84
77.48	-3.27	280.49
77.92	-2.91	280.31
78.07	-2.74	280.25
78.16	-2.66	280.21
78.26	-2.61	280.17
78.34	-2.55	280.15
78.42	-2.51	280.13
78.51	-2.46	280.12
78.61	-2.4	280.1
78.72	-2.35	280.08
78.84	-2.3	280.06
78.94	-2.25	280.05
79.03	-2.2	280.04
