X,Y,Z
88.25,-3.00,170.16
88.29,-3.12,170.15
88.31,-3.23,170.14
88.34,-3.34,170.14
88.36,-3.43,170.13
88.38,-3.51,170.12
88.39,-3.57,170.11
88.38,-3.62,170.11
88.34,-3.68,170.13
88.29,-3.75,170.16
88.23,-3.83,170.19
88.16,-3.91,170.23
88.08,-4.01,170.27
88.01,-4.11,170.32
87.94,-4.21,170.36
87.88,-4.32,170.39
87.83,-4.43,170.42
87.80,-4.53,170.44
87.77,-4.64,170.45
87.75,-4.75,170.45
87.73,-4.87,170.44
87.71,-5.01,170.43
87.71,-5.15,170.43
87.73,-5.29,170.42
87.75,-5.41,170.40
87.79,-5.51,170.37
87.84,-5.60,170.34
87.91,-5.66,170.31
87.98,-5.69,170.26
88.08,-5.69,170.21
88.19,-5.67,170.14
88.31,-5.63,170.08
88.44,-5.58,170.01
88.58,-5.53,169.94
88.72,-5.49,169.87
88.88,-5.46,169.80
89.03,-5.45,169.72
89.15,-5.48,169.65
89.23,-5.53,169.58
89.29,-5.64,169.55
89.34,-5.78,169.52
89.37,-5.94,169.49
89.41,-6.11,169.45
89.45,-6.30,169.42
89.50,-6.49,169.38
89.57,-6.70,169.33
89.63,-6.92,169.27
89.69,-7.13,169.20
89.73,-7.37,169.15
89.75,-7.63,169.12
89.75,-7.90,169.09
89.74,-8.18,169.08
89.71,-8.46,169.06
89.68,-8.71,169.04
89.66,-8.93,169.01
89.65,-9.11,168.98
89.65,-9.26,168.94
89.67,-9.38,168.89
89.71,-9.48,168.83
89.78,-9.53,168.75
89.88,-9.55,168.66
89.99,-9.52,168.55
90.11,-9.43,168.41
90.25,-9.27,168.27
90.40,-9.03,168.12
90.54,-8.71,167.97
90.69,-8.33,167.84
90.85,-7.87,167.72
90.99,-7.33,167.61
91.13,-6.72,167.53
91.28,-6.01,167.46
91.43,-5.20,167.41
91.61,-4.28,167.37
91.79,-3.23,167.34
91.97,-2.04,167.32
92.18,-0.69,167.33
92.40,0.81,167.37
92.58,2.46,167.43
92.74,4.25,167.52
92.89,6.11,167.66
92.99,8.04,167.83
93.05,10.00,168.03
93.16,11.92,168.26
93.32,13.75,168.50
93.48,15.48,168.73
93.70,17.12,168.94
93.90,18.68,169.18
94.09,20.24,169.39
94.26,21.85,169.64
94.36,23.48,169.92
94.36,25.11,170.21
94.27,26.83,170.50
93.83,28.54,170.65
93.11,29.79,170.68
92.13,30.33,170.65
90.91,30.14,170.54
89.54,29.17,170.30
88.28,27.66,170.06
87.18,25.86,169.84
86.29,23.84,169.64
85.58,21.67,169.51
85.03,19.43,169.46
84.64,17.20,169.51
84.31,15.11,169.67
83.99,13.26,169.90
83.64,11.66,170.17
83.22,10.26,170.48
82.74,9.01,170.82
82.20,7.79,171.23
81.65,6.50,171.72
81.15,5.09,172.30
80.73,3.56,172.98
80.34,1.88,173.76
79.97,0.12,174.58
79.59,-1.66,175.43
79.21,-3.43,176.26
78.85,-5.16,177.06
78.54,-6.84,177.83
78.26,-8.43,178.55
77.99,-9.87,179.21
77.66,-11.07,179.81
77.26,-12.05,180.34
76.84,-12.82,180.83
76.45,-13.44,181.31
76.16,-13.91,181.80
75.97,-14.29,182.32
75.89,-14.60,182.85
75.85,-14.81,183.40
75.81,-14.91,183.93
75.72,-14.90,184.44
75.57,-14.79,184.91
75.40,-14.61,185.36
75.27,-14.37,185.77
75.20,-14.12,186.18
75.22,-13.92,186.60
75.31,-13.83,187.04
75.48,-13.89,187.49
75.71,-14.13,187.93
75.96,-14.51,188.32
76.22,-14.93,188.60
76.45,-15.30,188.74
76.60,-15.58,188.72
76.66,-15.71,188.56
76.62,-15.69,188.28
76.50,-15.53,187.92
76.38,-15.28,187.53
76.34,-14.97,187.12
76.42,-14.61,186.73
76.63,-14.22,186.33
77.14,-13.89,185.91
77.85,-13.70,185.59
78.75,-13.52,185.34
79.82,-13.20,185.18
81.09,-12.72,185.16
82.34,-12.39,185.23
83.13,-12.45,185.16
83.36,-12.57,184.93
83.56,-12.81,184.75
84.00,-13.17,184.68
84.15,-13.41,184.59
84.21,-13.56,184.51
84.37,-13.72,184.46
84.41,-13.81,184.41
84.39,-13.91,184.38
84.34,-14.10,184.39
84.15,-14.32,184.42
83.90,-14.59,184.47
83.62,-14.87,184.54
83.34,-15.14,184.60
83.10,-15.38,184.65
82.93,-15.57,184.67
82.81,-15.72,184.66
82.73,-15.82,184.62
82.68,-15.87,184.56
82.66,-15.90,184.50
82.66,-15.91,184.43
82.68,-15.91,184.35
82.71,-15.91,184.28
82.74,-15.89,184.20
82.76,-15.86,184.12
82.80,-15.81,184.04
82.82,-15.75,183.96
82.85,-15.67,183.89
82.87,-15.60,183.82
82.87,-15.53,183.77
82.84,-15.46,183.73
82.81,-15.41,183.70
82.76,-15.38,183.67
82.70,-15.37,183.64
82.66,-15.38,183.61
82.61,-15.39,183.57
82.58,-15.42,183.53
82.57,-15.46,183.49
82.56,-15.51,183.43
82.57,-15.56,183.38
82.59,-15.61,183.32
82.61,-15.66,183.25
82.63,-15.72,183.19
82.66,-15.77,183.13
82.68,-15.84,183.08
82.69,-15.91,183.03
82.69,-16.00,182.99
82.66,-16.08,182.96
82.63,-16.17,182.93
82.61,-16.24,182.89
82.58,-16.29,182.86
82.55,-16.34,182.83
82.52,-16.37,182.80
82.49,-16.40,182.77
82.47,-16.43,182.73
82.45,-16.46,182.69
82.43,-16.50,182.65
82.42,-16.55,182.60
82.40,-16.60,182.56
82.39,-16.65,182.52
82.39,-16.71,182.47
82.38,-16.76,182.43
82.38,-16.82,182.39
82.40,-16.88,182.35
82.39,-16.96,182.32
82.35,-17.05,182.31
82.27,-17.19,182.32
82.17,-17.37,182.33
82.05,-17.54,182.33
81.93,-17.69,182.33
81.84,-17.81,182.32
81.76,-17.90,182.30
81.71,-17.96,182.27
81.68,-18.03,182.24
81.63,-18.08,182.21
81.59,-18.14,182.18
81.55,-18.21,182.15
81.51,-18.28,182.12
81.46,-18.34,182.07
81.42,-18.38,182.03
81.38,-18.40,181.98
81.35,-18.39,181.93
81.34,-18.37,181.87
81.32,-18.34,181.82
81.31,-18.30,181.75
81.31,-18.24,181.69
81.31,-18.17,181.62
81.32,-18.10,181.56
81.33,-18.03,181.50
81.32,-17.97,181.44
81.31,-17.92,181.40
81.27,-17.88,181.36
81.22,-17.84,181.32
81.16,-17.82,181.30
81.09,-17.80,181.28
