X,Y,Z
95.38,-18.35,161.75
95.36,-18.39,161.76
95.33,-18.46,161.76
95.28,-18.55,161.78
95.22,-18.68,161.79
95.22,-18.82,161.78
95.24,-18.95,161.77
95.27,-19.08,161.75
95.33,-19.20,161.73
95.38,-19.30,161.70
95.42,-19.39,161.68
95.46,-19.48,161.65
95.48,-19.56,161.64
95.49,-19.64,161.62
95.49,-19.72,161.61
95.50,-19.80,161.60
95.51,-19.87,161.59
95.51,-19.93,161.58
95.51,-19.97,161.58
95.51,-20.00,161.58
95.50,-20.02,161.59
95.48,-20.03,161.59
95.45,-20.03,161.60
95.42,-20.00,161.61
95.37,-19.96,161.63
95.32,-19.89,161.65
95.25,-19.81,161.67
95.16,-19.71,161.69
95.04,-19.60,161.72
94.89,-19.50,161.76
94.74,-19.40,161.79
94.59,-19.32,161.82
94.44,-19.24,161.85
94.30,-19.19,161.88
94.17,-19.16,161.91
94.05,-19.17,161.94
93.97,-19.20,161.96
93.92,-19.25,161.97
93.91,-19.33,161.97
93.94,-19.41,161.96
94.01,-19.52,161.95
94.09,-19.64,161.94
94.18,-19.77,161.92
94.30,-19.90,161.90
94.41,-20.01,161.89
94.53,-20.12,161.87
94.64,-20.21,161.86
94.74,-20.29,161.86
94.81,-20.36,161.86
94.88,-20.42,161.86
94.93,-20.46,161.86
94.96,-20.48,161.85
94.99,-20.47,161.85
95.02,-20.43,161.85
95.04,-20.35,161.85
95.07,-20.25,161.85
95.09,-20.12,161.84
95.12,-19.96,161.84
95.13,-19.76,161.85
95.14,-19.55,161.85
95.14,-19.32,161.85
95.14,-19.08,161.85
95.14,-18.82,161.86
95.15,-18.55,161.86
95.17,-18.27,161.86
95.19,-17.97,161.85
95.21,-17.66,161.86
95.22,-17.35,161.86
95.24,-17.05,161.87
95.26,-16.76,161.87
95.29,-16.47,161.87
95.32,-16.18,161.87
95.34,-15.90,161.87
95.37,-15.63,161.88
95.41,-15.36,161.89
95.48,-15.11,161.89
95.51,-14.86,161.90
95.52,-14.62,161.92
95.51,-14.38,161.94
95.49,-14.14,161.97
95.48,-13.91,162.00
95.44,-13.67,162.03
95.39,-13.43,162.06
95.36,-13.17,162.10
95.36,-12.90,162.13
95.38,-12.60,162.17
95.42,-12.28,162.20
95.46,-11.94,162.24
95.51,-11.58,162.27
95.55,-11.19,162.30
95.59,-10.76,162.34
95.63,-10.28,162.38
95.66,-9.74,162.42
95.70,-9.13,162.46
95.75,-8.43,162.49
95.85,-7.64,162.52
95.97,-6.75,162.54
96.14,-5.75,162.53
96.35,-4.66,162.49
96.57,-3.47,162.43
96.87,-2.15,162.32
97.18,-0.72,162.18
97.54,0.85,162.02
97.84,2.53,161.85
98.08,4.29,161.68
98.26,6.10,161.50
98.42,7.88,161.27
98.62,9.63,161.00
98.84,11.34,160.67
99.05,13.00,160.26
99.23,14.52,159.72
99.48,15.88,159.11
99.78,17.14,158.46
100.04,18.27,157.77
100.17,19.23,156.99
100.13,20.02,156.09
100.04,20.71,155.09
100.21,21.71,154.13
100.33,22.62,153.21
100.04,23.20,152.34
99.44,23.46,151.54
98.62,23.37,150.82
97.68,23.03,150.20
96.67,22.50,149.69
95.61,21.82,149.29
94.60,21.08,149.04
93.66,20.36,148.92
92.82,19.68,148.92
92.09,19.04,149.04
91.46,18.41,149.26
90.94,17.78,149.57
90.51,17.13,149.95
90.14,16.44,150.41
89.79,15.69,150.93
89.41,14.86,151.49
89.02,13.95,152.09
88.61,12.95,152.71
88.20,11.90,153.37
87.80,10.81,154.03
87.41,9.70,154.69
87.02,8.57,155.35
86.64,7.42,155.99
86.24,6.25,156.63
85.82,5.09,157.29
85.42,3.93,157.97
85.05,2.81,158.69
84.72,1.73,159.47
84.42,0.71,160.32
84.17,-0.25,161.28
83.99,-1.16,162.37
83.86,-2.03,163.57
83.76,-2.86,164.87
83.66,-3.66,166.24
83.54,-4.43,167.65
83.39,-5.18,169.08
83.25,-5.93,170.46
83.11,-6.67,171.75
82.95,-7.43,172.88
82.76,-8.22,173.83
82.55,-9.06,174.60
82.34,-9.95,175.20
82.16,-10.88,175.66
82.02,-11.81,176.02
81.91,-12.71,176.33
81.83,-13.53,176.61
81.72,-14.27,176.92
81.55,-14.90,177.28
81.33,-15.40,177.71
81.08,-15.76,178.19
80.89,-16.15,178.60
81.04,-16.44,178.90
81.48,-16.63,179.03
82.16,-16.73,178.92
83.10,-16.78,178.62
84.14,-16.77,178.25
84.91,-16.67,177.79
85.75,-16.56,177.48
86.46,-16.90,177.52
86.52,-17.31,177.57
86.58,-17.54,177.63
86.51,-17.50,177.64
86.40,-17.38,177.61
86.41,-17.34,177.60
86.53,-17.27,177.55
86.72,-17.22,177.49
86.84,-17.17,177.44
86.97,-17.15,177.38
87.11,-17.13,177.33
87.20,-17.12,177.30
87.26,-17.10,177.27
87.33,-17.08,177.23
87.42,-17.05,177.19
87.53,-17.00,177.15
87.64,-16.94,177.10
87.74,-16.87,177.05
87.82,-16.81,177.00
87.89,-16.73,176.96
87.95,-16.65,176.91
88.01,-16.55,176.87
88.06,-16.43,176.81
88.11,-16.31,176.76
88.15,-16.19,176.72
88.19,-16.07,176.67
88.23,-15.95,176.62
88.30,-15.82,176.56
88.36,-15.67,176.51
88.43,-15.53,176.45
88.48,-15.38,176.39
88.52,-15.23,176.34
88.56,-15.07,176.29
88.58,-14.90,176.23
88.61,-14.74,176.18
88.65,-14.56,176.12
88.69,-14.38,176.06
88.72,-14.21,175.99
88.76,-14.03,175.93
88.80,-13.85,175.87
88.86,-13.66,175.81
