X,Y,Z
74.94,-0.95,179.65
74.98,-0.67,179.62
75.04,-0.41,179.58
75.09,-0.16,179.55
75.13,0.08,179.53
75.18,0.33,179.52
75.22,0.59,179.50
75.28,0.87,179.49
75.35,1.16,179.48
75.40,1.47,179.47
75.45,1.81,179.45
75.50,2.17,179.43
75.56,2.57,179.42
75.62,2.99,179.39
75.67,3.45,179.37
75.71,3.94,179.35
75.75,4.47,179.33
75.80,5.03,179.30
75.86,5.64,179.27
75.93,6.29,179.24
76.02,7.01,179.20
76.12,7.78,179.16
76.25,8.62,179.11
76.40,9.53,179.04
76.58,10.51,178.96
76.76,11.59,178.86
76.95,12.78,178.74
77.11,14.08,178.61
77.24,15.54,178.46
77.35,17.14,178.31
77.39,18.93,178.14
77.34,20.89,177.96
77.21,23.03,177.77
76.97,25.33,177.56
76.62,27.75,177.33
76.21,30.27,177.11
75.75,32.82,176.88
75.28,35.34,176.62
74.88,37.81,176.35
74.42,40.15,176.03
73.92,42.47,175.65
73.39,44.76,175.23
72.70,46.99,174.73
71.83,49.20,174.10
70.79,51.41,173.32
69.73,53.64,172.50
68.43,55.76,171.52
66.57,57.54,170.09
64.65,58.59,168.50
63.07,58.62,167.27
61.83,57.55,166.51
61.37,55.79,166.43
61.41,53.61,166.81
61.85,51.08,167.55
62.46,48.40,168.47
63.03,45.70,169.40
63.47,43.06,170.29
63.72,40.44,171.10
63.81,37.86,171.84
63.86,35.31,172.55
63.96,32.80,173.30
64.08,30.30,174.11
64.17,27.77,174.98
64.21,25.26,175.87
64.25,22.82,176.77
64.33,20.42,177.71
64.41,18.05,178.68
64.42,15.73,179.66
64.33,13.49,180.60
64.16,11.33,181.46
63.95,9.19,182.22
63.76,7.04,182.89
63.60,4.91,183.44
63.49,2.77,183.88
63.38,0.63,184.23
63.23,-1.48,184.52
63.02,-3.51,184.83
62.74,-5.48,185.21
62.44,-7.38,185.72
62.12,-9.13,186.40
61.72,-10.71,187.23
61.21,-12.20,188.22
60.53,-13.60,189.36
59.64,-14.90,190.58
58.60,-16.14,191.83
57.62,-17.36,193.12
56.83,-18.55,194.37
56.39,-19.62,195.47
56.04,-20.69,196.40
55.78,-21.86,197.19
55.47,-23.11,197.81
55.07,-24.31,198.24
54.70,-25.35,198.50
54.38,-26.24,198.70
54.04,-27.06,198.94
53.69,-27.83,199.25
53.38,-28.48,199.58
53.15,-29.02,199.90
53.00,-29.42,200.16
52.87,-29.71,200.37
52.79,-29.89,200.54
52.80,-29.86,200.64
53.15,-29.42,200.52
53.71,-28.58,200.13
54.54,-27.52,199.56
55.54,-26.37,198.93
56.59,-25.24,198.33
57.63,-24.10,197.81
58.66,-22.87,197.38
59.70,-21.54,197.03
60.62,-20.13,196.82
61.39,-18.71,196.76
61.98,-17.33,196.80
62.35,-15.99,196.86
62.56,-14.73,196.84
62.71,-13.60,196.72
62.80,-12.61,196.52
62.84,-11.76,196.28
62.83,-11.00,196.03
62.80,-10.28,195.81
62.77,-9.57,195.61
62.75,-8.88,195.43
62.74,-8.19,195.25
62.76,-7.52,195.08
62.79,-6.89,194.91
62.84,-6.28,194.74
62.91,-5.68,194.57
63.00,-5.08,194.41
63.09,-4.53,194.26
63.18,-4.02,194.13
63.27,-3.56,194.00
63.35,-3.15,193.87
63.43,-2.82,193.76
63.50,-2.54,193.66
63.56,-2.31,193.58
63.62,-2.10,193.51
63.68,-1.92,193.45
63.75,-1.76,193.39
63.84,-1.61,193.33
63.93,-1.47,193.27
64.04,-1.34,193.22
64.16,-1.23,193.18
64.29,-1.14,193.14
64.41,-1.06,193.10
64.53,-1.01,193.07
64.64,-0.97,193.05
