X,Y,Z
96.97,-1.16,165.11
97.11,-1.11,165.11
97.26,-1.06,165.11
97.41,-1.01,165.11
97.57,-0.95,165.11
97.73,-0.90,165.11
97.90,-0.84,165.11
98.07,-0.78,165.11
98.23,-0.71,165.12
98.40,-0.65,165.12
98.56,-0.58,165.12
98.72,-0.51,165.13
98.88,-0.45,165.13
99.04,-0.38,165.13
99.19,-0.31,165.12
99.34,-0.24,165.12
99.47,-0.17,165.11
99.61,-0.11,165.10
99.74,-0.04,165.10
99.88,0.04,165.09
100.02,0.13,165.09
100.16,0.22,165.08
100.31,0.32,165.08
100.45,0.42,165.08
100.58,0.54,165.08
100.71,0.66,165.08
100.83,0.78,165.09
100.94,0.91,165.09
101.04,1.05,165.10
101.16,1.20,165.11
101.27,1.38,165.12
101.38,1.57,165.14
101.47,1.78,165.17
101.56,2.01,165.19
101.65,2.26,165.22
101.74,2.55,165.26
101.81,2.86,165.31
101.85,3.20,165.36
101.88,3.55,165.42
101.90,3.92,165.48
101.90,4.29,165.55
101.89,4.66,165.63
101.87,5.02,165.70
101.84,5.40,165.78
101.79,5.78,165.86
101.74,6.17,165.95
101.68,6.59,166.05
101.60,7.05,166.17
101.52,7.53,166.30
101.42,8.06,166.46
101.32,8.63,166.63
101.25,9.23,166.83
101.19,9.87,167.03
101.17,10.56,167.23
101.18,11.30,167.44
101.21,12.06,167.65
101.25,12.86,167.86
101.32,13.67,168.08
101.37,14.50,168.31
101.44,15.37,168.54
101.54,16.27,168.77
101.65,17.21,168.98
101.78,18.19,169.18
101.94,19.19,169.35
102.12,20.24,169.48
102.30,21.33,169.58
102.49,22.47,169.63
102.68,23.65,169.64
102.88,24.89,169.61
103.09,26.20,169.54
103.31,27.58,169.45
103.52,29.01,169.34
103.73,30.49,169.22
103.95,32.00,169.09
104.17,33.53,168.97
104.41,35.06,168.87
104.65,36.58,168.77
104.84,38.07,168.67
104.98,39.53,168.58
105.11,40.94,168.47
105.18,42.26,168.32
105.27,43.46,168.12
105.40,44.55,167.90
105.56,45.57,167.68
105.66,46.50,167.44
105.55,47.29,167.13
105.22,47.91,166.66
104.80,48.43,166.10
104.47,48.99,165.51
104.25,49.33,164.71
103.92,48.96,163.83
103.36,47.98,163.02
102.58,46.56,162.23
101.58,44.87,161.43
100.47,43.02,160.68
99.40,41.15,160.05
98.42,39.28,159.56
97.57,37.42,159.18
96.89,35.52,158.88
96.41,33.54,158.68
96.14,31.44,158.55
96.09,29.29,158.53
96.00,27.13,158.53
95.75,25.00,158.49
95.28,22.92,158.39
94.64,20.92,158.26
93.96,19.02,158.16
93.42,17.16,158.13
93.05,15.22,158.17
92.76,13.25,158.27
92.39,11.28,158.35
91.91,9.35,158.41
91.38,7.46,158.44
90.86,5.62,158.48
90.41,3.80,158.55
89.96,1.99,158.66
89.48,0.23,158.80
88.97,-1.47,159.01
88.43,-3.09,159.30
87.84,-4.65,159.69
87.24,-6.16,160.18
86.59,-7.64,160.75
85.87,-9.08,161.37
85.07,-10.48,162.00
84.21,-11.84,162.62
83.39,-13.16,163.21
82.67,-14.48,163.74
82.06,-15.81,164.19
81.52,-17.14,164.56
81.02,-18.44,164.88
80.51,-19.69,165.17
79.95,-20.84,165.46
79.36,-21.86,165.76
78.76,-22.72,166.06
78.12,-23.42,166.37
77.41,-23.93,166.72
76.67,-24.28,167.14
75.93,-24.52,167.66
75.23,-24.68,168.26
74.59,-24.73,168.86
74.01,-24.63,169.42
73.62,-24.32,169.89
73.41,-23.78,170.26
73.36,-23.07,170.53
73.40,-22.22,170.71
73.39,-21.39,170.81
73.58,-20.33,170.74
74.35,-18.69,170.33
75.25,-17.07,169.88
76.12,-15.52,169.50
76.92,-14.10,169.15
77.47,-12.78,168.82
77.61,-11.74,168.50
77.54,-10.92,168.14
77.33,-10.22,167.76
77.07,-9.56,167.38
76.79,-8.96,167.04
76.23,-8.53,166.84
75.76,-8.25,166.77
75.73,-7.88,166.60
75.77,-7.58,166.46
75.82,-7.32,166.37
75.88,-7.07,166.29
75.93,-6.83,166.21
75.98,-6.62,166.15
76.01,-6.43,166.09
76.01,-6.25,166.01
75.99,-6.07,165.92
75.93,-5.87,165.81
75.80,-5.66,165.70
75.66,-5.39,165.54
75.58,-5.04,165.33
75.55,-4.74,165.19
75.56,-4.54,165.14
75.65,-4.39,165.09
75.81,-4.27,165.09
75.96,-4.14,165.12
76.09,-3.99,165.15
76.17,-3.77,165.16
76.29,-3.48,165.12
76.45,-3.13,165.05
76.64,-2.74,164.96
76.85,-2.37,164.86
77.04,-2.07,164.77
77.20,-1.87,164.71
77.31,-1.76,164.68
77.39,-1.68,164.66
77.49,-1.62,164.65
77.64,-1.56,164.64
77.82,-1.51,164.63
78.05,-1.45,164.61
78.29,-1.39,164.59
78.53,-1.34,164.57
78.79,-1.28,164.54
79.07,-1.21,164.51
79.38,-1.13,164.48
79.72,-1.04,164.43
80.07,-0.93,164.39
80.44,-0.82,164.34
80.79,-0.71,164.30
81.08,-0.58,164.26
81.38,-0.45,164.21
81.68,-0.32,164.17
81.99,-0.19,164.13
82.30,-0.06,164.09
82.59,0.06,164.05
82.87,0.17,164.01
83.12,0.28,163.98
83.38,0.38,163.95
83.61,0.48,163.92
