-,-,-
0.15,1.55,-0.09,23.93,8.06,91.00,1.56,94.44,174,660,128,18
0.07,1.00,0.20,34.55,-4.76,0.85,1.02,34.88,225,632,143,22
0.17,1.00,0.04,0.18,-1.28,-17.94,1.01,17.99,229,633,148,21
0.18,0.95,0.04,-8.61,0.24,-21.85,0.97,23.49,211,649,154,14
0.19,0.95,0.03,-17.33,2.08,-24.90,0.97,30.41,243,671,152,13
0.22,1.03,-0.04,-25.94,5.37,-23.01,1.05,35.09,210,693,160,8
0.23,1.10,-0.03,-17.09,1.83,-34.12,1.13,38.20,161,722,160,6
0.24,1.16,-0.03,-5.43,-2.08,-51.82,1.19,52.14,116,754,154,4
0.27,1.13,-0.06,4.46,-1.10,-60.36,1.16,60.54,75,785,156,3
0.29,1.18,-0.08,13.85,-1.04,-73.43,1.22,74.73,38,821,149,2
0.32,1.06,-0.06,34.06,-3.05,-88.62,1.11,94.99,22,837,150,3
0.36,1.09,-0.02,29.85,-2.50,-96.19,1.15,100.75,14,847,141,2
0.41,1.48,-0.03,27.89,-4.64,-121.09,1.54,124.35,11,853,137,3
0.52,1.95,-0.17,38.82,-9.83,-173.10,2.03,177.67,8,863,120,2
0.66,1.94,-0.18,49.87,-21.48,-234.74,2.05,240.94,4,860,67,1
0.87,1.68,-0.33,11.47,-33.75,-248.72,1.92,251.26,2,844,29,1
-0.73,0.48,-0.64,-22.89,-71.41,-152.10,1.08,169.58,1,833,12,4
-1.47,1.38,-0.11,-26.73,-75.50,27.04,2.02,84.53,1,838,11,5
-1.36,0.55,-0.29,0.49,-25.63,88.26,1.49,91.91,1,832,12,6
-1.19,0.34,-0.19,-23.93,4.94,141.66,1.25,143.75,1,830,10,7
-0.89,0.35,-0.12,-45.04,-5.31,171.02,0.97,176.93,1,837,11,7
-0.56,0.62,-0.06,-57.43,-12.88,216.06,0.84,223.94,1,834,10,7
-0.31,0.92,0.18,-83.86,-9.09,213.50,0.99,229.56,1,824,11,7
-0.07,1.44,0.24,-85.94,82.15,203.49,1.46,235.68,1,818,11,5
1.94,1.89,-0.19,-63.42,164.61,180.11,2.71,252.11,2,809,11,3
