-,-,-
-0.81,0.60,-0.08,-12.45,-139.10,-122.99,1.02,186.09,1,708,5,0
-0.95,0.38,-0.02,-1.04,-107.18,-25.27,1.02,110.12,1,707,3,0
-0.78,0.41,-0.06,-33.63,-61.52,45.59,0.88,83.64,1,702,7,1
-0.64,0.59,0.12,-59.88,-33.63,59.27,0.88,90.71,1,704,3,2
-0.53,0.70,0.18,-65.00,-28.75,104.25,0.90,126.17,1,699,5,0
-0.24,0.91,0.24,-78.80,-39.61,129.88,0.97,157.00,1,694,5,0
0.07,1.23,0.35,-79.10,-54.69,137.45,1.28,167.75,1,695,5,0
0.19,1.30,0.38,-71.53,-70.19,127.14,1.37,161.89,1,697,3,0
0.21,1.41,0.41,-65.86,-72.33,121.46,1.49,155.95,1,703,5,0
0.37,1.48,0.39,-47.73,-56.52,108.64,1.57,131.44,1,716,5,0
0.51,1.29,0.27,-35.52,-31.49,66.35,1.41,81.58,1,729,6,0
0.48,1.22,0.37,-44.49,-9.89,24.84,1.37,51.91,0,0,2,0
0.39,1.23,0.61,-55.79,9.89,25.88,1.43,62.29,0,0,1,0
0.42,1.14,0.55,-10.38,31.74,72.88,1.33,80.16,0,0,3,0
0.72,0.95,0.19,5.37,30.09,55.60,1.21,63.45,1,746,1,0
0.61,0.85,0.27,-4.70,19.10,33.81,1.08,39.12,0,0,3,0
0.65,0.81,0.50,33.81,16.48,7.39,1.15,38.33,1,740,3,0
0.99,0.99,0.27,60.00,8.18,-17.33,1.43,62.98,1,710,0,6
0.78,0.29,0.42,75.26,-26.55,-59.81,0.93,99.73,1,679,0,14
-0.20,1.11,-0.02,14.77,-8.30,-86.98,1.13,88.61,1,654,0,32
0.14,1.11,0.03,15.38,8.12,-84.78,1.12,86.54,2,649,1,54
0.36,1.11,0.15,8.61,15.99,-14.59,1.18,23.29,9,567,9,68
0.10,0.98,0.09,5.49,1.22,-7.32,0.99,9.24,22,545,23,72
0.12,0.97,0.08,5.00,0.55,-5.19,0.98,7.23,37,526,32,79
0.12,1.00,0.07,4.76,-0.37,-4.70,1.01,6.70,58,509,39,90
0.12,1.00,0.08,7.69,-1.46,-5.19,1.01,9.39,81,507,44,99
0.12,0.98,0.09,8.18,-1.95,-5.00,0.99,9.79,113,511,52,116
0.12,0.97,0.10,4.52,-1.65,-3.72,0.99,6.08,151,515,55,119
0.12,0.98,0.10,-0.92,-1.53,-2.08,0.99,2.73,199,518,63,118
0.13,0.98,0.09,-3.54,-1.53,-1.16,0.99,4.03,238,514,62,121
0.12,0.99,0.08,-4.76,-0.85,-1.22,1.00,4.99,278,505,63,118
0.12,0.99,0.08,-3.54,-0.73,-1.16,1.00,3.80,230,497,63,117
0.12,1.00,0.07,-1.89,-0.79,-1.10,1.01,2.33,290,503,65,113
0.12,0.98,0.08,1.04,-0.73,-0.18,0.99,1.28,234,514,64,106
0.12,0.99,0.08,0.79,-0.73,-0.06,1.00,1.08,197,526,68,113
0.12,0.98,0.08,0.43,0.31,-0.55,0.99,0.76,208,546,72,106
0.12,0.99,0.09,0.49,1.10,-1.71,1.00,2.09,181,563,79,98
0.12,0.98,0.09,-0.37,1.10,-2.44,0.99,2.70,202,577,83,95
0.13,0.99,0.08,0.55,0.85,-3.05,1.00,3.22,162,593,88,87
