-,-,-,-,-,-,-,-,-,-,-,-
'w'
0.35,1.40,0.09,43.58,-1.10,-207.28,1.44,211.81,3,756,42,0
0.45,0.86,-0.19,38.09,-2.32,-208.31,0.99,211.78,2,746,23,0
0.51,0.96,-0.23,-10.80,-18.49,-189.94,1.12,191.15,1,742,9,1
-0.50,0.43,-0.08,-27.28,-52.49,-130.80,0.66,143.55,0,0,4,6
-0.77,0.86,0.23,16.36,-70.56,-2.32,1.18,72.47,0,0,2,6
-0.54,0.32,-0.27,43.21,-57.98,76.23,0.69,105.08,0,0,0,6
-0.59,0.33,-0.23,-20.57,-55.97,81.18,0.72,100.72,0,0,2,5
-0.70,0.71,0.02,-46.08,-38.09,111.27,1.00,126.31,0,0,2,5
-0.42,0.69,-0.06,-65.86,-22.16,149.72,0.81,165.06,1,709,2,6
-0.24,1.14,0.19,-76.72,-29.48,156.98,1.18,177.20,1,698,1,5
-0.06,1.25,0.30,-78.43,-38.15,167.97,1.29,189.26,1,695,1,4
0.21,1.58,0.50,-75.13,-47.42,163.45,1.67,186.04,1,696,1,3
0.37,1.51,0.40,-53.22,-46.45,144.23,1.60,160.60,1,698,2,4
0.59,1.45,0.34,-42.97,-26.31,118.23,1.60,128.51,1,707,3,2
0.70,1.22,0.32,-54.63,-1.89,80.20,1.44,97.06,1,719,2,2
0.73,1.21,0.39,-59.94,6.29,55.18,1.47,81.71,1,727,2,2
0.68,1.30,0.51,-37.17,-10.25,56.40,1.55,68.32,1,735,1,2
0.64,1.00,0.24,-5.74,-21.12,53.89,1.21,58.17,0,0,3,2
0.55,0.98,0.24,-11.72,-19.59,32.23,1.16,39.49,0,0,3,1
0.74,2.02,0.48,-15.26,-7.87,5.13,2.20,17.92,0,0,0,3
0.73,1.05,0.29,41.56,1.40,-12.27,1.31,43.36,0,0,2,8
0.81,0.80,0.29,59.08,-4.33,-18.31,1.17,62.01,0,0,1,12
0.72,0.52,0.21,53.22,-21.79,-29.54,0.91,64.65,0,0,1,13
1.27,2.35,0.57,-49.01,11.66,-83.19,2.73,97.26,0,0,0,21
0.22,0.90,0.21,27.83,18.13,-80.57,0.95,87.14,0,0,0,42
0.20,1.17,0.05,6.77,4.03,-7.02,1.19,10.55,3,663,9,55
0.10,0.94,0.11,7.02,1.40,-2.87,0.95,7.71,6,616,16,62
0.10,0.98,0.09,1.22,1.16,-2.44,0.99,2.97,8,606,22,69
0.10,0.99,0.08,5.68,0.24,-2.69,1.00,6.28,11,584,29,78
0.11,0.99,0.10,9.52,-0.18,-3.60,1.00,10.18,17,563,36,95
0.11,0.98,0.11,7.93,-0.79,-2.44,0.99,8.34,28,545,42,111
0.11,0.98,0.11,2.69,-0.55,-1.95,0.99,3.37,39,540,50,117
0.11,1.00,0.10,-0.24,0.18,-2.26,1.01,2.28,48,543,58,121
0.11,0.98,0.11,0.24,0.18,-1.40,0.99,1.44,54,550,63,122
