-,-,-,-,-,-,-,-,-,-,-,-
'w'
0.01,1.18,-0.18,-27.95,-0.49,125.37,1.19,128.45,0,0,4,15
0.02,1.20,-0.22,-42.91,16.85,143.43,1.22,150.66,0,0,4,15
0.18,1.18,-0.26,-63.78,23.07,156.13,1.22,170.22,0,0,0,16
0.26,1.52,0.04,-96.80,18.68,161.74,1.54,189.42,0,0,1,15
0.44,1.61,0.18,-64.33,20.45,160.40,1.68,174.03,0,0,0,14
0.84,1.50,-0.08,-38.45,10.31,140.01,1.72,145.56,0,0,0,15
1.40,0.99,-0.32,-29.66,-18.43,106.75,1.74,112.32,0,0,0,17
1.88,1.22,0.74,-59.20,-22.52,47.18,2.36,78.98,0,0,0,14
-0.77,0.27,-0.11,134.46,29.91,-111.39,0.82,177.15,1,619,0,43
-0.38,0.71,0.09,85.82,49.87,-140.93,0.81,172.37,0,0,0,74
-0.03,0.81,0.28,49.99,21.24,-155.40,0.86,164.61,0,0,0,104
-0.02,1.25,0.05,18.31,-15.75,-167.30,1.26,169.03,0,0,0,125
0.03,1.23,-0.02,13.37,-4.27,-145.26,1.23,145.94,0,0,0,139
0.06,1.00,0.05,-8.85,27.22,-69.58,1.00,75.24,4,516,0,151
0.10,0.97,0.06,-56.21,36.68,-23.50,0.98,71.12,13,472,0,158
0.08,0.89,0.02,-3.91,9.89,-10.25,0.90,14.77,31,461,0,156
0.05,1.04,-0.05,-4.70,3.60,-4.70,1.05,7.56,43,455,2,151
0.04,0.99,-0.02,3.66,-0.61,-2.99,0.99,4.77,67,457,4,155
0.04,0.99,-0.02,3.54,-1.95,-2.87,1.00,4.96,77,466,12,156
0.03,1.00,-0.02,3.48,-1.95,-2.56,1.00,4.74,87,469,20,160
0.05,1.00,-0.02,4.46,-0.98,-1.83,1.01,4.92,118,474,24,161
0.04,0.99,-0.01,6.41,-0.98,-1.53,1.00,6.66,128,485,30,154
0.04,0.99,-0.01,5.49,-0.67,-1.16,0.99,5.65,125,502,40,160
0.04,0.99,-0.00,2.87,-0.31,-0.79,0.99,2.99,124,509,48,160
0.04,0.99,-0.00,0.85,-0.12,-0.49,0.99,0.99,142,520,54,159
0.06,1.00,0.00,1.10,0.37,-0.43,1.00,1.23,121,528,66,160
0.05,1.00,-0.01,0.43,0.31,-0.55,1.00,0.76,131,539,75,159
0.03,0.99,-0.00,0.73,0.37,-0.49,0.99,0.95,101,552,85,152
0.04,0.99,-0.00,0.85,0.31,-0.98,0.99,1.33,112,560,98,148
0.04,0.98,-0.00,0.85,0.12,-1.28,0.99,1.55,115,562,106,145
0.04,0.99,-0.00,0.85,-0.12,-1.77,0.99,1.97,119,569,115,140
0.04,0.99,-0.00,1.04,-0.24,-1.65,1.00,1.96,153,569,120,135
0.04,0.99,-0.00,1.10,-0.43,-1.59,0.99,1.98,114,575,124,127
0.04,1.00,0.00,2.32,-0.85,-1.71,1.00,3.01,113,586,134,123
0.04,1.00,0.00,2.26,-1.59,-2.14,1.00,3.49,115,590,136,110
0.04,1.01,-0.00,4.09,-2.14,-3.36,1.01,5.71,43,598,140,101
0.04,1.00,0.01,6.71,-2.75,-4.88,1.00,8.74,47,607,144,86
0.04,1.01,0.01,6.84,-3.11,-5.92,1.01,9.56,61,628,149,64
0.05,1.04,0.00,7.26,-4.27,-7.20,1.04,11.09,56,651,154,45
0.04,1.24,-0.03,13.06,-5.07,-14.65,1.24,20.27,112,676,162,30
0.06,1.09,0.02,27.40,-4.94,-23.99,1.10,36.75,79,707,168,13
-0.00,1.59,0.19,30.70,-2.50,-41.20,1.60,51.44,45,750,168,8
0.05,1.53,0.08,13.31,-1.59,-82.70,1.53,83.78,28,790,169,3
