-,-,-
0.02,0.98,0.01,-4.52,-0.61,0.37,0.98,4.57,5,101,14,144
0.02,0.99,0.00,-3.60,-0.55,0.00,0.99,3.64,6,102,17,143
0.02,0.99,0.00,0.00,1.16,-0.06,0.99,1.16,6,102,17,150
0.02,0.99,0.00,3.17,2.08,-0.92,0.99,3.90,6,101,17,147
0.03,0.98,0.01,6.04,2.44,-1.59,0.98,6.71,6,102,19,153
0.02,0.97,0.01,3.97,2.26,-1.95,0.97,4.97,6,100,18,152
0.03,0.98,0.00,2.99,1.95,-2.20,0.98,4.19,6,100,18,157
0.03,0.99,0.01,2.69,1.77,-1.65,0.99,3.61,6,102,19,158
0.03,0.99,0.01,1.95,0.92,-0.98,0.99,2.37,6,100,18,156
0.03,0.98,0.01,0.49,0.92,-0.43,0.98,1.12,6,100,17,152
0.02,0.98,0.01,0.37,1.22,-0.12,0.98,1.28,6,99,17,157
0.03,0.98,0.01,1.40,1.95,-0.37,0.98,2.43,6,100,17,156
0.02,0.98,0.01,3.23,1.89,-0.79,0.98,3.83,6,99,16,155
0.02,0.98,0.01,5.37,2.01,-1.71,0.98,5.99,6,101,17,154
0.03,0.98,0.02,6.10,2.01,-2.20,0.98,6.79,6,98,18,156
0.03,0.98,0.02,5.68,2.20,-2.14,0.98,6.45,5,101,18,152
0.03,0.98,0.02,4.46,2.20,-1.65,0.98,5.23,6,103,22,153
0.03,0.98,0.02,4.88,2.26,-2.14,0.98,5.79,6,107,23,147
0.03,0.98,0.02,4.82,1.95,-2.44,0.98,5.75,6,109,27,143
0.03,0.99,0.03,4.27,1.77,-3.66,0.99,5.90,6,113,32,137
0.02,1.00,0.02,4.52,1.22,-7.26,1.00,8.64,6,120,38,132
0.03,1.03,0.02,15.26,0.12,-14.22,1.04,20.86,5,128,48,119
0.06,1.07,0.02,25.33,-1.34,-24.35,1.07,35.16,4,136,61,93
-0.05,1.39,0.16,40.28,-3.11,-50.66,1.40,64.80,3,149,70,60
-0.01,2.04,0.26,15.14,15.50,-118.10,2.06,120.07,2,206,83,40
0.13,1.91,-0.03,23.38,27.59,-151.73,1.92,155.98,2,278,72,36
0.20,2.10,-0.14,73.67,17.94,-187.13,2.11,201.91,1,376,44,32
-0.04,1.71,-0.06,178.41,0.85,-200.44,1.71,268.34,1,474,22,29
-0.05,0.99,-0.06,223.14,5.00,-172.79,0.99,282.27,1,478,17,29
-1.82,-0.46,-1.13,0.06,174.56,-42.42,2.19,179.64,1,444,13,29
-0.44,0.26,-0.82,17.15,285.89,11.90,0.96,286.65,1,432,12,31
-0.01,0.45,-0.68,-33.63,222.53,73.73,0.82,236.83,1,431,13,31
-0.06,0.76,-0.24,-36.19,93.99,127.08,0.80,162.15,2,437,12,31
-0.11,0.80,-0.13,5.55,15.75,163.94,0.82,164.79,1,432,10,30
-0.05,0.96,-0.14,7.32,1.53,159.97,0.98,160.15,1,423,12,30
0.12,1.17,-0.20,12.76,13.92,143.43,1.19,144.67,1,404,13,30
0.08,1.29,-0.15,1.53,46.88,117.37,1.30,126.39,1,398,14,30
0.10,1.43,0.03,8.73,107.30,125.79,1.44,165.57,1,407,13,30
0.41,1.21,-0.09,-3.17,234.50,89.42,1.28,250.99,1,411,13,29
1.21,1.19,0.07,-51.33,265.69,48.16,1.69,274.85,1,409,17,26
1.78,1.65,0.09,-38.45,221.92,23.93,2.42,226.50,1,400,15,26
2.11,0.88,-0.34,44.86,118.16,9.64,2.31,126.76,1,382,17,25
1.71,0.62,-0.47,39.61,21.91,-23.86,1.88,51.17,2,372,17,26
0.96,0.27,-0.46,15.14,-6.71,-67.14,1.10,69.15,1,365,17,29
0.82,1.25,-0.28,12.82,2.93,-56.52,1.52,58.03,2,253,39,29
0.20,1.14,0.05,47.73,-15.14,2.99,1.15,50.16,2,182,69,36
0.10,0.87,0.25,57.01,-8.73,19.96,0.91,61.03,3,169,90,46
0.14,1.08,0.09,-0.85,-1.46,-0.06,1.09,1.70,3,165,100,54
0.17,0.94,0.07,-6.71,0.24,-10.07,0.95,12.11,4,165,109,57
0.18,1.03,0.03,-9.16,0.55,-11.23,1.04,14.50,4,168,118,60
0.19,0.97,0.04,-5.92,0.31,-13.24,0.99,14.51,4,168,123,57
0.19,0.98,0.04,0.85,-0.31,-10.25,1.00,10.29,4,169,125,53
0.18,1.00,0.06,1.10,-0.12,-12.15,1.02,12.20,4,172,131,54
0.18,1.00,0.07,-4.46,1.65,-19.65,1.02,20.22,4,174,135,53
0.21,1.08,0.04,-8.12,3.91,-28.44,1.10,29.83,4,177,130,47
0.22,1.08,0.06,-9.52,7.45,-39.18,1.10,41.01,3,177,135,41
0.25,1.16,0.02,-14.16,9.77,-56.82,1.19,59.37,2,186,138,39
0.28,1.29,0.00,-16.24,14.89,-75.81,1.32,78.94,2,199,139,36
0.31,1.21,-0.06,-8.06,10.68,-95.70,1.25,96.63,2,215,134,33
0.35,1.22,-0.12,16.05,7.39,-115.54,1.27,116.88,1,260,129,27
0.38,1.09,-0.08,31.98,-1.53,-132.57,1.16,136.38,1,327,115,25
0.25,1.31,0.24,22.95,-4.82,-163.76,1.36,165.43,1,405,92,23
0.35,1.54,0.23,12.76,10.19,-215.15,1.60,215.77,1,465,74,16
0.69,1.97,0.40,7.81,32.90,-276.98,2.12,279.03,1,540,44,12
0.49,1.89,0.41,-5.00,54.99,-302.92,2.00,307.91,1,577,22,14
-0.08,1.04,0.12,12.08,58.65,-214.84,1.05,223.03,1,490,14,17
-0.95,1.55,0.23,-41.32,-31.31,106.32,1.84,118.29,1,520,13,17
-0.87,0.62,-0.07,33.81,-60.12,167.66,1.07,181.30,1,502,10,19
-0.68,0.52,-0.07,18.92,-75.20,218.08,0.86,231.45,1,476,10,21
-0.46,0.46,-0.14,18.62,-68.24,230.71,0.66,241.31,1,452,9,23
-0.08,0.60,-0.20,-2.62,-61.58,216.31,0.64,224.92,1,412,12,23
-0.09,1.09,0.08,-28.20,-40.89,215.70,1.10,221.34,1,385,14,23
0.42,1.39,0.16,-1.10,-23.99,237.12,1.46,238.33,1,374,15,24
0.91,1.30,0.40,46.26,-42.91,249.39,1.64,257.25,1,367,16,26
1.78,1.61,0.79,5.68,-38.82,167.60,2.53,172.13,1,361,17,26
2.60,1.33,0.75,36.93,16.30,83.92,3.02,93.12,2,359,20,27
2.82,0.96,0.49,14.40,74.89,23.19,3.02,79.71,1,353,19,25
2.15,0.36,0.13,20.75,97.66,-40.10,2.18,107.59,1,348,21,26
1.61,-1.81,-0.73,11.90,79.16,-84.05,2.53,116.07,1,353,26,25
0.37,1.07,-0.22,-101.87,53.04,-9.70,1.15,115.26,1,289,68,26
0.40,2.13,-0.34,-96.37,24.90,40.89,2.20,107.61,2,184,101,36
0.09,1.20,0.13,20.69,-4.64,7.69,1.21,22.56,3,171,117,45
