-,-,-,-,-,-,-,-,-,-,-,-
'w'
0.14,0.93,0.13,2.01,-0.31,-3.72,0.95,4.24,408,421,39,82
0.15,0.95,0.12,-4.15,1.53,0.55,0.97,4.46,373,426,41,87
0.14,0.98,0.11,-0.12,0.73,2.50,0.99,2.61,369,408,38,102
0.14,0.99,0.12,0.49,-0.43,1.65,1.01,1.77,313,392,34,113
0.14,0.98,0.12,3.36,-1.83,4.76,0.99,6.11,316,331,15,123
0.12,0.97,0.13,6.41,-2.56,5.13,0.98,8.60,227,284,5,146
0.11,0.98,0.12,2.38,-4.88,5.49,0.99,7.73,174,270,3,145
0.11,0.98,0.12,-3.17,-2.62,4.94,1.00,6.43,174,259,1,152
0.11,0.99,0.11,-5.37,-1.89,3.05,1.00,6.46,96,254,2,150
0.10,0.98,0.10,-4.15,1.04,0.55,0.99,4.31,137,254,1,154
0.10,0.97,0.12,-3.11,8.48,-11.60,0.98,14.70,155,279,5,146
0.13,0.98,0.11,-9.89,4.64,-8.73,0.99,13.98,288,335,22,136
0.13,0.99,0.10,-7.26,3.48,-6.41,1.01,10.29,528,375,37,129
0.14,1.00,0.10,-4.39,2.20,-5.80,1.01,7.60,710,405,55,119
0.14,1.00,0.10,-0.55,1.04,-7.02,1.02,7.12,944,426,67,104
0.15,0.98,0.11,3.91,-0.55,-10.62,0.99,11.33,688,446,77,76
0.15,0.99,0.10,5.31,-1.83,-10.44,1.01,11.85,472,458,83,60
0.15,0.96,0.12,4.09,-1.71,-9.70,0.98,10.67,730,467,84,44
0.17,1.01,0.09,0.67,-0.85,-9.95,1.03,10.01,494,481,91,33
0.17,1.03,0.06,10.80,-3.60,-17.03,1.04,20.49,1136,493,93,24
0.16,1.03,0.14,23.50,-6.10,-24.66,1.05,34.60,464,517,93,13
0.18,1.00,0.16,21.73,-5.00,-31.07,1.03,38.24,672,551,103,13
0.20,1.05,0.19,12.51,-3.54,-39.98,1.08,42.04,436,606,111,8
0.25,1.16,0.16,5.13,-1.89,-51.33,1.19,51.62,442,635,114,3
0.24,1.25,0.22,2.44,-1.77,-69.27,1.30,69.34,233,645,113,3
0.27,1.31,0.20,-1.04,4.64,-93.02,1.35,93.14,176,649,117,1
0.34,1.29,0.14,-10.01,16.85,-123.78,1.34,125.32,112,586,101,0
0.38,1.39,0.13,-43.40,21.67,-165.71,1.44,172.66,32736,4,84,0
0.42,1.55,-0.01,-42.54,20.08,-196.78,1.61,202.32,32736,0,59,0
0.45,1.53,-0.08,-5.43,-0.31,-199.10,1.60,199.17,32736,0,27,0
0.52,0.68,-0.58,2.26,-22.71,-181.46,1.03,182.89,8,471,7,5
-0.43,0.97,-0.40,-50.66,-98.33,-45.90,1.14,119.76,5,447,0,9
-0.95,0.96,0.13,-10.56,-142.88,60.49,1.36,155.52,4,449,0,10
-0.92,0.42,-0.04,10.07,-80.69,89.72,1.01,121.09,3,456,0,13
-0.71,0.56,-0.00,-33.94,-6.47,88.81,0.90,95.29,4,461,0,12
-0.52,0.73,0.01,-46.39,25.70,122.07,0.89,133.09,4,457,0,12
-0.23,0.97,0.06,-38.33,13.43,150.39,1.00,155.78,4,457,0,12
-0.09,1.13,0.14,-41.38,7.32,158.45,1.14,163.93,4,456,0,11
0.08,1.24,0.12,-39.67,16.72,164.31,1.25,169.85,4,460,0,11
0.25,1.42,0.06,-41.81,18.86,163.51,1.44,169.82,4,459,0,11
0.33,1.49,0.01,-42.66,8.67,161.87,1.53,167.62,4,459,0,11
0.43,1.52,0.07,-43.76,-0.12,157.90,1.58,163.85,4,462,0,10
0.54,1.49,0.13,-41.44,-4.88,139.83,1.59,145.93,3,463,0,9
0.60,1.40,0.12,-35.10,-11.05,118.65,1.52,124.23,4,474,0,9
0.69,1.21,0.05,-30.94,-21.18,90.82,1.40,98.26,3,475,2,7
0.67,1.03,0.11,-30.09,-21.42,70.07,1.23,79.21,3,471,2,6
0.64,0.97,0.24,-31.56,-11.96,58.84,1.19,67.83,4,473,0,7
0.65,0.97,0.34,-21.30,1.28,39.67,1.22,45.05,3,474,1,6
0.66,0.93,0.30,-4.09,15.08,20.87,1.18,26.07,3,474,0,6
0.65,0.86,0.16,7.32,26.92,-1.77,1.09,27.95,3,471,1,7
0.61,0.90,0.11,9.70,32.10,-18.92,1.10,38.51,3,470,0,8
0.58,0.89,0.06,14.16,33.39,-33.14,1.07,49.13,4,471,2,10
0.56,4.00,-0.16,54.99,1.95,-115.48,4.04,127.92,4,426,0,21
-0.04,1.18,-0.00,160.58,-8.67,-117.68,1.18,199.27,5,385,0,47
0.10,0.85,0.32,70.19,28.02,-133.06,0.92,153.02,5,381,0,81
0.25,1.14,0.20,30.21,-4.76,-101.07,1.18,105.60,6,372,0,111
0.06,0.97,0.11,-1.77,7.26,-48.83,0.98,49.40,9,356,0,119
0.13,1.01,0.08,-9.40,15.44,-27.95,1.02,33.29,14,339,2,117
0.15,1.04,0.09,5.49,15.69,-19.47,1.05,25.60,22,326,1,123
0.13,0.97,0.13,14.83,5.13,-14.16,0.98,21.14,33,311,2,135
0.14,0.98,0.12,9.77,3.17,-9.64,1.00,14.09,53,293,1,143
0.14,0.97,0.13,5.49,-0.06,-5.62,0.99,7.86,85,284,4,148
0.14,0.97,0.13,0.49,-0.61,-2.69,0.99,2.80,101,283,5,147
0.13,0.98,0.12,-3.05,-0.43,-1.77,1.00,3.55,108,285,7,151
0.13,0.98,0.12,-3.91,-0.12,-0.85,0.99,4.00,168,287,6,150
0.13,0.98,0.12,-5.07,0.06,-0.67,1.00,5.11,134,289,8,142
0.12,0.99,0.11,-5.31,1.16,-2.93,1.01,6.17,162,303,11,140
0.14,0.98,0.12,-2.99,1.10,-4.33,0.99,5.38,160,331,16,132
0.13,0.98,0.11,-1.16,0.55,-3.48,1.00,3.71,388,358,27,127
0.14,0.98,0.11,0.92,0.67,-4.46,1.00,4.60,337,383,35,120
0.14,0.99,0.11,2.14,-0.31,-6.35,1.01,6.70,1130,407,44,111
0.15,0.99,0.11,6.47,-1.83,-9.46,1.00,11.61,768,436,57,103
0.16,1.00,0.12,11.96,-4.52,-12.21,1.02,17.68,585,460,72,85
0.15,1.05,0.12,14.10,-6.29,-18.86,1.07,24.37,1514,475,87,64
0.17,1.14,0.15,20.94,-8.30,-32.47,1.16,39.52,676,491,99,44
0.18,1.08,0.17,31.43,-9.03,-37.90,1.11,50.06,486,521,115,26
0.21,1.16,0.17,34.36,-7.45,-48.34,1.19,59.77,453,575,125,13
0.21,1.41,0.33,21.06,-0.18,-95.95,1.46,98.23,432,643,138,5
0.25,1.66,0.37,12.45,13.12,-129.09,1.71,130.35,261,664,134,0
0.36,1.98,0.07,-4.09,31.01,-186.28,2.01,188.89,32736,1,133,1
0.55,2.68,0.01,-23.01,23.25,-265.38,2.74,267.39,32736,0,95,0
0.39,2.72,-0.23,2.69,-11.05,-327.88,2.76,328.08,21,596,54,0
0.16,2.42,-0.16,40.95,-44.62,-353.33,2.43,358.49,5,549,16,0
-2.53,-1.45,-1.29,99.12,-77.76,-255.43,3.19,284.81,3,484,0,7
-1.48,1.44,0.08,-5.37,-59.94,23.19,2.07,64.49,2,483,0,6
-1.14,0.04,-0.66,30.33,-11.78,76.23,1.32,82.89,2,472,0,10
-1.07,0.58,-0.23,-46.88,13.92,127.93,1.24,136.96,2,470,0,11
-0.73,0.64,-0.20,-39.18,29.30,180.85,0.99,187.35,3,463,0,12
-0.44,0.90,-0.07,-56.15,41.14,211.91,1.00,223.05,3,460,0,11
0.02,1.13,-0.08,-59.33,52.31,231.14,1.13,244.30,3,455,0,10
0.30,1.41,0.05,-69.09,45.10,236.39,1.45,250.38,3,457,0,10
0.61,1.62,0.04,-58.96,27.28,229.49,1.73,238.51,3,457,0,7
0.66,1.67,0.00,-53.10,9.89,212.10,1.80,218.87,3,466,0,9
0.91,1.65,0.01,-51.39,26.06,203.61,1.88,211.61,3,469,0,6
1.28,1.65,0.16,-67.93,49.80,175.96,2.09,195.09,3,480,0,4
1.56,1.48,0.37,-60.85,40.47,148.44,2.18,165.45,3,487,0,4
1.79,1.26,0.46,-44.56,28.08,121.46,2.24,132.39,3,485,0,3
2.10,0.95,0.43,-29.17,19.35,95.89,2.34,102.08,3,481,2,3
2.12,0.83,0.48,-25.21,11.66,36.07,2.33,45.52,4,479,3,2
2.84,4.00,1.51,-18.80,2.69,-20.63,5.13,28.04,3,447,0,22
-0.66,0.64,0.02,171.81,-79.65,-160.16,0.92,248.02,6,368,0,57
-0.47,0.55,0.10,115.97,-34.67,-172.06,0.73,210.37,7,369,0,101
0.48,1.15,0.22,42.79,31.25,-109.38,1.26,121.53,12,356,0,128
0.29,0.88,0.16,-2.87,36.62,-36.74,0.94,51.96,33,321,1,130
0.19,1.01,0.06,-2.62,7.87,-17.58,1.03,19.44,91,302,2,132
0.17,0.96,0.09,16.17,1.22,-11.41,0.98,19.83,126,319,11,134
0.16,0.95,0.11,9.83,-0.73,-4.58,0.97,10.87,162,330,14,133
0.15,0.97,0.10,3.05,-1.34,-3.17,0.98,4.60,213,338,18,135
0.15,0.98,0.10,-3.72,-1.53,-1.65,0.99,4.35,210,337,18,143
0.15,0.98,0.09,-6.41,-1.16,-1.40,0.99,6.66,185,344,22,133
0.14,0.98,0.08,-4.88,-0.49,-1.10,0.99,5.03,204,349,28,135
0.14,0.98,0.08,-3.17,-0.61,-1.22,0.99,3.45,221,357,29,130
0.14,0.98,0.08,-3.17,-0.24,-1.89,0.99,3.70,219,371,32,124
0.15,0.99,0.08,-1.53,0.67,-3.78,1.00,4.14,282,392,40,112
0.15,0.99,0.08,2.01,0.61,-4.88,1.01,5.32,345,418,49,110
0.15,1.00,0.08,5.86,-0.12,-8.18,1.01,10.06,629,441,57,94
0.16,1.00,0.09,8.06,-0.73,-10.80,1.01,13.50,363,458,69,79
0.17,1.00,0.08,12.02,-1.10,-15.38,1.01,19.55,552,475,79,67
0.19,0.97,0.09,10.74,-1.83,-18.92,0.99,21.83,515,495,93,56
0.18,1.09,0.12,15.01,-7.08,-30.27,1.12,34.53,972,513,105,38
0.23,1.01,0.08,23.07,-8.00,-38.02,1.04,45.19,565,535,119,20
0.22,1.15,0.20,18.74,-2.99,-54.14,1.19,57.37,749,591,129,10
0.27,1.46,0.24,7.14,1.16,-86.67,1.50,86.97,374,643,136,2
0.25,1.51,0.33,6.84,8.00,-116.33,1.56,116.81,459,657,145,1
0.31,1.64,0.27,-7.81,28.44,-153.56,1.69,156.37,180,611,141,0
0.42,2.26,0.19,-30.27,43.58,-222.29,2.30,228.54,32736,3,120,1
0.61,3.05,-0.34,-46.39,23.74,-308.59,3.13,312.96,78,625,78,0
0.23,2.89,-0.34,-10.56,-21.18,-369.38,2.92,370.14,17,631,35,0
0.21,2.44,-0.52,67.57,-64.70,-365.84,2.50,377.62,4,518,5,0
-1.24,1.23,-0.60,-42.42,-89.84,-77.33,1.85,125.90,3,491,0,5
-1.11,1.30,0.00,31.92,-64.94,107.97,1.71,129.98,3,479,0,4
-0.94,-0.11,-0.62,26.37,-32.04,124.08,1.13,130.84,3,468,0,6
-0.90,0.51,-0.15,-47.30,-15.75,156.37,1.05,164.13,3,463,0,7
-0.76,0.57,-0.12,-40.83,8.79,192.50,0.96,196.98,3,459,0,7
-0.47,0.87,-0.06,-58.11,31.56,229.31,0.99,238.65,3,459,0,9
-0.04,1.13,-0.05,-62.68,44.01,246.40,1.14,258.03,3,457,0,6
0.20,1.40,0.07,-73.73,37.60,248.96,1.41,262.36,3,458,0,7
0.57,1.74,0.14,-66.77,20.51,245.00,1.84,254.76,4,461,0,6
0.61,1.85,0.17,-59.51,8.42,232.85,1.95,240.48,4,464,0,4
1.15,1.75,0.10,-49.93,32.84,227.54,2.10,235.26,4,469,0,2
1.54,1.83,0.44,-66.83,57.86,189.82,2.43,209.39,4,480,0,3
1.77,1.67,0.44,-35.46,66.28,166.69,2.47,182.85,4,481,0,2
2.28,1.16,0.15,-18.92,45.72,144.17,2.56,152.42,4,481,0,1
2.49,0.88,0.12,-27.89,4.70,82.09,2.65,86.83,4,474,0,2
2.45,2.25,0.68,-35.28,-28.20,-77.39,3.40,89.61,4,451,0,14
0.84,1.18,0.09,154.36,-77.03,-174.87,1.45,245.64,5,389,0,49
-0.41,0.87,-0.06,109.56,-23.50,-177.37,0.96,209.80,6,360,0,90
0.70,1.12,0.42,72.94,40.71,-162.96,1.38,183.12,9,368,0,127
0.14,1.21,-0.08,-6.77,9.58,-74.52,1.22,75.44,20,334,0,132
0.23,1.02,0.12,-1.71,33.33,-23.32,1.05,40.71,46,311,0,126
0.20,1.02,0.07,7.02,8.91,-14.89,1.04,18.72,75,300,2,126
0.14,0.94,0.09,19.23,-0.67,-14.47,0.95,24.07,179,326,10,132
0.15,0.97,0.11,5.86,-0.73,-4.94,0.99,7.70,201,345,19,133
0.16,0.97,0.10,-1.10,-0.73,-3.05,0.99,3.33,323,367,28,136
0.15,0.97,0.11,-3.30,-0.92,-3.36,0.99,4.79,538,385,35,134
0.16,0.97,0.10,-6.71,-0.85,-3.23,0.99,7.50,387,406,40,124
0.16,0.98,0.08,-6.41,-1.04,-3.42,1.00,7.34,534,424,52,111
0.17,1.00,0.08,-3.85,0.85,-4.33,1.02,5.86,393,436,58,103
0.17,1.00,0.08,1.40,-0.98,-3.11,1.01,3.55,1008,450,63,97
0.16,0.95,0.11,4.76,-1.89,-5.31,0.97,7.38,1429,465,67,81
0.16,0.98,0.09,1.34,-1.53,-6.10,1.00,6.43,741,469,73,65
0.17,1.00,0.08,5.49,-2.08,-10.31,1.02,11.87,653,484,82,62
0.18,0.96,0.10,8.61,-3.23,-12.82,0.98,15.77,604,494,93,55
0.21,1.03,0.08,8.36,-3.78,-16.48,1.06,18.86,547,503,100,46
0.19,1.03,0.12,17.70,-5.37,-22.89,1.05,29.43,1017,516,109,35
0.20,1.03,0.14,18.19,-4.21,-26.98,1.06,32.81,583,524,118,25
0.21,1.11,0.17,10.74,-4.88,-31.07,1.14,33.23,1081,553,120,14
0.24,1.13,0.18,2.56,1.65,-55.60,1.17,55.69,445,604,123,7
0.24,1.23,0.29,-6.53,5.37,-76.60,1.29,77.06,458,643,130,2
0.33,1.36,0.23,-14.40,13.24,-97.41,1.42,99.36,347,658,131,0
