-,-,-
-0.28,0.64,0.19,41.02,-18.07,2.14,0.72,44.87,3,739,12,0
0.24,0.89,0.45,-8.85,-3.42,-27.04,1.03,28.65,8,775,45,0
0.61,0.90,-0.29,-9.95,22.16,-6.35,1.12,25.10,20,783,78,0
0.53,0.90,-0.19,4.27,6.10,-3.91,1.06,8.41,37,781,106,0
0.40,0.83,0.03,7.26,-1.28,3.66,0.92,8.23,66,774,127,0
0.40,0.82,0.01,0.24,3.78,10.13,0.91,10.82,90,766,136,0
0.49,0.75,-0.17,8.42,2.32,28.69,0.92,29.99,130,756,135,0
0.39,1.11,-0.01,33.75,-12.08,47.00,1.18,59.11,138,742,142,0
0.29,1.22,0.08,35.83,-13.31,29.54,1.26,48.30,163,735,145,2
0.23,1.17,0.19,20.39,-8.42,1.22,1.20,22.09,152,743,142,2
0.28,1.24,0.10,-6.84,-0.06,-29.30,1.27,30.08,102,767,139,0
0.29,1.19,0.10,-20.32,2.81,-67.38,1.23,70.44,69,796,138,0
0.34,0.98,0.08,-24.17,6.59,-83.62,1.04,87.29,42,833,131,0
0.40,0.80,0.04,-22.09,9.52,-87.22,0.90,90.48,25,848,122,0
0.49,0.68,-0.03,-21.18,10.13,-78.06,0.84,81.52,21,857,100,0
0.55,0.74,-0.08,-17.27,2.69,-59.69,0.93,62.20,17,850,76,0
0.53,0.98,0.00,-23.01,0.49,-57.07,1.12,61.53,13,833,51,0
0.63,1.16,-0.06,-38.09,2.81,-69.89,1.32,79.64,8,806,25,0
0.77,0.96,-0.18,-74.28,0.06,-86.24,1.24,113.82,3,758,8,0
0.78,0.72,-0.31,-127.50,-16.05,-78.80,1.10,150.74,2,687,0,1
0.58,1.12,-0.17,-126.22,-54.20,-35.77,1.28,141.95,1,633,0,2
0.29,0.99,-0.05,-65.06,-88.50,-6.71,1.03,110.05,1,619,0,3
-0.22,0.68,0.19,-10.56,-142.33,35.22,0.74,147.01,1,649,0,4
-0.46,0.35,0.27,10.68,-136.41,48.95,0.64,145.32,1,656,0,2
-0.45,0.40,0.20,7.81,-103.58,97.90,0.63,142.74,1,660,0,4
-0.25,0.65,0.22,-0.67,-75.62,116.03,0.73,138.50,1,692,0,2
0.02,0.79,0.18,-3.48,-51.82,106.99,0.81,118.93,1,720,0,2
0.11,0.86,0.24,5.00,-31.37,124.08,0.90,128.09,1,726,0,2
0.53,1.16,0.34,9.77,15.50,126.95,1.32,128.27,1,738,0,2
1.46,1.38,0.39,50.60,57.92,55.36,2.05,94.76,1,765,0,0
2.21,0.29,0.56,110.60,86.00,-28.99,2.30,143.07,1,812,17,3
1.96,-1.50,-1.13,6.84,117.98,-10.86,2.71,118.68,3,816,47,0
0.31,1.75,-0.88,-45.29,40.34,40.22,1.98,72.78,14,807,90,0
0.42,1.23,-0.21,19.41,-14.89,30.76,1.31,39.30,41,781,117,0
0.38,0.95,0.05,32.78,-15.32,26.49,1.03,44.84,68,763,126,0
0.32,0.94,0.11,13.24,-1.59,25.63,1.00,28.90,106,745,142,0
0.33,1.04,0.04,7.57,2.81,16.05,1.09,17.97,142,727,145,3
0.30,1.09,0.04,6.41,-0.98,6.71,1.13,9.33,162,718,149,1
0.30,1.04,0.06,6.35,-2.87,0.98,1.09,7.03,155,718,150,2
0.27,1.12,0.10,1.40,-2.75,-7.87,1.16,8.46,174,734,145,0
0.29,1.30,0.06,-6.29,-0.55,-29.11,1.34,29.79,110,767,144,0
0.28,1.24,0.09,-15.87,0.43,-72.51,1.27,74.23,54,809,144,0
0.30,1.19,0.10,-19.65,2.44,-101.01,1.23,102.94,29,838,137,0
0.31,0.90,0.18,-23.19,9.52,-121.89,0.97,124.44,18,853,129,0
0.44,0.67,0.12,-41.63,20.57,-122.50,0.81,131.00,14,853,102,0
0.59,0.98,-0.07,-56.58,19.47,-115.97,1.15,130.49,11,854,67,0
0.73,1.05,0.01,-71.72,17.52,-122.44,1.28,142.97,7,830,35,0
0.95,0.85,-0.29,-88.32,15.75,-117.74,1.31,148.02,3,795,13,0
0.90,0.82,-0.33,-117.49,-11.41,-100.71,1.26,155.17,1,760,1,0
0.99,0.78,-0.29,-111.08,-66.10,-59.75,1.29,142.41,1,738,0,0
0.60,0.96,0.18,-71.72,-130.55,-42.85,1.14,155.00,1,723,0,1
-0.16,0.78,0.52,-15.93,-140.20,-38.94,0.95,146.37,1,739,0,2
-0.49,0.35,0.51,24.23,-80.26,-2.26,0.78,83.87,1,760,0,2
-0.25,0.03,0.27,35.71,-17.76,76.72,0.37,86.47,1,763,0,2
0.23,0.29,0.02,29.48,-24.66,103.70,0.37,110.59,1,758,0,2
0.17,0.37,0.11,17.27,-52.37,104.68,0.42,118.31,1,754,0,2
0.14,0.42,0.24,14.65,-59.51,110.60,0.50,126.44,1,774,0,1
0.34,0.75,0.35,22.40,-45.35,120.85,0.90,131.01,1,782,0,4
0.84,0.81,0.23,15.62,13.37,114.93,1.19,116.75,1,792,0,1
2.11,0.79,-0.08,-19.96,124.39,29.17,2.25,129.31,1,793,4,0
