-,-,-,-,-,-,-,-,-,-,-,-
'w'
0.38,0.70,-0.18,24.17,-13.67,-76.23,0.82,81.13,0,0,13,2
-0.51,0.76,-0.06,11.90,-28.93,-21.97,0.92,38.23,0,0,4,5
-0.66,0.32,-0.15,5.68,-3.66,21.18,0.75,22.23,0,0,4,7
-0.58,0.75,-0.07,-46.26,16.72,72.45,0.95,87.57,0,0,4,8
-0.42,0.82,0.06,-51.88,11.60,95.28,0.93,109.10,0,0,4,5
-0.30,1.04,0.19,-54.26,1.95,112.92,1.10,125.29,0,0,4,5
-0.18,1.19,0.25,-46.75,-0.43,115.91,1.23,124.98,0,0,3,6
-0.04,1.31,0.23,-18.98,3.11,110.78,1.33,112.44,0,0,2,3
0.14,1.32,0.08,-22.95,9.89,86.98,1.33,90.49,0,0,2,4
0.22,1.27,0.05,-21.55,16.78,69.34,1.29,74.52,0,0,0,4
0.34,1.19,0.01,-20.87,23.19,67.63,1.24,74.48,0,0,1,2
0.47,1.10,0.02,-22.83,25.70,62.19,1.19,71.06,0,0,1,2
0.55,1.08,0.06,-13.61,19.90,64.09,1.21,68.47,0,0,1,3
0.56,0.87,0.05,0.79,13.24,66.22,1.04,67.54,0,0,1,3
0.57,0.81,0.08,-7.69,6.29,59.75,1.00,60.57,0,0,0,4
0.56,0.95,0.17,-7.08,2.14,39.06,1.12,39.76,0,0,1,4
0.51,0.81,0.18,16.48,5.92,19.29,0.98,26.05,0,0,1,3
0.54,0.97,0.13,28.26,11.05,30.40,1.12,42.95,0,0,2,3
-0.32,0.67,0.09,-15.38,13.67,-69.27,0.75,72.27,0,0,0,22
-0.03,1.06,-0.02,2.08,9.16,-96.80,1.06,97.26,0,0,0,46
0.01,1.12,0.02,17.70,10.44,-116.09,1.12,117.89,1,404,0,76
0.32,1.09,0.11,26.25,12.76,-100.10,1.14,104.26,2,371,0,103
0.17,1.03,0.04,26.86,-3.78,-60.79,1.04,66.57,6,359,4,120
0.16,0.96,0.06,30.70,0.00,-35.46,0.98,46.90,14,353,6,119
0.18,0.88,0.11,16.85,0.98,-15.32,0.90,22.79,26,347,12,124
0.15,0.93,0.09,4.76,1.04,-5.37,0.94,7.25,50,363,18,123
0.15,0.95,0.09,-0.12,0.37,-2.32,0.96,2.35,73,367,26,129
0.14,0.96,0.08,-2.99,0.24,-0.49,0.98,3.04,102,370,27,126
0.14,0.96,0.08,-1.40,0.31,-0.98,0.98,1.74,87,372,30,126
0.14,0.96,0.08,0.98,0.79,-2.38,0.98,2.69,92,373,38,128
0.14,0.96,0.08,1.89,0.73,-1.95,0.97,2.82,114,381,42,127
0.14,0.96,0.08,1.16,0.85,-1.59,0.97,2.14,154,386,45,131
0.15,0.96,0.08,0.24,1.04,-1.40,0.97,1.76,128,395,48,131
0.15,0.96,0.08,-0.49,0.85,-0.12,0.97,0.99,123,397,48,131
0.14,0.97,0.08,-0.85,0.61,-1.04,0.98,1.48,123,397,50,130
0.14,0.97,0.08,0.12,0.43,-2.14,0.98,2.18,149,403,52,127
0.15,0.96,0.08,0.31,0.18,-3.17,0.97,3.19,182,411,54,119
0.15,0.95,0.08,0.55,0.12,-2.32,0.97,2.39,138,418,59,119
0.15,0.96,0.08,0.61,0.12,-1.28,0.98,1.42,135,425,61,117
0.15,0.95,0.08,1.34,0.24,-1.34,0.97,1.91,163,429,61,115
0.15,0.96,0.08,2.01,0.85,-1.22,0.98,2.51,146,434,63,113
0.14,0.97,0.08,2.99,1.28,-3.23,0.98,4.59,184,440,65,108
0.16,0.96,0.08,3.66,1.28,-4.15,0.98,5.68,141,445,70,102
0.15,0.96,0.09,3.78,1.10,-4.58,0.98,6.04,153,459,73,91
0.16,0.97,0.09,3.85,0.85,-5.49,0.99,6.76,168,472,81,74
0.16,0.97,0.09,4.03,0.06,-7.75,0.99,8.74,232,493,84,54
0.16,0.95,0.10,2.75,0.12,-8.97,0.97,9.38,172,525,94,36
0.17,1.03,0.07,0.31,-0.43,-11.47,1.05,11.49,170,554,97,23
0.17,0.96,0.10,3.85,-0.79,-14.77,0.98,15.28,158,590,101,9
0.16,0.95,0.13,2.50,0.37,-20.26,0.97,20.42,144,635,107,2
0.16,1.30,0.10,-15.44,8.67,-39.43,1.31,43.22,92,696,118,0
0.11,1.54,0.19,-19.78,12.70,-73.91,1.55,77.56,43,768,124,0
0.16,1.66,0.23,-27.53,18.55,-124.27,1.68,128.63,21,804,131,0
0.15,1.65,0.15,-21.85,27.83,-171.02,1.67,174.64,11,818,126,0
0.17,1.73,0.26,-20.14,39.18,-251.34,1.76,255.18,5,840,88,0
0.41,1.56,0.16,-39.18,47.91,-291.38,1.62,297.88,2,861,45,0
0.60,1.05,-0.09,-69.21,44.07,-287.66,1.21,299.13,1,787,21,0
-0.20,0.22,-0.26,-54.50,17.64,-225.95,0.39,233.10,0,0,8,3
-0.49,0.79,-0.03,10.01,-13.06,-25.45,0.93,30.31,0,0,1,2
-0.34,0.38,-0.21,61.83,-43.95,60.00,0.55,96.71,0,0,1,2
-0.42,0.24,-0.17,44.86,-63.54,88.99,0.51,118.19,0,0,0,4
-0.56,0.30,-0.03,20.57,-56.88,116.58,0.63,131.34,0,0,2,2
-0.55,0.57,0.08,10.31,-25.70,185.85,0.79,187.90,0,0,0,4
-0.13,0.97,0.05,6.84,-10.93,216.06,0.98,216.45,0,0,0,5
0.28,1.17,-0.05,2.32,-19.10,216.49,1.21,217.35,0,0,0,2
0.45,1.29,-0.01,-12.76,-45.41,200.13,1.37,205.62,0,0,0,4
0.32,1.65,0.23,-30.03,-51.70,172.61,1.69,182.67,0,0,0,3
0.37,1.72,0.35,-19.53,-10.31,129.21,1.79,131.09,0,0,0,0
0.65,1.61,0.16,-12.45,25.15,121.89,1.74,125.08,0,0,0,2
0.87,1.31,0.01,-2.26,23.93,145.14,1.57,147.12,0,0,2,1
0.93,1.18,-0.03,-7.39,-4.15,204.53,1.50,204.70,0,0,1,3
1.12,1.11,0.09,-22.52,-20.39,168.33,1.58,171.05,0,0,1,0
1.30,0.99,0.15,-20.75,-12.33,116.15,1.64,118.63,0,0,1,0
1.50,0.73,0.11,0.18,1.95,66.22,1.67,66.25,0,0,2,3
1.36,0.66,0.06,2.38,9.03,16.97,1.52,19.37,0,0,1,1
-0.03,1.75,-0.23,-15.44,41.75,-160.64,1.76,166.70,0,0,0,36
-0.05,0.73,0.09,2.20,22.40,-175.05,0.74,176.49,0,0,0,80
0.24,1.28,0.20,39.31,10.13,-144.78,1.32,150.36,2,317,0,122
0.25,0.93,0.10,57.62,-3.48,-86.85,0.97,104.28,9,346,9,135
0.18,0.83,0.15,34.61,-0.06,-35.28,0.86,49.42,22,350,11,135
0.15,0.94,0.10,8.12,-0.31,-14.16,0.95,16.32,43,362,18,124
0.14,0.93,0.10,2.08,0.49,-8.42,0.95,8.69,64,381,24,124
0.14,0.95,0.09,-2.20,0.00,-5.37,0.96,5.80,90,399,41,118
0.13,0.97,0.08,-2.81,-0.92,-4.33,0.98,5.24,128,409,46,117
0.13,0.95,0.09,-1.34,-1.04,-3.85,0.97,4.20,173,421,53,116
0.13,0.96,0.09,-2.50,-1.10,-3.05,0.97,4.10,176,433,57,117
0.13,0.96,0.08,-2.62,-0.67,-3.17,0.97,4.17,163,439,62,115
0.13,0.97,0.08,-2.38,0.37,-3.97,0.98,4.64,199,446,69,107
0.14,0.97,0.08,-0.79,1.77,-4.58,0.98,4.97,320,457,73,101
