-,-,-
0.18,1.01,0.11,3.48,0.67,-2.56,1.03,4.37,227,552,88,86
0.16,1.00,0.15,5.68,-0.18,-10.01,1.02,11.51,205,568,90,68
0.18,1.05,0.13,4.64,0.00,-19.47,1.08,20.02,174,611,94,45
0.19,1.04,0.13,1.16,-1.59,-28.26,1.06,28.33,129,663,98,29
0.23,1.01,0.12,-1.22,0.37,-35.58,1.04,35.61,79,713,99,17
0.19,1.05,0.15,-11.72,2.81,-50.05,1.07,51.48,58,742,102,13
0.26,1.06,0.12,-12.33,5.86,-61.34,1.09,62.84,38,769,102,10
0.25,1.20,0.12,-7.51,3.85,-75.87,1.23,76.33,28,789,101,7
0.29,1.23,0.10,-0.31,5.00,-97.35,1.27,97.48,21,807,101,5
0.31,1.37,0.08,12.51,6.71,-133.73,1.40,134.48,15,826,94,1
0.34,1.56,0.14,22.28,9.16,-170.72,1.61,172.41,12,836,78,0
0.43,1.47,0.18,38.94,14.34,-203.19,1.54,207.38,8,827,44,0
0.56,1.08,0.27,42.18,20.45,-196.90,1.25,202.40,3,798,19,6
0.33,1.16,0.13,78.00,21.48,-139.28,1.21,161.08,2,749,10,17
-0.54,0.61,-0.17,77.09,28.32,-12.15,0.83,83.02,2,713,3,20
-0.80,0.56,-0.36,56.27,44.31,64.15,1.04,96.15,2,719,1,19
-0.55,0.37,-0.45,51.70,44.74,126.10,0.80,143.44,2,716,0,18
-0.54,0.48,-0.26,22.95,18.55,166.02,0.77,168.62,2,707,0,20
-0.11,0.77,0.07,14.10,30.21,211.73,0.78,214.34,2,701,0,22
0.55,1.07,0.34,-11.96,59.69,162.48,1.25,173.51,2,705,0,17
1.36,1.21,0.53,-13.85,96.50,104.31,1.89,142.77,2,706,0,16
3.39,1.65,0.93,18.98,133.18,10.44,3.88,134.93,2,722,10,14
2.62,-1.55,-0.73,69.58,125.00,-143.92,3.13,202.93,3,792,31,12
0.13,0.95,0.23,53.59,69.95,-112.49,0.99,142.89,3,811,32,2
-0.43,0.48,-0.39,34.30,69.15,-92.35,0.75,120.36,3,827,35,0
0.85,0.58,-0.31,0.73,46.69,-80.26,1.07,92.86,3,858,45,0
0.78,0.26,-0.29,3.42,17.82,-46.88,0.87,50.27,5,876,49,0
0.89,0.39,-0.20,11.78,-5.31,-14.16,0.99,19.17,6,873,61,0
0.70,0.84,0.04,18.13,-19.29,0.18,1.10,26.47,7,866,73,0
