-,-,-,-,-,-,-,-,-,-,-,-
'a'
0.12,0.96,0.07,0.61,0.49,-0.31,0.97,0.84,12,591,10,86
0.12,0.96,0.07,0.73,0.73,-0.06,0.97,1.04,11,590,11,84
0.12,0.96,0.07,0.73,0.79,-0.18,0.97,1.10,12,590,12,85
0.12,0.96,0.07,0.85,0.67,-0.18,0.97,1.10,12,591,12,89
0.12,0.96,0.07,0.79,0.73,-0.37,0.97,1.14,11,591,12,87
0.12,0.96,0.07,0.92,0.61,-0.24,0.97,1.13,12,591,9,89
0.12,0.96,0.07,1.04,0.67,-0.18,0.97,1.25,12,592,12,89
0.12,0.96,0.07,0.61,0.67,-0.24,0.97,0.94,12,592,10,90
0.12,0.96,0.07,0.79,0.55,-0.12,0.97,0.97,12,593,11,90
0.12,0.96,0.07,0.67,0.55,-0.31,0.97,0.92,12,593,12,90
0.12,0.96,0.07,0.92,0.61,-0.12,0.97,1.11,12,595,11,87
0.12,0.96,0.07,0.79,0.73,-0.24,0.97,1.11,11,591,13,85
0.12,0.96,0.07,0.61,0.61,-0.18,0.97,0.88,13,593,12,87
0.12,0.96,0.07,0.73,0.67,-0.18,0.97,1.01,11,593,10,90
0.12,0.96,0.07,0.67,0.55,-0.18,0.97,0.89,12,593,11,89
0.12,0.96,0.07,0.61,0.73,-0.06,0.97,0.96,12,591,11,88
0.12,0.96,0.07,0.73,0.49,-0.31,0.97,0.93,12,594,12,90
0.12,0.96,0.07,0.73,0.67,-0.06,0.97,1.00,12,590,11,90
0.12,0.96,0.07,0.73,0.67,-0.24,0.97,1.02,12,592,12,89
0.12,0.96,0.07,0.79,0.79,-0.18,0.97,1.14,11,593,12,89
0.12,0.96,0.07,0.67,0.73,-0.24,0.97,1.02,12,592,12,90
0.12,0.96,0.07,0.85,0.61,-0.24,0.97,1.08,12,593,12,86
0.12,0.96,0.07,0.79,0.67,-0.31,0.97,1.08,12,591,10,85
0.12,0.96,0.07,0.85,0.67,-0.18,0.97,1.10,12,593,13,89
0.12,0.96,0.07,0.85,0.67,-0.31,0.97,1.13,12,592,11,86
0.12,0.96,0.07,0.92,0.61,-0.31,0.97,1.14,11,591,12,89
0.12,0.96,0.07,0.92,0.67,-0.18,0.97,1.15,12,591,12,89
0.12,0.96,0.07,0.92,0.55,-0.31,0.97,1.11,12,592,12,89
0.12,0.96,0.07,0.85,0.61,-0.12,0.97,1.06,12,590,9,89
0.12,0.96,0.07,0.73,0.55,-0.31,0.97,0.97,11,589,12,85
0.12,0.96,0.07,0.67,0.73,-0.37,0.97,1.06,11,592,10,89
0.12,0.96,0.07,0.55,0.73,-0.24,0.97,0.95,12,593,11,86
0.12,0.96,0.07,0.37,0.49,-0.37,0.97,0.71,12,591,9,89
0.12,0.96,0.07,0.61,0.85,-0.12,0.97,1.06,12,591,11,85
0.12,0.96,0.07,0.61,0.73,-0.24,0.97,0.98,11,593,10,88
0.12,0.96,0.07,0.85,0.67,-0.31,0.97,1.13,12,591,12,89
0.12,0.96,0.07,0.67,0.55,-0.18,0.97,0.89,11,591,11,87
0.12,0.96,0.07,0.85,0.61,-0.31,0.97,1.09,12,591,10,89
0.12,0.96,0.07,0.85,0.61,-0.12,0.97,1.06,12,593,11,89
0.12,0.96,0.07,0.67,0.67,-0.24,0.97,0.98,12,591,12,89
0.12,0.96,0.07,0.55,0.67,-0.06,0.97,0.87,11,592,11,90
0.12,0.96,0.07,0.31,0.61,-0.24,0.97,0.72,12,589,12,89
0.12,0.96,0.07,0.79,0.67,-0.12,0.97,1.05,11,592,11,88
0.12,0.96,0.07,0.61,0.61,-0.31,0.97,0.92,12,591,11,89
0.12,0.96,0.07,0.79,0.61,-0.31,0.97,1.05,12,592,10,86
0.12,0.96,0.07,0.79,0.55,-0.18,0.97,0.98,12,592,13,86
0.12,0.96,0.07,0.79,0.55,-0.24,0.97,1.00,12,591,10,90
0.12,0.96,0.07,0.85,0.61,-0.18,0.97,1.07,12,591,11,85
0.12,0.96,0.07,0.98,0.49,-0.18,0.97,1.11,12,591,11,87
0.12,0.96,0.07,0.61,0.67,-0.18,0.97,0.93,12,590,13,85
0.12,0.96,0.07,0.61,0.67,-0.43,0.97,1.00,11,595,11,90
0.12,0.96,0.07,0.73,0.73,-0.24,0.97,1.06,11,593,11,87
0.12,0.96,0.07,0.31,0.49,-0.49,0.97,0.75,12,590,11,88
0.12,0.96,0.07,0.61,0.67,-0.18,0.97,0.93,12,591,11,89
0.12,0.96,0.07,0.61,0.49,-0.31,0.97,0.84,11,592,11,88
0.12,0.96,0.07,0.61,0.61,-0.24,0.97,0.90,12,591,10,89
0.12,0.96,0.07,0.73,0.55,-0.06,0.97,0.92,12,592,11,87
0.12,0.96,0.07,0.49,0.43,-0.24,0.97,0.69,12,591,9,90
0.12,0.96,0.07,0.73,0.61,-0.31,0.97,1.00,12,590,10,89
0.12,0.96,0.07,0.49,0.49,-0.37,0.97,0.78,12,590,10,89
0.12,0.96,0.07,0.92,0.61,-0.24,0.97,1.13,12,591,10,89
0.12,0.96,0.07,0.61,0.61,-0.37,0.97,0.94,11,592,11,87
0.12,0.96,0.07,0.92,0.61,-0.18,0.97,1.12,12,591,13,89
0.12,0.96,0.07,0.98,0.73,-0.18,0.97,1.23,12,593,12,88
0.12,0.96,0.07,0.85,0.61,-0.37,0.97,1.11,12,591,13,89
0.12,0.96,0.07,0.85,0.61,-0.31,0.97,1.09,12,591,10,86
0.12,0.96,0.07,0.73,0.49,-0.31,0.97,0.93,12,591,11,85
0.12,0.96,0.07,0.73,0.73,-0.18,0.97,1.05,12,590,10,90
0.12,0.96,0.07,0.37,0.55,-0.49,0.97,0.82,12,592,11,89
0.12,0.96,0.07,0.61,0.67,-0.18,0.97,0.93,12,593,11,89
0.12,0.96,0.07,0.43,0.61,-0.31,0.97,0.81,12,591,11,85
0.12,0.96,0.07,0.67,0.67,-0.24,0.97,0.98,11,592,10,89
0.12,0.96,0.07,0.98,0.79,-0.31,0.97,1.29,12,590,12,89
0.12,0.96,0.07,0.79,0.61,-0.12,0.97,1.01,12,589,10,89
0.12,0.96,0.07,0.73,0.55,-0.24,0.97,0.95,12,592,12,88
0.12,0.96,0.07,0.49,0.55,-0.37,0.97,0.82,12,590,10,89
0.12,0.96,0.07,0.67,0.73,-0.31,0.97,1.04,12,591,12,89
0.12,0.96,0.07,0.67,0.49,-0.43,0.97,0.93,12,592,11,87
0.12,0.96,0.07,0.61,0.55,-0.37,0.97,0.90,11,591,13,89
0.12,0.96,0.07,0.73,0.55,-0.18,0.97,0.93,12,592,11,89
0.12,0.96,0.07,0.85,0.43,-0.24,0.97,0.99,12,591,11,90
0.12,0.96,0.07,0.61,0.55,-0.37,0.97,0.90,12,590,9,89
0.12,0.96,0.07,0.55,0.55,-0.37,0.97,0.86,12,590,9,87
0.12,0.96,0.07,0.61,0.98,-0.18,0.97,1.17,12,591,12,90
0.12,0.96,0.07,0.43,0.43,-0.37,0.97,0.71,12,591,11,89
0.12,0.96,0.07,0.67,0.61,-0.18,0.97,0.93,13,590,13,89
0.12,0.96,0.07,0.55,0.43,-0.31,0.97,0.76,11,591,11,88
0.12,0.96,0.07,0.67,0.49,-0.24,0.97,0.87,12,591,12,90
0.12,0.96,0.07,0.67,0.73,-0.24,0.97,1.02,12,591,11,89
0.12,0.96,0.07,0.55,0.73,-0.24,0.97,0.95,12,591,12,89
0.12,0.96,0.07,0.73,0.55,-0.18,0.97,0.93,11,590,12,86
0.12,0.96,0.07,0.55,0.61,-0.37,0.97,0.90,12,587,10,89
0.12,0.96,0.07,0.85,0.49,-0.18,0.97,1.00,12,588,10,87
0.12,0.96,0.07,0.61,0.49,-0.49,0.97,0.92,12,587,13,85
0.12,0.96,0.07,0.79,0.55,-0.18,0.97,0.98,12,593,12,90
0.12,0.96,0.07,0.55,0.61,-0.55,0.97,0.99,12,588,12,88
0.12,0.96,0.07,0.73,0.55,-0.18,0.97,0.93,12,591,11,86
0.12,0.96,0.07,0.79,0.67,-0.18,0.97,1.06,12,590,11,86
0.12,0.96,0.07,0.61,0.37,-0.18,0.97,0.73,12,591,11,90
0.12,0.96,0.07,0.61,0.55,-0.12,0.97,0.83,12,590,12,90
0.12,0.96,0.07,0.55,0.49,-0.31,0.97,0.80,12,590,11,90
0.12,0.96,0.07,0.73,0.67,-0.18,0.97,1.01,12,589,11,89
0.12,0.96,0.07,0.49,0.55,-0.37,0.97,0.82,13,591,12,90
0.12,0.96,0.07,0.67,0.55,-0.31,0.97,0.92,12,591,12,89
0.12,0.96,0.07,0.61,0.61,-0.24,0.97,0.90,12,591,12,89
0.12,0.96,0.07,0.73,0.61,-0.31,0.97,1.00,12,591,11,89
0.12,0.96,0.07,0.73,0.55,-0.31,0.97,0.97,13,590,13,89
0.12,0.96,0.07,0.85,0.49,-0.31,0.97,1.03,12,590,12,90
0.12,0.96,0.07,0.67,0.67,-0.18,0.97,0.97,12,591,11,90
0.12,0.96,0.07,0.55,0.37,-0.37,0.97,0.75,12,592,12,89
0.12,0.96,0.07,0.79,0.67,-0.37,0.97,1.10,12,590,11,91
0.12,0.96,0.07,0.55,0.37,-0.61,0.97,0.90,12,592,13,86
0.12,0.96,0.07,0.49,0.43,-0.43,0.97,0.78,12,590,11,89
0.12,0.96,0.07,0.73,0.55,-0.43,0.97,1.01,12,589,11,89
0.12,0.96,0.07,0.55,0.67,-0.18,0.97,0.89,12,589,13,89
0.12,0.96,0.07,0.55,0.73,-0.24,0.97,0.95,13,589,12,86
0.12,0.96,0.07,0.67,0.61,-0.18,0.97,0.93,12,592,12,85
0.12,0.96,0.07,0.55,0.73,-0.31,0.97,0.97,12,590,12,86
0.12,0.96,0.07,0.49,0.31,-0.37,0.97,0.68,13,589,10,89
0.12,0.96,0.07,0.73,0.49,-0.31,0.97,0.93,12,589,11,89
0.12,0.96,0.07,0.55,0.55,-0.31,0.97,0.83,13,590,12,89
0.12,0.96,0.07,0.92,0.73,-0.18,0.97,1.19,12,591,12,89
