-,-,-,-,-,-,-,-,-,-,-,-




'w'













0.23,0.96,-0.02,-3.85,1.95,2.44,0.98,4.96,125,560,64,79
0.22,0.96,-0.03,-2.99,2.08,2.20,0.99,4.25,144,558,63,81
0.22,0.97,-0.03,-0.79,1.77,0.92,1.00,2.14,122,557,63,81
0.22,1.00,-0.04,7.45,-0.12,-2.87,1.02,7.98,148,561,62,78
0.22,1.02,-0.04,11.66,-0.73,-6.90,1.05,13.56,123,581,66,65
0.25,1.23,-0.09,25.45,-2.38,-18.92,1.26,31.80,77,635,70,33
0.33,1.13,-0.28,40.89,-11.41,-48.03,1.21,64.11,30,723,66,16
0.45,1.71,-0.27,23.68,-33.57,-79.10,1.79,89.13,10,716,58,15
0.60,1.17,-0.73,20.20,-76.60,-95.21,1.50,123.86,5,711,37,17
0.26,1.45,-0.38,66.22,-118.84,-87.28,1.53,161.63,3,710,9,18
-0.41,0.10,-0.87,55.05,-114.87,-37.48,0.97,132.78,3,715,11,22
-0.71,0.88,-0.30,-51.39,-73.73,1.65,1.17,89.89,2,722,10,21
-0.78,0.51,-0.25,-52.06,-2.87,36.32,0.96,63.54,2,721,10,21
-0.48,0.80,0.16,-94.85,-0.55,54.02,0.94,109.15,2,732,12,22
-0.40,0.85,0.32,-78.86,-26.12,69.27,0.99,108.17,2,734,11,23
-0.38,0.92,0.31,-73.55,-44.43,85.02,1.04,120.88,2,736,11,23
-0.20,1.16,0.31,-77.27,-38.02,90.88,1.22,125.20,2,753,9,23
0.09,1.26,0.24,-70.50,-23.74,70.74,1.28,102.65,2,756,9,22
0.22,1.45,0.35,-67.26,-12.63,50.90,1.50,85.29,2,757,10,21
0.30,1.47,0.44,-24.17,3.42,71.17,1.56,75.24,1,767,11,19
0.46,1.19,0.30,4.33,20.51,91.43,1.31,93.80,1,770,10,20
0.72,1.18,0.35,16.48,31.92,85.63,1.43,92.86,2,781,10,20
1.24,0.67,0.09,34.55,9.40,64.39,1.41,73.68,2,779,13,20
1.30,0.84,0.22,7.39,-30.15,32.29,1.56,44.79,2,789,13,21
0.87,1.18,0.53,36.07,-60.73,-15.99,1.56,72.42,1,797,12,21
-0.46,-0.27,0.14,126.34,-87.34,-75.62,0.55,171.20,2,704,10,39
-0.26,1.02,-0.25,7.57,-30.27,-127.69,1.09,131.44,2,619,10,58
0.27,1.14,0.04,29.85,16.78,-128.17,1.18,132.67,3,580,11,72
0.25,0.97,0.09,28.32,3.66,-82.40,1.01,87.21,-47,1002,12,88
0.39,0.95,0.05,24.84,2.99,-35.34,1.03,43.30,-43,1006,17,108
0.19,1.02,0.03,23.38,-1.77,-9.16,1.04,25.17,-40,1006,34,115
0.21,0.94,0.05,8.79,-0.67,-9.34,0.96,12.84,-41,1006,49,115
0.21,0.94,0.05,8.30,-1.04,-6.10,0.96,10.36,-39,1007,59,120
0.21,0.95,0.05,4.27,-0.43,-2.69,0.97,5.06,-40,1008,69,124
0.21,0.97,0.04,2.75,0.24,-0.67,1.00,2.84,-39,1007,81,127
0.21,0.98,0.04,8.12,-0.49,-1.16,1.00,8.21,-40,1008,84,131
