-,-,-,-,-,-,-,-,-,-,-,-
'w'
0.11,1.09,-0.03,5.55,52.86,-3.78,1.09,53.28,1,656,0,10
0.18,1.02,-0.09,4.39,56.95,2.26,1.04,57.16,1,663,0,11
0.26,0.94,-0.12,0.67,60.73,11.05,0.99,61.73,1,667,0,10
0.34,0.95,-0.06,-9.95,60.79,16.24,1.01,63.70,1,675,0,9
0.40,1.00,0.07,-5.68,55.97,13.55,1.08,57.87,1,676,0,9
0.47,1.00,0.13,8.30,56.21,13.06,1.11,58.30,1,678,0,10
0.60,0.91,-0.01,19.59,52.25,0.37,1.09,55.80,1,678,0,9
0.68,0.82,-0.18,12.82,31.86,-7.81,1.08,35.22,1,677,0,11
0.34,2.53,0.34,2.81,-1.65,-18.86,2.58,19.14,1,671,0,18
-0.20,1.18,-0.12,75.87,-16.78,-61.22,1.20,98.92,1,646,0,34
-0.04,0.95,0.03,10.19,2.14,-91.25,0.96,91.84,2,638,0,58
0.20,1.27,-0.10,-9.03,1.46,-85.94,1.29,86.42,4,558,0,76
0.08,0.98,0.01,2.87,3.78,-11.17,0.99,12.14,12,540,0,89
0.04,0.98,-0.02,-1.40,-1.40,-5.25,0.98,5.61,23,543,0,91
0.04,0.98,-0.03,-0.24,-0.24,-3.54,0.99,3.56,53,536,6,103
0.04,1.00,-0.03,0.31,0.55,-1.65,1.00,1.76,109,520,13,111
0.03,1.00,-0.03,1.28,0.37,-1.34,1.00,1.89,147,518,23,120
0.04,0.99,-0.02,1.34,0.00,-1.89,0.99,2.32,224,519,30,124
0.03,0.99,-0.02,-0.31,0.31,-1.34,0.99,1.41,234,523,34,130
0.03,0.99,-0.03,-1.28,0.85,-1.40,0.99,2.08,265,519,38,135
0.04,1.00,-0.03,-2.75,0.37,-2.08,1.00,3.46,352,523,42,134
0.04,1.00,-0.03,-0.98,-0.61,-2.01,1.00,2.32,330,522,46,134
0.04,0.99,-0.03,-0.92,-0.49,-1.65,1.00,1.95,406,527,50,129
0.04,0.99,-0.03,-2.08,-0.67,-1.46,0.99,2.63,406,527,53,122
0.04,0.99,-0.03,-2.87,-0.85,-1.89,0.99,3.54,524,530,51,113
0.04,0.99,-0.03,-2.62,-0.73,-1.89,0.99,3.32,524,531,53,107
0.04,0.99,-0.03,-1.28,-0.55,-0.92,0.99,1.67,465,532,56,104
0.04,0.99,-0.03,-0.85,-0.49,-0.55,0.99,1.13,472,532,52,102
0.04,0.99,-0.03,-0.24,-0.31,-0.37,0.99,0.54,381,532,55,102
0.04,0.99,-0.03,0.00,-0.49,-0.37,0.99,0.61,532,532,56,103
0.04,0.99,-0.03,1.04,-0.49,-0.24,1.00,1.17,608,530,55,109
0.04,1.00,-0.03,1.59,-0.55,0.00,1.00,1.68,469,532,54,113
0.04,0.99,-0.03,1.59,-0.79,-0.92,0.99,2.00,384,538,59,109
0.04,1.00,-0.03,0.00,-0.24,-0.61,1.00,0.66,422,546,65,113
0.04,0.99,-0.02,-1.40,-0.79,-1.89,0.99,2.49,540,546,69,105
0.04,1.01,-0.03,-0.79,-1.46,-3.42,1.01,3.80,441,551,81,85
0.04,1.01,-0.03,-0.12,-2.56,-6.23,1.01,6.73,413,561,89,62
0.05,1.04,-0.04,5.49,-6.29,-28.38,1.05,29.58,476,579,102,39
0.03,1.23,-0.07,15.08,-10.74,-35.58,1.23,40.11,492,605,112,16
0.04,1.12,0.05,9.03,-7.87,-52.98,1.12,54.32,453,640,119,7
0.07,1.25,0.02,-12.57,-3.05,-73.61,1.25,74.74,436,679,123,2
0.09,1.28,0.02,-21.61,-1.95,-95.21,1.28,97.66,259,724,129,0
0.14,1.26,-0.02,-25.70,-0.18,-118.53,1.27,121.28,226,766,127,0
0.16,1.39,-0.05,-24.48,0.12,-147.28,1.40,149.30,150,799,127,0
0.27,1.75,-0.17,-24.11,-1.89,-191.89,1.78,193.41,104,822,115,0
0.33,2.21,-0.15,-29.60,-8.79,-256.41,2.24,258.26,57,799,74,0
0.20,2.22,-0.17,-71.72,-12.33,-305.66,2.24,314.21,16,765,28,0
0.30,1.01,-0.67,-34.42,-25.76,-317.57,1.25,320.46,5,731,7,2
-1.21,1.54,0.25,-91.37,-38.88,-196.96,1.97,220.58,1,653,0,15
-0.92,0.82,-0.34,57.43,39.06,-52.73,1.28,87.21,1,658,0,17
-0.02,0.07,-0.69,30.64,-16.48,12.63,0.69,37.01,1,665,0,16
-0.52,0.37,-0.13,1.89,-104.55,57.92,0.66,119.54,1,663,0,19
-0.82,0.47,0.10,40.59,-115.60,116.64,0.95,169.16,1,657,0,17
-0.76,0.22,-0.08,62.93,-70.43,161.01,0.80,186.67,0,0,0,18
-0.73,0.31,-0.12,17.15,11.23,192.93,0.80,194.02,1,652,0,20
-0.38,0.80,-0.20,-43.76,62.50,214.29,0.91,227.47,1,645,0,19
-0.22,1.27,-0.15,-46.26,87.52,219.97,1.30,241.22,1,639,0,19
-0.01,1.24,-0.33,-28.50,79.83,231.32,1.28,246.37,1,638,0,21
0.02,1.61,-0.21,-33.63,50.72,241.88,1.63,249.42,1,635,0,19
0.35,1.86,-0.18,-29.54,37.23,236.33,1.90,241.06,2,630,0,16
0.76,2.02,-0.16,-24.23,44.68,193.60,2.17,200.16,2,629,0,14
1.21,1.84,-0.26,-21.12,57.19,135.13,2.22,148.25,2,631,0,10
1.42,1.66,-0.22,-43.76,65.49,105.29,2.19,131.49,2,632,0,9
1.78,1.65,-0.04,-23.32,53.34,101.56,2.43,117.06,2,635,0,8
2.34,0.76,-0.56,31.19,31.37,80.44,2.53,91.81,2,633,0,8
2.72,0.31,-0.69,-7.02,-21.85,59.63,2.83,63.90,2,625,0,8
-0.43,4.00,1.81,-67.81,-50.17,-49.74,4.41,97.93,2,611,0,24
-1.06,0.91,-0.38,108.22,15.56,-190.80,1.45,219.90,3,454,0,72
0.24,1.16,0.12,15.38,49.99,-198.18,1.19,204.97,3,501,0,96
0.65,1.50,0.07,-3.11,0.31,-111.39,1.63,111.43,44,574,0,127
0.13,1.06,-0.08,4.33,-0.37,-24.23,1.07,24.62,113,622,22,139
0.10,1.01,-0.05,-1.28,4.58,-8.36,1.01,9.62,143,642,44,141
0.09,0.98,-0.03,0.49,2.50,-4.46,0.99,5.13,219,646,61,147
0.09,0.99,-0.03,-0.06,1.22,-2.56,0.99,2.84,228,647,65,146
0.09,0.99,-0.04,-2.75,0.73,-0.61,0.99,2.91,265,645,72,141
0.08,0.99,-0.04,-3.54,-0.06,-0.31,0.99,3.55,240,644,72,139
0.08,1.00,-0.05,-4.21,-0.37,-0.85,1.00,4.31,244,644,83,136
0.08,0.99,-0.04,-1.77,-1.22,-1.65,1.00,2.71,280,651,91,125
0.08,0.99,-0.04,-1.04,-1.65,-1.95,1.00,2.76,254,655,95,109
0.08,0.99,-0.05,0.43,-1.83,-1.53,1.00,2.42,334,660,105,98
0.09,0.98,-0.04,1.71,-2.01,-0.61,0.99,2.71,361,669,111,76
0.09,0.97,-0.05,-1.95,-2.26,0.37,0.97,3.01,304,675,116,58
0.09,1.10,-0.07,-5.68,-3.54,-1.59,1.11,6.88,324,684,124,37
0.26,0.62,-0.47,27.47,-9.40,-14.89,0.82,32.63,349,693,128,23
0.06,0.89,0.09,38.70,-21.91,-15.62,0.90,47.13,334,701,136,13
0.04,1.17,0.10,34.42,-15.44,-26.31,1.17,45.99,286,720,137,5
0.09,1.16,0.04,7.14,-5.86,-47.67,1.16,48.56,274,730,144,2
