-,-,-,-,-,-,-,-,-,-,-,-





'w'













0.18,1.00,0.12,0.79,1.22,1.59,1.02,2.15,3,209,53,86
0.18,0.95,0.13,6.53,0.12,-0.12,0.98,6.53,2,247,48,84
0.18,0.95,0.14,7.69,0.24,-0.55,0.98,7.71,2,288,39,88
0.18,0.95,0.14,3.30,1.22,1.46,0.98,3.81,2,308,36,90
0.18,0.95,0.14,1.53,1.83,2.14,0.98,3.20,2,317,31,94
0.18,0.93,0.14,1.89,1.95,1.59,0.96,3.15,2,311,33,97
0.18,0.94,0.14,-0.67,2.14,3.11,0.97,3.83,2,290,31,105
0.18,0.95,0.14,-3.78,2.81,5.19,0.98,7.01,3,253,30,111
0.17,0.97,0.13,-3.36,2.81,6.65,0.99,7.96,3,223,30,119
0.17,0.96,0.13,-2.75,2.26,5.31,0.99,6.39,3,191,32,132
0.17,0.97,0.13,-1.59,1.65,3.97,0.99,4.58,3,168,33,136
0.17,0.96,0.13,-1.16,0.98,5.00,0.98,5.23,4,153,31,145
0.15,0.96,0.12,-3.42,0.73,4.70,0.98,5.86,4,139,32,153
0.16,0.98,0.12,-2.93,1.28,2.62,1.00,4.14,4,134,35,156
0.15,0.96,0.13,0.79,0.73,0.92,0.98,1.42,4,132,35,158
0.15,0.97,0.12,0.31,1.22,0.00,0.99,1.26,4,136,32,159
0.16,0.96,0.12,2.14,1.28,-1.34,0.98,2.83,4,143,36,155
0.15,0.97,0.12,2.44,1.28,-2.20,0.99,3.53,4,143,36,155
0.16,0.97,0.12,2.32,1.53,-3.17,0.99,4.22,4,143,43,147
0.16,0.97,0.12,2.01,1.65,-3.72,0.99,4.54,4,136,46,151
0.16,0.96,0.15,2.56,1.46,-4.52,0.99,5.40,4,135,54,146
0.16,0.96,0.13,1.16,1.65,-5.80,0.98,6.14,4,132,65,145
0.17,0.96,0.13,-1.22,1.83,-7.14,0.98,7.47,4,129,67,135
0.17,0.99,0.12,-2.01,1.59,-8.85,1.01,9.21,4,131,77,114
0.18,0.99,0.12,2.81,0.67,-14.10,1.01,14.39,4,137,86,87
0.20,1.18,0.07,5.80,-1.34,-25.45,1.20,26.14,3,145,90,49
0.32,0.91,-0.10,16.54,-4.27,-47.24,0.97,50.24,2,168,97,15
0.26,1.52,0.21,-27.22,-2.69,-96.68,1.56,100.47,2,243,100,12
0.20,1.70,0.19,-35.89,4.39,-156.98,1.72,161.09,1,336,86,11
0.44,1.44,-0.26,-103.58,-9.40,-226.50,1.53,249.24,1,455,51,9
0.41,1.23,-0.69,-191.65,-38.45,-221.98,1.47,295.78,1,620,18,10
-0.20,1.55,-0.11,-197.57,-131.77,-112.24,1.56,262.67,1,713,6,12
-0.51,0.82,-0.18,-75.38,-226.87,-29.72,0.99,240.90,1,740,7,16
-0.60,0.47,-0.12,-74.52,-235.53,20.02,0.77,247.85,1,763,3,19
-0.64,0.56,0.29,-114.26,-182.19,34.97,0.90,217.88,1,784,4,17
-0.42,0.84,0.53,-119.87,-117.80,48.22,1.08,174.85,1,799,5,18
-0.17,0.86,0.64,-95.03,-86.36,71.47,1.08,146.96,1,799,5,16
