-,-,-,-,-,-,-,-,-,-,-,-
'w'
0.07,1.01,0.07,-4.21,-0.92,-3.17,1.02,5.35,470,548,133,41
0.07,0.99,0.07,-3.23,-1.46,-5.19,0.99,6.29,389,560,136,24
0.08,1.09,0.04,-5.25,-2.08,-11.41,1.10,12.73,288,577,141,12
0.03,1.13,0.21,1.77,-2.01,-29.17,1.15,29.30,340,604,143,3
0.09,1.15,0.06,-9.46,-0.85,-48.65,1.16,49.56,298,656,147,0
0.10,1.41,0.09,-10.99,-0.85,-75.20,1.42,76.00,165,727,145,0
0.09,1.52,0.08,3.42,1.77,-106.38,1.52,106.45,91,782,141,0
0.16,1.80,0.10,9.64,6.90,-145.69,1.81,146.17,39,807,128,0
0.07,1.89,0.10,25.21,9.52,-194.46,1.90,196.32,19,792,112,0
0.37,1.63,-0.32,61.58,5.19,-233.76,1.71,241.80,7,758,68,0
0.47,1.83,-0.27,99.98,-12.21,-231.14,1.90,252.13,3,737,26,0
0.44,1.46,-0.57,133.18,-35.58,-201.84,1.62,244.42,1,710,3,0
-1.20,-1.20,-0.68,103.52,-26.25,-45.47,1.82,116.07,1,652,0,5
-0.31,0.72,-0.33,19.71,-1.95,35.10,0.85,40.30,1,674,0,4
-0.35,0.33,-0.40,15.81,27.83,33.33,0.62,46.21,1,671,0,6
-0.36,0.37,-0.36,-24.54,40.22,60.00,0.63,76.29,1,678,0,6
-0.30,0.50,-0.25,-43.09,40.22,94.54,0.63,111.41,1,677,0,7
-0.21,0.60,-0.18,-57.86,39.86,121.28,0.66,140.16,1,666,0,6
-0.26,0.84,-0.01,-74.34,60.06,133.06,0.88,163.82,1,663,0,6
-0.06,0.92,-0.11,-68.30,86.00,147.09,0.93,183.57,1,670,0,8
0.12,0.99,-0.10,-87.16,80.99,155.46,1.00,195.76,1,669,0,7
0.36,1.37,0.00,-84.05,60.97,153.69,1.41,185.48,1,670,0,6
0.41,1.30,-0.16,-66.59,23.62,155.94,1.37,171.20,2,667,0,5
0.50,1.48,-0.07,-66.83,-3.17,165.41,1.56,178.43,2,671,0,3
0.58,1.41,-0.08,-59.02,-12.33,145.69,1.53,157.67,1,684,0,3
0.75,1.40,0.01,-67.50,-14.59,106.45,1.59,126.89,1,695,0,0
0.90,1.37,0.14,-79.59,-9.70,64.94,1.65,103.18,1,714,0,0
1.00,1.25,0.31,-76.90,-2.69,46.94,1.63,90.14,1,726,0,0
1.28,1.21,0.39,-56.58,4.39,36.99,1.80,67.74,1,730,0,0
1.61,0.75,0.39,-30.70,5.13,38.09,1.81,49.19,0,0,0,0
1.16,2.02,-0.36,14.47,-10.13,-76.05,2.36,78.07,1,709,0,19
-0.34,0.82,-0.35,232.60,-36.50,-125.00,0.96,266.58,2,462,0,57
0.14,1.33,-0.34,286.74,-22.64,-88.62,1.38,300.98,5,400,0,72
0.17,2.33,-0.22,25.09,25.51,-18.31,2.35,40.19,50,399,6,123
0.10,0.73,0.19,30.76,-0.18,-5.98,0.76,31.34,161,451,41,138
0.07,1.00,0.08,-4.09,0.18,-2.26,1.01,4.68,213,469,52,139
0.08,1.02,0.06,-6.65,0.37,-1.89,1.02,6.93,288,483,54,139
0.07,1.00,0.07,3.30,-0.49,-1.16,1.00,3.53,236,486,56,142
0.07,0.98,0.08,4.15,-0.37,-1.59,0.99,4.46,309,492,64,139
0.07,0.98,0.09,-0.92,0.18,-1.71,0.98,1.95,300,493,72,148
0.07,1.00,0.07,-3.54,0.31,-1.89,1.00,4.03,372,497,80,142
0.07,0.99,0.08,-0.79,0.12,-1.95,1.00,2.11,540,504,85,143
0.07,0.98,0.08,-1.28,0.12,-1.40,0.99,1.90,497,508,88,139
0.07,0.98,0.08,-4.46,0.43,-1.53,0.99,4.73,653,512,94,127
0.07,0.99,0.08,-5.62,0.55,-1.65,0.99,5.88,526,519,102,116
0.07,0.99,0.07,-7.63,0.18,-1.95,0.99,7.88,608,523,104,101
0.08,1.00,0.06,-5.98,-0.12,-2.20,1.00,6.37,620,528,104,85
0.08,0.99,0.06,-3.36,-0.49,-2.44,1.00,4.18,456,534,110,65
0.08,1.00,0.06,-1.77,-0.92,-2.69,1.01,3.34,391,536,114,54
0.08,0.99,0.07,0.43,-1.34,-2.81,0.99,3.14,339,540,115,39
0.08,0.99,0.06,-0.37,-1.71,-3.78,0.99,4.17,474,542,115,34
0.08,1.00,0.05,-1.77,-1.89,-5.13,1.00,5.74,754,549,120,23
0.07,1.03,0.08,-2.08,-2.69,-8.54,1.03,9.19,528,561,124,14
0.08,1.07,0.04,4.88,-3.11,-14.95,1.07,16.04,332,573,132,6
0.09,1.00,0.09,9.77,-2.08,-16.66,1.01,19.42,471,593,135,3
0.11,1.00,0.08,2.99,-1.40,-21.36,1.01,21.62,524,619,138,0
0.11,1.04,0.08,-0.85,-0.79,-24.41,1.05,24.44,374,647,143,0
0.13,1.05,0.09,-0.49,0.06,-31.37,1.06,31.38,356,675,144,0
0.14,1.16,0.08,-5.55,1.22,-42.36,1.17,42.74,316,714,149,0
0.16,1.26,0.07,-0.18,1.16,-63.05,1.27,63.06,256,753,151,0
0.14,1.40,0.14,4.33,2.56,-89.97,1.42,90.11,190,799,155,0
0.21,1.88,-0.03,4.70,9.03,-139.71,1.89,140.08,111,829,154,0
0.19,2.47,-0.16,46.88,-8.06,-255.86,2.49,260.24,46,808,142,1
0.44,2.42,-0.07,64.94,-20.20,-344.48,2.46,351.13,13,779,90,0
0.23,2.24,-0.45,67.87,-25.82,-334.47,2.30,342.26,3,752,30,0
-0.13,2.00,-0.83,76.48,-59.08,-306.09,2.17,320.98,1,735,2,0
-1.66,-3.05,-0.33,85.75,-81.24,-240.72,3.49,268.14,0,0,0,12
-0.99,0.58,0.03,-82.89,-87.04,50.29,1.15,130.29,1,693,0,7
-0.44,0.80,0.12,-31.74,-49.50,91.25,0.92,108.55,1,682,0,5
-0.48,0.37,-0.02,2.20,-10.80,86.98,0.61,87.67,1,682,0,6
-0.43,0.27,-0.16,-25.70,20.39,146.91,0.53,150.53,1,680,0,6
-0.20,0.61,-0.09,-41.02,31.62,177.98,0.65,185.36,1,679,0,5
0.02,0.90,-0.05,-46.51,42.24,189.70,0.90,199.83,1,676,0,5
0.23,0.88,-0.14,-47.91,39.25,201.29,0.92,210.61,1,677,0,7
0.29,1.13,-0.09,-62.74,28.81,209.11,1.17,220.21,1,681,0,6
0.36,1.19,-0.13,-73.18,23.86,202.03,1.25,216.19,1,685,0,7
0.38,1.25,-0.14,-93.26,18.86,190.19,1.32,212.66,1,691,0,6
0.57,1.51,-0.09,-113.04,8.85,176.57,1.62,209.84,1,691,0,6
0.89,1.62,0.03,-112.79,-5.86,138.31,1.85,178.56,1,694,0,3
1.11,1.49,0.15,-119.02,2.26,110.72,1.87,162.57,1,691,0,2
1.34,1.37,0.37,-126.65,31.13,90.52,1.96,158.75,1,690,0,0
1.48,1.22,0.61,-118.47,46.39,54.14,2.01,138.27,1,699,0,0
1.75,1.03,0.65,-82.09,47.00,30.52,2.13,99.39,1,701,0,0
2.10,0.80,0.45,-62.74,31.92,13.06,2.29,71.60,1,692,0,0
-0.19,-0.67,-0.35,335.94,38.94,-105.65,0.78,354.31,3,452,0,45
0.07,1.57,-0.25,340.09,8.18,-166.93,1.59,378.94,8,374,0,73
0.47,0.86,0.22,168.27,17.88,-61.22,1.01,179.95,54,427,7,113
0.12,0.95,0.12,45.65,-8.73,-14.83,0.96,48.79,134,476,51,132
0.08,0.92,0.09,-4.76,0.92,-0.06,0.93,4.85,228,487,60,136
0.08,1.02,0.04,-3.36,1.16,0.31,1.03,3.56,207,489,60,138
0.08,1.01,0.05,0.61,0.37,-0.43,1.01,0.83,262,489,60,142
0.08,0.98,0.07,4.33,-0.49,-1.22,0.98,4.53,249,489,70,138
0.08,0.97,0.09,-0.37,0.18,-0.92,0.98,1.00,295,491,76,137
0.08,0.99,0.06,-6.10,0.73,-1.46,1.00,6.32,333,496,80,133
0.08,1.00,0.06,-3.91,0.12,-3.54,1.01,5.27,378,504,85,115
0.08,0.99,0.07,-1.95,-0.67,-6.04,0.99,6.39,360,515,99,105
0.09,0.99,0.06,-1.46,-1.34,-8.18,1.00,8.42,457,528,106,86
0.09,1.00,0.06,0.00,-1.95,-10.19,1.00,10.38,529,539,115,66
0.10,0.98,0.06,0.06,-2.14,-10.68,0.98,10.89,448,553,119,46
0.11,0.98,0.06,-0.73,-2.26,-9.34,0.99,9.64,717,564,125,32
0.11,1.07,0.03,2.87,-2.26,-12.02,1.08,12.57,508,576,127,22
0.11,0.99,0.07,9.46,-2.62,-14.28,0.99,17.33,363,591,134,17
0.12,1.01,0.07,8.42,-2.38,-13.43,1.02,16.03,432,608,136,14
0.13,0.99,0.08,10.38,-2.56,-17.21,1.00,20.26,477,630,138,7
0.13,1.01,0.11,6.96,-2.20,-21.91,1.03,23.09,349,661,137,1
0.14,1.02,0.12,0.43,-1.95,-28.81,1.04,28.88,372,687,139,0
0.17,1.03,0.09,-2.62,-1.71,-36.50,1.05,36.63,332,714,144,0
0.17,1.09,0.10,-2.56,-1.04,-46.14,1.11,46.23,267,738,148,0
0.20,1.11,0.10,-5.80,0.49,-54.44,1.13,54.75,204,762,150,0
0.21,1.24,0.10,-3.54,2.20,-69.95,1.26,70.07,197,792,153,0
0.22,1.35,0.11,1.53,4.39,-97.29,1.37,97.40,138,822,152,0
0.22,1.82,0.07,-7.63,8.48,-140.01,1.83,140.48,94,835,146,0
0.36,2.27,-0.16,-12.94,-0.55,-253.48,2.30,253.81,54,819,131,0
0.37,2.81,0.18,-31.49,2.87,-367.25,2.84,368.61,18,787,69,0
-0.16,2.29,-0.35,33.26,-12.70,-369.93,2.32,371.64,4,755,14,0
-0.57,1.26,-0.89,63.35,-39.92,-389.16,1.65,396.30,1,714,0,0
-0.62,-0.62,-0.79,7.32,-87.95,-151.98,1.18,175.75,1,673,0,6
-1.06,0.81,0.16,-34.61,-100.28,86.06,1.34,136.60,1,691,0,6
-0.61,0.18,-0.04,63.05,-90.94,124.94,0.64,166.90,1,683,0,6
-0.69,-0.03,-0.13,20.32,-56.52,135.50,0.71,148.21,1,678,0,6
