X,Y,Z
77.11,-9.47,328.70
77.10,-9.47,328.71
77.09,-9.46,328.73
77.09,-9.46,328.74
77.08,-9.46,328.75
77.07,-9.45,328.76
77.05,-9.45,328.77
77.04,-9.45,328.78
77.02,-9.45,328.80
77.01,-9.44,328.81
77.01,-9.45,328.82
77.00,-9.45,328.84
77.00,-9.46,328.85
77.00,-9.46,328.86
77.00,-9.47,328.88
77.00,-9.47,328.89
77.00,-9.47,328.90
77.00,-9.47,328.91
77.01,-9.47,328.92
77.01,-9.47,328.93
77.02,-9.47,328.94
77.03,-9.47,328.95
77.04,-9.47,328.96
77.05,-9.47,328.96
77.05,-9.47,328.97
77.06,-9.46,328.98
77.07,-9.46,328.99
77.08,-9.46,328.99
77.09,-9.47,329.00
77.10,-9.47,329.01
77.11,-9.47,329.02
77.11,-9.48,329.03
77.12,-9.48,329.04
77.13,-9.48,329.05
77.13,-9.48,329.06
77.13,-9.48,329.07
77.13,-9.48,329.08
77.14,-9.49,329.09
77.14,-9.49,329.10
77.15,-9.49,329.11
77.15,-9.50,329.11
77.15,-9.50,329.12
77.16,-9.50,329.12
77.16,-9.49,329.13
77.16,-9.49,329.14
77.16,-9.48,329.15
77.16,-9.48,329.15
77.16,-9.48,329.16
77.17,-9.48,329.17
77.17,-9.47,329.18
77.17,-9.47,329.19
77.17,-9.47,329.20
77.17,-9.47,329.21
77.17,-9.46,329.21
77.18,-9.46,329.22
77.18,-9.45,329.23
77.19,-9.44,329.24
77.21,-9.44,329.24
77.23,-9.44,329.24
77.24,-9.43,329.24
77.26,-9.43,329.24
77.28,-9.43,329.25
77.29,-9.43,329.25
77.29,-9.44,329.25
77.29,-9.44,329.25
77.29,-9.44,329.26
77.28,-9.44,329.26
77.28,-9.44,329.27
77.27,-9.44,329.29
77.26,-9.43,329.30
77.25,-9.42,329.31
77.25,-9.41,329.33
77.24,-9.40,329.35
77.24,-9.39,329.36
77.24,-9.38,329.38
77.25,-9.37,329.39
77.25,-9.37,329.40
77.25,-9.37,329.41
77.24,-9.37,329.42
77.24,-9.37,329.43
77.23,-9.37,329.44
77.22,-9.38,329.45
77.22,-9.39,329.46
77.21,-9.40,329.47
77.21,-9.40,329.48
77.20,-9.41,329.49
77.20,-9.42,329.50
77.19,-9.43,329.50
77.18,-9.44,329.51
77.18,-9.44,329.52
77.17,-9.45,329.52
77.16,-9.45,329.53
77.16,-9.45,329.54
77.15,-9.45,329.55
77.15,-9.45,329.56
77.15,-9.45,329.57
