X,Y,Z
112.09,-4.27,351.10
112.08,-4.27,351.11
112.07,-4.26,351.13
112.06,-4.26,351.15
112.06,-4.25,351.17
112.06,-4.25,351.19
112.05,-4.25,351.21
112.05,-4.25,351.22
112.05,-4.24,351.23
112.04,-4.24,351.25
112.04,-4.24,351.26
112.04,-4.23,351.27
112.03,-4.23,351.28
112.03,-4.22,351.29
112.02,-4.22,351.30
112.01,-4.22,351.32
112.01,-4.21,351.33
112.01,-4.21,351.34
112.00,-4.20,351.36
112.00,-4.20,351.37
112.00,-4.20,351.38
111.99,-4.19,351.40
111.99,-4.19,351.41
111.98,-4.19,351.42
111.98,-4.18,351.44
111.98,-4.18,351.45
111.97,-4.17,351.46
111.97,-4.17,351.48
111.97,-4.17,351.49
111.98,-4.17,351.51
111.99,-4.17,351.52
112.00,-4.18,351.54
112.01,-4.19,351.56
112.02,-4.19,351.57
112.03,-4.20,351.59
112.05,-4.21,351.60
112.06,-4.21,351.62
112.07,-4.22,351.63
112.08,-4.23,351.64
112.09,-4.23,351.65
112.10,-4.24,351.66
112.10,-4.24,351.67
112.10,-4.24,351.67
112.10,-4.25,351.68
112.11,-4.24,351.69
112.11,-4.24,351.70
112.11,-4.23,351.71
112.11,-4.23,351.73
112.11,-4.22,351.74
112.11,-4.22,351.76
112.11,-4.22,351.78
112.11,-4.22,351.80
112.12,-4.22,351.82
112.13,-4.23,351.84
112.13,-4.23,351.87
112.13,-4.23,351.88
112.12,-4.22,351.90
112.11,-4.21,351.91
112.10,-4.20,351.93
112.07,-4.19,351.94
112.05,-4.18,351.96
112.03,-4.16,351.97
112.01,-4.15,351.99
111.99,-4.13,352.00
111.96,-4.12,352.02
111.95,-4.11,352.03
111.93,-4.09,352.05
111.91,-4.08,352.06
111.89,-4.07,352.08
111.88,-4.06,352.09
111.87,-4.06,352.11
111.87,-4.06,352.12
111.87,-4.06,352.14
111.88,-4.06,352.16
111.89,-4.07,352.17
111.90,-4.07,352.19
111.90,-4.07,352.20
111.91,-4.07,352.21
111.91,-4.07,352.23
111.91,-4.07,352.24
111.92,-4.07,352.26
111.92,-4.07,352.27
111.92,-4.07,352.28
111.92,-4.07,352.30
111.94,-4.07,352.30
111.95,-4.08,352.31
111.97,-4.09,352.33
111.98,-4.10,352.34
112.00,-4.11,352.34
112.02,-4.12,352.35
112.03,-4.12,352.36
112.03,-4.13,352.37
112.04,-4.14,352.38
112.05,-4.14,352.40
112.05,-4.15,352.41
112.05,-4.15,352.42
112.04,-4.15,352.43
112.04,-4.14,352.45
112.03,-4.14,352.46
112.03,-4.14,352.47
112.02,-4.13,352.49
112.02,-4.13,352.50
112.01,-4.12,352.52
112.01,-4.11,352.53
112.00,-4.11,352.55
112.00,-4.10,352.56
111.99,-4.09,352.58
111.98,-4.08,352.59
111.97,-4.07,352.61
111.96,-4.07,352.62
111.95,-4.06,352.64
111.94,-4.05,352.66
111.93,-4.04,352.67
111.92,-4.03,352.69
111.90,-4.03,352.70
111.89,-4.02,352.72
111.88,-4.01,352.73
111.87,-4.00,352.75
111.87,-4.00,352.76
111.86,-4.00,352.78
111.86,-3.99,352.79
111.85,-3.99,352.81
111.85,-3.99,352.83
111.85,-3.99,352.84
111.85,-3.99,352.86
111.86,-3.99,352.87
111.86,-3.99,352.89
111.86,-3.99,352.90
111.87,-3.99,352.92
111.87,-3.99,352.93
111.87,-4.00,352.95
111.87,-3.99,352.96
111.87,-3.99,352.98
111.87,-3.99,352.99
111.87,-3.99,353.01
111.87,-3.99,353.02
111.86,-3.98,353.04
111.86,-3.98,353.05
111.86,-3.97,353.07
111.86,-3.97,353.08
111.85,-3.97,353.10
111.85,-3.96,353.11
111.85,-3.96,353.12
111.84,-3.95,353.14
111.84,-3.95,353.15
111.84,-3.95,353.16
111.83,-3.95,353.18
111.83,-3.94,353.19
111.83,-3.94,353.21
111.82,-3.94,353.22
111.82,-3.93,353.24
111.81,-3.93,353.25
111.81,-3.92,353.27
111.81,-3.91,353.28
111.80,-3.91,353.30
111.80,-3.91,353.31
111.79,-3.90,353.33
111.79,-3.90,353.34
111.79,-3.90,353.36
111.79,-3.89,353.38
111.79,-3.89,353.39
111.78,-3.88,353.41
111.78,-3.88,353.42
111.78,-3.88,353.43
111.78,-3.88,353.45
111.78,-3.87,353.46
111.78,-3.87,353.48
111.78,-3.87,353.49
111.78,-3.87,353.51
111.78,-3.87,353.52
111.78,-3.87,353.54
111.78,-3.87,353.56
111.78,-3.87,353.57
111.79,-3.86,353.58
111.79,-3.86,353.59
111.79,-3.86,353.61
111.79,-3.86,353.62
111.80,-3.86,353.63
111.80,-3.85,353.65
111.79,-3.85,353.66
111.79,-3.85,353.68
111.78,-3.84,353.70
111.78,-3.84,353.71
111.77,-3.84,353.73
111.77,-3.83,353.75
111.76,-3.83,353.77
111.75,-3.82,353.79
111.74,-3.81,353.80
111.73,-3.81,353.82
111.72,-3.80,353.84
111.72,-3.80,353.85
111.71,-3.80,353.87
111.71,-3.80,353.88
111.71,-3.79,353.90
111.71,-3.79,353.91
111.70,-3.79,353.93
111.70,-3.79,353.94
111.69,-3.79,353.96
111.69,-3.78,353.98
111.69,-3.78,353.99
111.69,-3.78,354.01
111.69,-3.78,354.02
111.69,-3.78,354.04
111.69,-3.78,354.05
111.69,-3.78,354.06
111.70,-3.78,354.07
111.70,-3.78,354.09
111.70,-3.78,354.10
111.71,-3.78,354.11
111.71,-3.78,354.12
111.71,-3.78,354.14
111.71,-3.77,354.15
111.72,-3.77,354.16
111.72,-3.77,354.18
111.72,-3.77,354.19
111.71,-3.77,354.21
111.71,-3.77,354.22
111.71,-3.77,354.24
111.70,-3.77,354.26
111.70,-3.77,354.27
111.71,-3.76,354.28
111.71,-3.76,354.30
111.71,-3.76,354.31
111.72,-3.76,354.32
111.72,-3.76,354.33
111.72,-3.76,354.35
111.72,-3.76,354.36
111.72,-3.75,354.37
111.72,-3.75,354.38
111.72,-3.75,354.40
111.72,-3.75,354.41
111.72,-3.75,354.42
111.72,-3.75,354.43
111.73,-3.75,354.45
111.73,-3.75,354.46
111.73,-3.74,354.47
111.74,-3.74,354.49
111.74,-3.74,354.50
111.73,-3.74,354.52
111.73,-3.73,354.53
111.73,-3.73,354.55
111.73,-3.73,354.56
111.73,-3.73,354.57
111.73,-3.73,354.59
111.72,-3.73,354.60
111.72,-3.72,354.62
111.72,-3.72,354.63
111.72,-3.72,354.65
111.72,-3.72,354.66
111.72,-3.72,354.67
111.72,-3.72,354.69
111.72,-3.72,354.70
111.72,-3.72,354.71
111.72,-3.71,354.72
111.73,-3.71,354.74
111.73,-3.71,354.75
111.73,-3.71,354.76
111.73,-3.71,354.78
111.73,-3.71,354.79
111.74,-3.71,354.80
111.74,-3.71,354.82
111.74,-3.71,354.83
111.74,-3.71,354.84
111.73,-3.70,354.86
111.73,-3.70,354.87
111.73,-3.70,354.89
111.73,-3.70,354.90
111.73,-3.70,354.92
111.73,-3.69,354.93
111.73,-3.69,354.95
111.73,-3.69,354.96
111.72,-3.69,354.98
111.73,-3.69,354.99
111.74,-3.69,355.00
111.74,-3.69,355.01
111.75,-3.69,355.02
111.75,-3.69,355.03
111.76,-3.69,355.05
111.76,-3.69,355.06
111.77,-3.69,355.07
111.77,-3.69,355.08
111.77,-3.69,355.10
111.78,-3.69,355.11
111.78,-3.69,355.12
111.78,-3.69,355.13
111.78,-3.69,355.14
111.79,-3.69,355.16
111.79,-3.69,355.17
111.79,-3.69,355.19
111.79,-3.69,355.20
111.80,-3.69,355.22
111.80,-3.69,355.23
111.80,-3.69,355.24
111.81,-3.69,355.25
111.82,-3.69,355.26
111.82,-3.69,355.27
111.82,-3.69,355.29
111.82,-3.69,355.30
111.82,-3.69,355.31
111.82,-3.68,355.33
111.82,-3.68,355.34
111.82,-3.68,355.35
111.82,-3.68,355.37
111.82,-3.68,355.38
111.82,-3.68,355.39
111.82,-3.68,355.41
111.82,-3.68,355.42
111.82,-3.68,355.43
111.82,-3.67,355.44
111.83,-3.67,355.45
111.83,-3.67,355.46
111.83,-3.67,355.48
111.84,-3.67,355.49
111.84,-3.67,355.50
111.84,-3.67,355.52
111.84,-3.67,355.53
111.84,-3.67,355.54
111.84,-3.67,355.56
111.85,-3.67,355.57
111.85,-3.67,355.59
111.85,-3.66,355.60
111.85,-3.66,355.62
111.85,-3.66,355.63
111.85,-3.66,355.65
111.85,-3.66,355.66
111.84,-3.66,355.67
111.84,-3.66,355.69
111.84,-3.65,355.70
111.84,-3.65,355.72
111.84,-3.65,355.73
111.84,-3.65,355.74
111.84,-3.65,355.76
111.84,-3.64,355.77
111.84,-3.64,355.79
111.84,-3.64,355.80
111.84,-3.64,355.82
111.84,-3.64,355.83
111.84,-3.64,355.84
111.84,-3.64,355.86
111.84,-3.63,355.87
111.84,-3.63,355.88
111.84,-3.63,355.90
111.84,-3.63,355.91
111.83,-3.63,355.93
111.83,-3.63,355.94
111.83,-3.63,355.96
111.83,-3.63,355.97
111.82,-3.63,355.99
111.82,-3.62,356.01
111.83,-3.63,356.02
111.83,-3.63,356.04
111.83,-3.63,356.05
111.83,-3.63,356.06
111.84,-3.63,356.08
111.84,-3.63,356.09
111.84,-3.63,356.10
111.84,-3.63,356.11
111.84,-3.63,356.12
111.85,-3.63,356.14
111.85,-3.63,356.15
111.85,-3.62,356.17
111.85,-3.62,356.18
111.85,-3.62,356.19
111.85,-3.62,356.21
111.85,-3.62,356.22
111.85,-3.62,356.24
111.85,-3.62,356.25
111.85,-3.62,356.26
111.86,-3.62,356.27
111.86,-3.62,356.29
111.86,-3.62,356.30
111.87,-3.62,356.31
111.87,-3.62,356.33
111.87,-3.62,356.34
111.87,-3.62,356.35
111.87,-3.62,356.37
111.87,-3.62,356.38
111.87,-3.62,356.40
111.88,-3.62,356.41
111.88,-3.62,356.42
111.88,-3.61,356.43
111.88,-3.61,356.45
111.88,-3.61,356.46
111.88,-3.61,356.47
111.88,-3.61,356.49
111.88,-3.61,356.50
111.88,-3.61,356.51
111.88,-3.61,356.53
111.89,-3.61,356.54
111.89,-3.61,356.55
111.90,-3.61,356.57
111.90,-3.61,356.58
111.90,-3.61,356.59
111.90,-3.61,356.60
111.91,-3.61,356.62
111.91,-3.61,356.63
111.91,-3.61,356.65
111.91,-3.61,356.66
111.91,-3.61,356.67
111.92,-3.60,356.69
111.92,-3.60,356.70
111.92,-3.60,356.71
111.92,-3.60,356.73
111.92,-3.60,356.74
111.92,-3.60,356.76
111.92,-3.60,356.77
111.92,-3.60,356.78
111.92,-3.60,356.80
111.92,-3.60,356.81
111.93,-3.60,356.82
111.93,-3.60,356.83
111.94,-3.60,356.85
111.94,-3.61,356.86
111.95,-3.61,356.87
111.95,-3.61,356.88
111.95,-3.61,356.90
111.96,-3.61,356.91
111.96,-3.61,356.92
111.96,-3.61,356.94
111.96,-3.61,356.95
111.96,-3.61,356.96
111.96,-3.60,356.98
111.96,-3.60,356.99
111.96,-3.60,357.00
111.96,-3.60,357.02
111.97,-3.59,357.03
111.97,-3.59,357.04
111.97,-3.59,357.05
111.97,-3.59,357.06
111.97,-3.59,357.08
111.97,-3.59,357.09
111.97,-3.59,357.10
111.97,-3.58,357.12
111.97,-3.58,357.13
111.97,-3.58,357.15
111.97,-3.58,357.16
111.97,-3.58,357.17
111.97,-3.58,357.18
111.97,-3.57,357.20
111.97,-3.57,357.21
111.97,-3.57,357.22
111.98,-3.58,357.23
111.98,-3.58,357.24
111.99,-3.58,357.26
111.99,-3.58,357.27
112.00,-3.58,357.28
112.00,-3.59,357.30
112.01,-3.59,357.31
112.01,-3.59,357.32
112.01,-3.59,357.34
112.02,-3.59,357.35
112.02,-3.59,357.36
112.02,-3.59,357.37
112.02,-3.59,357.39
112.02,-3.59,357.40
112.02,-3.59,357.41
112.02,-3.59,357.42
112.02,-3.59,357.43
112.02,-3.59,357.45
112.03,-3.59,357.46
112.03,-3.59,357.47
112.03,-3.59,357.48
112.04,-3.59,357.49
112.04,-3.59,357.51
112.05,-3.59,357.52
112.05,-3.59,357.53
112.05,-3.60,357.54
112.06,-3.60,357.55
112.06,-3.60,357.56
112.06,-3.60,357.57
112.06,-3.60,357.59
112.07,-3.60,357.60
112.07,-3.60,357.61
112.07,-3.60,357.63
112.07,-3.60,357.64
112.07,-3.60,357.66
112.08,-3.60,357.67
112.08,-3.60,357.68
112.08,-3.60,357.70
112.08,-3.60,357.71
112.09,-3.60,357.72
112.09,-3.60,357.73
112.09,-3.60,357.74
112.09,-3.60,357.75
112.09,-3.59,357.77
112.09,-3.59,357.78
112.09,-3.59,357.79
112.09,-3.58,357.81
112.09,-3.58,357.82
112.09,-3.58,357.84
112.09,-3.58,357.85
112.09,-3.58,357.86
112.09,-3.58,357.88
112.09,-3.57,357.89
112.10,-3.57,357.90
112.10,-3.57,357.91
112.10,-3.58,357.92
112.10,-3.58,357.94
112.11,-3.58,357.95
112.11,-3.58,357.96
112.12,-3.58,357.97
112.12,-3.58,357.98
112.12,-3.58,358.00
112.12,-3.58,358.01
112.12,-3.58,358.02
112.12,-3.58,358.04
112.12,-3.58,358.05
112.12,-3.57,358.07
112.12,-3.57,358.08
112.13,-3.58,358.09
112.13,-3.58,358.10
112.14,-3.58,358.11
112.14,-3.58,358.13
112.15,-3.58,358.14
112.15,-3.58,358.15
112.15,-3.58,358.17
112.15,-3.59,358.18
112.15,-3.59,358.19
112.15,-3.59,358.21
112.16,-3.59,358.22
112.16,-3.59,358.23
112.16,-3.58,358.25
112.16,-3.58,358.26
112.15,-3.58,358.27
112.15,-3.58,358.29
112.15,-3.58,358.30
112.16,-3.58,358.32
112.16,-3.58,358.33
112.16,-3.58,358.34
112.16,-3.58,358.36
112.16,-3.58,358.37
112.16,-3.58,358.38
112.17,-3.58,358.40
112.17,-3.58,358.41
112.17,-3.58,358.42
112.17,-3.58,358.44
