X,Y,Z
99.26,2.78,309.78
99.22,2.76,309.78
99.19,2.74,309.77
99.15,2.71,309.76
99.11,2.68,309.74
99.06,2.64,309.72
99.02,2.59,309.69
98.97,2.54,309.66
98.92,2.49,309.62
98.87,2.43,309.58
98.82,2.37,309.54
98.77,2.31,309.50
98.72,2.25,309.45
98.67,2.19,309.39
98.61,2.14,309.34
98.55,2.09,309.28
98.50,2.04,309.22
98.43,2.00,309.15
98.36,1.96,309.08
98.28,1.93,309.01
98.19,1.90,308.94
98.09,1.88,308.86
97.98,1.86,308.78
97.87,1.83,308.70
97.75,1.80,308.60
97.62,1.77,308.50
97.51,1.72,308.38
97.40,1.68,308.26
97.31,1.63,308.12
97.23,1.58,307.99
97.16,1.54,307.85
97.11,1.49,307.71
97.06,1.46,307.57
97.02,1.43,307.44
97.00,1.42,307.31
96.98,1.40,307.20
96.97,1.40,307.11
96.96,1.40,307.04
96.97,1.41,306.98
96.98,1.41,306.94
97.01,1.42,306.92
97.04,1.43,306.93
97.08,1.44,306.96
97.14,1.45,307.01
97.20,1.45,307.07
97.26,1.46,307.15
97.33,1.47,307.24
97.40,1.48,307.33
97.47,1.49,307.43
97.55,1.50,307.52
97.63,1.52,307.60
97.70,1.53,307.68
97.76,1.55,307.75
97.82,1.57,307.82
97.88,1.59,307.87
97.92,1.61,307.91
97.96,1.64,307.95
98.00,1.67,307.97
98.02,1.70,307.98
98.03,1.74,307.98
98.04,1.77,307.97
98.04,1.82,307.96
98.04,1.86,307.93
98.04,1.91,307.90
98.05,1.97,307.87
98.05,2.02,307.84
98.06,2.07,307.81
98.06,2.13,307.78
98.06,2.20,307.75
98.07,2.26,307.73
98.07,2.34,307.71
98.09,2.41,307.70
98.10,2.48,307.70
98.12,2.55,307.69
98.15,2.61,307.70
98.18,2.67,307.71
98.22,2.72,307.72
98.26,2.77,307.74
98.30,2.81,307.77
98.35,2.84,307.80
98.40,2.87,307.84
98.46,2.90,307.88
98.52,2.91,307.92
98.57,2.91,307.97
98.63,2.91,308.02
98.68,2.89,308.07
98.74,2.87,308.12
98.79,2.84,308.18
98.84,2.80,308.23
98.89,2.76,308.29
98.94,2.72,308.34
98.99,2.68,308.39
99.04,2.64,308.44
99.09,2.61,308.49
99.14,2.58,308.53
99.19,2.55,308.58
99.24,2.52,308.62
99.28,2.50,308.67
99.33,2.47,308.71
99.37,2.46,308.76
99.42,2.44,308.80
99.46,2.42,308.84
99.51,2.41,308.88
99.55,2.39,308.92
99.60,2.37,308.96
99.64,2.36,309.00
99.69,2.35,309.05
99.74,2.34,309.09
99.79,2.33,309.13
99.84,2.33,309.17
99.89,2.33,309.22
99.94,2.34,309.26
99.99,2.35,309.31
100.04,2.37,309.35
100.09,2.39,309.40
100.14,2.42,309.44
100.18,2.45,309.49
100.23,2.48,309.54
100.28,2.52,309.58
100.33,2.56,309.63
100.38,2.59,309.68
100.43,2.63,309.72
100.48,2.67,309.77
100.53,2.71,309.82
100.59,2.75,309.88
100.65,2.78,309.93
100.71,2.82,309.99
100.76,2.85,310.06
100.82,2.88,310.13
100.88,2.91,310.21
100.94,2.94,310.29
100.99,2.97,310.37
101.04,3.00,310.46
101.09,3.02,310.55
101.13,3.06,310.64
101.17,3.09,310.73
101.21,3.12,310.82
101.24,3.16,310.91
101.26,3.20,310.98
101.28,3.24,311.05
101.29,3.28,311.11
101.30,3.33,311.16
101.31,3.37,311.21
101.31,3.41,311.24
101.30,3.44,311.26
101.28,3.48,311.28
101.27,3.51,311.28
101.25,3.53,311.29
101.22,3.56,311.29
101.20,3.57,311.28
101.18,3.59,311.28
101.16,3.59,311.27
101.14,3.59,311.27
101.13,3.59,311.27
101.12,3.58,311.28
101.11,3.58,311.29
101.11,3.57,311.31
101.10,3.56,311.34
101.10,3.54,311.36
101.10,3.53,311.40
101.10,3.50,311.43
101.10,3.47,311.46
101.11,3.42,311.49
101.11,3.36,311.51
101.11,3.28,311.53
101.10,3.18,311.54
101.10,3.06,311.54
101.08,2.92,311.54
101.06,2.75,311.52
101.04,2.58,311.50
101.02,2.40,311.47
101.00,2.22,311.44
100.98,2.05,311.41
100.96,1.89,311.37
100.93,1.75,311.33
100.91,1.62,311.30
100.89,1.51,311.27
100.87,1.42,311.24
100.85,1.35,311.21
100.83,1.30,311.20
100.82,1.27,311.18
100.81,1.25,311.18
100.80,1.23,311.18
100.79,1.23,311.20
100.79,1.23,311.22
100.78,1.24,311.24
100.78,1.25,311.27
100.79,1.26,311.31
100.79,1.27,311.35
100.79,1.28,311.39
100.79,1.30,311.43
100.79,1.31,311.48
100.79,1.33,311.51
100.78,1.36,311.55
100.77,1.39,311.58
100.76,1.42,311.61
100.74,1.46,311.64
100.72,1.51,311.66
100.70,1.56,311.67
100.67,1.62,311.68
100.65,1.68,311.70
100.63,1.75,311.70
100.60,1.81,311.71
100.58,1.88,311.72
100.55,1.94,311.73
100.53,2.00,311.74
100.52,2.05,311.75
100.50,2.10,311.77
100.49,2.15,311.78
100.48,2.19,311.80
100.48,2.23,311.82
100.47,2.26,311.84
100.47,2.28,311.86
100.46,2.30,311.88
100.46,2.32,311.89
100.46,2.34,311.91
100.46,2.36,311.93
100.46,2.39,311.95
100.45,2.42,311.96
100.45,2.45,311.97
100.45,2.50,311.99
100.46,2.54,312.00
100.46,2.59,312.01
100.46,2.64,312.02
100.46,2.70,312.03
100.46,2.76,312.04
100.46,2.83,312.05
100.46,2.89,312.07
100.47,2.96,312.08
100.47,3.02,312.10
100.47,3.09,312.12
100.47,3.15,312.14
100.48,3.21,312.16
100.49,3.27,312.18
100.50,3.32,312.20
100.51,3.38,312.23
100.51,3.42,312.25
100.52,3.47,312.27
100.53,3.51,312.29
100.53,3.54,312.31
100.54,3.58,312.33
100.54,3.62,312.35
100.54,3.65,312.36
100.55,3.69,312.37
100.54,3.72,312.39
100.54,3.75,312.40
100.54,3.78,312.41
100.54,3.82,312.42
100.54,3.85,312.43
100.54,3.88,312.44
100.54,3.91,312.45
100.55,3.94,312.46
100.56,3.96,312.48
100.57,3.98,312.49
100.58,4.00,312.51
100.59,4.02,312.54
100.60,4.03,312.56
100.61,4.04,312.59
100.63,4.05,312.62
100.64,4.06,312.65
100.65,4.07,312.68
100.67,4.07,312.71
100.68,4.08,312.73
100.69,4.08,312.76
100.70,4.09,312.79
100.70,4.09,312.81
100.71,4.09,312.83
100.72,4.09,312.85
