X,Y,Z
113.62,-14.79,352.49
113.63,-14.79,352.48
113.64,-14.78,352.48
113.64,-14.77,352.47
113.65,-14.76,352.47
113.65,-14.74,352.47
113.64,-14.73,352.47
113.64,-14.72,352.48
113.65,-14.71,352.48
113.66,-14.71,352.49
113.68,-14.70,352.50
113.69,-14.71,352.50
113.70,-14.71,352.51
113.71,-14.71,352.51
113.72,-14.72,352.51
113.73,-14.72,352.50
113.74,-14.73,352.50
113.75,-14.74,352.50
113.76,-14.75,352.50
113.78,-14.75,352.49
113.79,-14.76,352.48
113.81,-14.76,352.47
113.82,-14.76,352.46
113.82,-14.77,352.45
113.82,-14.77,352.44
113.82,-14.76,352.43
113.81,-14.76,352.42
113.79,-14.76,352.42
113.77,-14.76,352.42
113.74,-14.76,352.43
113.71,-14.76,352.46
113.69,-14.76,352.49
113.66,-14.77,352.53
113.62,-14.79,352.58
113.59,-14.81,352.64
113.55,-14.84,352.70
113.51,-14.88,352.76
113.48,-14.92,352.83
113.45,-14.97,352.89
113.42,-15.02,352.95
113.39,-15.07,353.00
113.37,-15.13,353.04
113.35,-15.18,353.08
113.33,-15.22,353.12
113.31,-15.27,353.14
113.30,-15.31,353.16
113.29,-15.34,353.17
113.28,-15.36,353.18
113.28,-15.37,353.19
113.27,-15.37,353.19
113.26,-15.35,353.19
113.26,-15.32,353.19
113.25,-15.27,353.19
113.24,-15.22,353.19
113.23,-15.17,353.20
113.21,-15.10,353.21
113.20,-15.01,353.22
113.18,-14.90,353.25
113.14,-14.76,353.29
113.09,-14.57,353.34
113.03,-14.35,353.40
112.97,-14.13,353.48
112.90,-13.89,353.57
112.82,-13.65,353.67
112.73,-13.41,353.77
112.64,-13.19,353.88
112.54,-12.97,354.00
112.45,-12.76,354.13
112.37,-12.57,354.25
112.29,-12.39,354.35
112.22,-12.24,354.46
112.16,-12.12,354.55
112.12,-12.02,354.64
112.08,-11.95,354.71
112.06,-11.90,354.78
112.05,-11.89,354.82
112.05,-11.90,354.86
