X,Y,Z
82.96,-5.22,43.72
82.97,-5.22,43.72
82.97,-5.22,43.72
82.97,-5.22,43.72
82.97,-5.22,43.72
82.97,-5.22,43.72
82.97,-5.22,43.71
82.97,-5.22,43.71
82.97,-5.22,43.72
82.97,-5.22,43.71
82.97,-5.22,43.71
82.97,-5.22,43.71
82.97,-5.22,43.71
82.97,-5.22,43.71
82.97,-5.22,43.71
82.97,-5.22,43.71
82.96,-5.22,43.71
82.96,-5.23,43.71
82.96,-5.23,43.71
82.96,-5.23,43.71
82.97,-5.23,43.71
82.97,-5.23,43.71
82.97,-5.23,43.71
82.97,-5.22,43.71
82.97,-5.22,43.71
82.97,-5.22,43.71
82.97,-5.22,43.71
82.97,-5.22,43.71
82.97,-5.22,43.71
82.96,-5.22,43.72
82.96,-5.21,43.72
82.96,-5.21,43.72
82.96,-5.21,43.72
82.96,-5.21,43.71
82.96,-5.21,43.71
82.96,-5.21,43.71
82.96,-5.21,43.71
82.96,-5.21,43.71
82.96,-5.21,43.71
82.95,-5.21,43.71
82.95,-5.21,43.71
82.94,-5.21,43.71
82.94,-5.21,43.71
82.94,-5.20,43.71
82.94,-5.20,43.71
82.95,-5.20,43.71
82.95,-5.20,43.71
82.95,-5.20,43.70
82.96,-5.20,43.70
82.97,-5.20,43.70
82.96,-5.20,43.70
82.96,-5.20,43.70
82.96,-5.20,43.69
82.96,-5.19,43.69
82.96,-5.19,43.69
82.95,-5.19,43.69
82.95,-5.19,43.69
82.94,-5.19,43.69
82.94,-5.19,43.69
82.94,-5.18,43.69
82.93,-5.18,43.69
82.92,-5.18,43.69
82.92,-5.18,43.69
82.92,-5.18,43.69
82.92,-5.18,43.69
82.92,-5.18,43.69
82.91,-5.18,43.69
82.91,-5.18,43.69
82.91,-5.18,43.69
82.91,-5.18,43.68
82.91,-5.18,43.68
82.91,-5.18,43.68
82.91,-5.18,43.68
82.91,-5.18,43.68
82.91,-5.18,43.68
82.92,-5.18,43.67
82.92,-5.17,43.67
82.92,-5.17,43.67
82.92,-5.17,43.67
82.92,-5.17,43.67
82.91,-5.16,43.67
82.91,-5.16,43.67
82.90,-5.16,43.67
82.89,-5.16,43.67
82.89,-5.16,43.67
82.88,-5.16,43.67
82.88,-5.15,43.67
82.88,-5.15,43.67
82.88,-5.15,43.67
82.87,-5.15,43.67
82.87,-5.15,43.67
82.87,-5.15,43.67
82.87,-5.15,43.67
82.86,-5.14,43.67
82.86,-5.14,43.67
82.85,-5.14,43.68
82.85,-5.14,43.68
82.84,-5.14,43.68
82.83,-5.13,43.68
82.83,-5.13,43.68
82.82,-5.13,43.68
82.82,-5.13,43.68
82.82,-5.13,43.68
82.83,-5.14,43.68
82.83,-5.14,43.68
