X,Y,Z
96.00,-9.46,151.89
95.98,-9.48,151.90
95.96,-9.50,151.90
95.94,-9.52,151.91
95.91,-9.54,151.91
95.90,-9.56,151.92
95.88,-9.58,151.92
95.86,-9.60,151.93
95.83,-9.62,151.93
95.81,-9.64,151.94
95.79,-9.66,151.95
95.76,-9.68,151.95
95.74,-9.70,151.96
95.72,-9.71,151.97
95.70,-9.73,151.97
95.69,-9.74,151.98
95.67,-9.76,151.98
95.66,-9.77,151.99
95.65,-9.78,152.00
95.64,-9.78,152.00
95.63,-9.79,152.00
95.62,-9.80,152.01
95.61,-9.80,152.01
95.61,-9.81,152.02
95.60,-9.82,152.02
95.59,-9.82,152.03
95.59,-9.83,152.03
95.58,-9.83,152.04
95.58,-9.84,152.04
95.57,-9.84,152.04
95.57,-9.84,152.05
95.57,-9.84,152.05
95.58,-9.84,152.05
95.58,-9.84,152.06
95.58,-9.84,152.06
95.58,-9.83,152.07
95.59,-9.83,152.07
95.59,-9.83,152.08
95.60,-9.83,152.08
95.60,-9.82,152.08
95.60,-9.82,152.09
95.61,-9.82,152.09
95.61,-9.82,152.10
95.61,-9.82,152.10
95.61,-9.82,152.10
95.60,-9.83,152.10
95.60,-9.83,152.10
95.59,-9.84,152.11
95.58,-9.84,152.11
95.58,-9.85,152.11
95.58,-9.85,152.12
95.58,-9.85,152.12
95.58,-9.85,152.12
95.58,-9.86,152.12
95.59,-9.86,152.13
95.59,-9.85,152.13
95.59,-9.85,152.13
95.59,-9.85,152.14
95.59,-9.85,152.14
95.60,-9.85,152.14
95.60,-9.85,152.15
95.61,-9.84,152.15
95.62,-9.84,152.16
95.62,-9.83,152.16
95.63,-9.83,152.16
95.64,-9.82,152.17
95.65,-9.82,152.17
95.65,-9.82,152.18
95.65,-9.81,152.18
95.66,-9.81,152.18
95.66,-9.81,152.19
95.67,-9.81,152.19
95.67,-9.81,152.20
95.68,-9.81,152.20
95.69,-9.80,152.21
95.70,-9.80,152.21
95.71,-9.80,152.22
95.72,-9.79,152.22
95.73,-9.78,152.23
95.75,-9.78,152.23
95.76,-9.77,152.24
95.78,-9.76,152.24
95.80,-9.75,152.24
95.82,-9.74,152.25
95.84,-9.73,152.25
95.86,-9.72,152.25
95.89,-9.70,152.25
95.92,-9.69,152.25
95.95,-9.67,152.26
95.98,-9.66,152.26
96.01,-9.64,152.26
96.05,-9.62,152.26
96.08,-9.60,152.26
96.10,-9.59,152.26
96.12,-9.57,152.26
96.15,-9.55,152.26
96.17,-9.54,152.27
96.20,-9.52,152.27
96.22,-9.51,152.27
96.25,-9.49,152.28
96.27,-9.48,152.28
96.30,-9.46,152.28
96.33,-9.44,152.29
96.36,-9.43,152.29
96.39,-9.41,152.29
96.41,-9.40,152.29
96.44,-9.38,152.29
96.47,-9.37,152.30
96.50,-9.36,152.30
96.53,-9.34,152.30
96.57,-9.32,152.30
96.61,-9.31,152.31
96.64,-9.29,152.31
96.68,-9.26,152.31
96.72,-9.24,152.31
96.76,-9.22,152.31
96.80,-9.20,152.31
96.83,-9.18,152.31
96.87,-9.16,152.32
96.92,-9.14,152.32
96.96,-9.12,152.32
97.00,-9.10,152.32
97.04,-9.07,152.32
97.08,-9.05,152.32
97.12,-9.03,152.32
97.16,-9.01,152.32
97.20,-8.99,152.32
97.23,-8.97,152.32
97.26,-8.95,152.32
97.29,-8.94,152.32
97.33,-8.92,152.32
97.36,-8.91,152.32
97.39,-8.89,152.32
97.42,-8.88,152.32
97.45,-8.87,152.32
97.48,-8.85,152.33
97.52,-8.83,152.33
97.54,-8.82,152.33
97.57,-8.81,152.33
97.60,-8.79,152.33
97.63,-8.78,152.33
97.66,-8.77,152.33
97.69,-8.75,152.33
97.72,-8.73,152.33
97.75,-8.72,152.33
97.78,-8.70,152.34
97.82,-8.68,152.34
97.85,-8.66,152.34
97.89,-8.64,152.34
97.92,-8.62,152.34
97.96,-8.60,152.35
97.99,-8.58,152.35
98.03,-8.56,152.35
98.07,-8.54,152.35
98.10,-8.52,152.35
98.14,-8.49,152.36
98.18,-8.47,152.36
98.21,-8.45,152.35
98.25,-8.43,152.36
98.28,-8.41,152.36
98.32,-8.38,152.36
98.35,-8.36,152.36
98.39,-8.34,152.36
98.43,-8.32,152.36
98.47,-8.30,152.36
98.50,-8.28,152.36
98.54,-8.26,152.36
98.58,-8.23,152.36
98.61,-8.21,152.36
98.65,-8.19,152.36
98.68,-8.17,152.36
98.72,-8.15,152.36
98.75,-8.13,152.36
98.79,-8.11,152.36
