X,Y,Z
95.58,-10.59,152.25
95.59,-10.58,152.25
95.60,-10.58,152.25
95.60,-10.57,152.26
95.61,-10.56,152.26
95.62,-10.56,152.26
95.62,-10.55,152.26
95.63,-10.54,152.26
95.64,-10.53,152.27
95.65,-10.53,152.27
95.66,-10.52,152.27
95.67,-10.51,152.27
95.68,-10.50,152.28
95.69,-10.49,152.28
95.70,-10.48,152.28
95.71,-10.46,152.28
95.72,-10.45,152.29
95.73,-10.44,152.29
95.74,-10.42,152.29
95.76,-10.40,152.30
95.78,-10.38,152.30
95.79,-10.36,152.31
95.81,-10.34,152.31
95.83,-10.32,152.31
95.84,-10.29,152.32
95.86,-10.27,152.32
95.87,-10.24,152.32
95.89,-10.22,152.33
95.90,-10.20,152.33
95.92,-10.17,152.33
95.93,-10.15,152.34
95.94,-10.13,152.34
95.96,-10.11,152.34
95.97,-10.09,152.35
95.98,-10.07,152.35
95.98,-10.05,152.36
95.99,-10.04,152.36
96.00,-10.02,152.36
96.01,-10.01,152.36
96.01,-10.00,152.37
96.01,-9.99,152.37
96.01,-9.98,152.37
96.01,-9.98,152.37
96.01,-9.97,152.38
96.01,-9.97,152.38
96.00,-9.96,152.38
96.00,-9.96,152.38
95.99,-9.95,152.39
95.99,-9.95,152.39
95.98,-9.94,152.40
95.98,-9.94,152.40
95.97,-9.94,152.41
95.96,-9.94,152.42
95.94,-9.94,152.42
95.93,-9.94,152.43
95.91,-9.95,152.44
95.89,-9.96,152.46
95.86,-9.97,152.47
95.84,-9.98,152.49
95.81,-9.99,152.51
95.78,-10.01,152.53
95.75,-10.02,152.55
95.71,-10.04,152.58
95.68,-10.05,152.60
95.65,-10.07,152.63
95.62,-10.09,152.65
95.58,-10.11,152.68
95.56,-10.13,152.70
95.53,-10.15,152.73
95.51,-10.17,152.75
95.49,-10.18,152.76
95.48,-10.19,152.77
95.47,-10.21,152.78
95.46,-10.22,152.79
95.45,-10.23,152.80
95.45,-10.23,152.80
95.46,-10.24,152.81
95.46,-10.24,152.81
95.48,-10.24,152.81
95.49,-10.23,152.81
95.51,-10.22,152.81
95.52,-10.21,152.81
95.54,-10.20,152.81
95.55,-10.19,152.81
95.57,-10.18,152.81
95.59,-10.17,152.81
95.60,-10.16,152.81
95.61,-10.15,152.81
95.62,-10.14,152.81
95.64,-10.13,152.81
95.65,-10.12,152.81
95.66,-10.11,152.81
95.68,-10.10,152.81
95.69,-10.09,152.81
95.69,-10.08,152.81
95.70,-10.07,152.81
95.71,-10.06,152.81
95.72,-10.06,152.81
95.73,-10.06,152.81
95.74,-10.05,152.81
95.75,-10.04,152.81
95.76,-10.03,152.81
95.77,-10.02,152.81
95.78,-10.02,152.81
95.79,-10.01,152.81
95.80,-10.01,152.81
95.81,-10.00,152.81
95.82,-10.00,152.81
95.84,-9.99,152.81
95.85,-9.98,152.81
95.86,-9.98,152.81
95.88,-9.97,152.81
95.89,-9.96,152.81
95.91,-9.94,152.81
95.92,-9.93,152.81
95.93,-9.92,152.81
95.95,-9.91,152.81
95.97,-9.90,152.81
95.98,-9.89,152.81
96.00,-9.87,152.81
96.02,-9.86,152.81
96.04,-9.84,152.81
96.05,-9.83,152.81
96.06,-9.81,152.81
96.07,-9.80,152.80
96.08,-9.80,152.80
96.09,-9.79,152.80
96.09,-9.78,152.80
96.10,-9.76,152.81
96.11,-9.75,152.81
96.12,-9.74,152.81
96.13,-9.74,152.81
96.14,-9.73,152.81
96.14,-9.72,152.81
96.14,-9.71,152.81
96.14,-9.71,152.81
96.14,-9.71,152.81
96.15,-9.71,152.82
96.15,-9.70,152.82
96.15,-9.70,152.82
96.16,-9.70,152.82
96.16,-9.69,152.83
96.17,-9.69,152.83
96.18,-9.68,152.83
96.18,-9.67,152.84
96.19,-9.67,152.84
96.19,-9.67,152.84
96.20,-9.66,152.84
96.20,-9.66,152.84
96.20,-9.66,152.85
96.20,-9.65,152.85
96.21,-9.65,152.85
96.21,-9.65,152.85
96.22,-9.65,152.85
96.22,-9.64,152.85
96.22,-9.64,152.86
96.22,-9.64,152.86
96.22,-9.64,152.86
96.22,-9.64,152.86
96.22,-9.64,152.87
96.22,-9.63,152.87
96.22,-9.63,152.88
96.22,-9.63,152.88
96.23,-9.62,152.88
96.24,-9.62,152.88
96.25,-9.61,152.88
96.26,-9.60,152.88
96.27,-9.59,152.88
96.29,-9.58,152.89
96.30,-9.57,152.89
96.31,-9.56,152.89
96.32,-9.55,152.89
96.34,-9.54,152.89
96.35,-9.53,152.89
96.36,-9.52,152.89
96.38,-9.51,152.89
96.40,-9.50,152.89
96.42,-9.49,152.89
96.44,-9.47,152.89
96.46,-9.46,152.89
96.48,-9.45,152.90
96.49,-9.43,152.90
96.51,-9.42,152.90
96.53,-9.41,152.90
96.55,-9.40,152.90
96.57,-9.39,152.90
96.59,-9.37,152.90
96.62,-9.35,152.90
96.64,-9.34,152.89
96.67,-9.32,152.89
96.70,-9.30,152.89
96.72,-9.28,152.89
96.76,-9.26,152.89
96.79,-9.24,152.89
96.83,-9.22,152.89
96.86,-9.19,152.88
96.90,-9.17,152.88
96.95,-9.14,152.87
96.99,-9.11,152.87
97.03,-9.09,152.86
97.07,-9.06,152.86
97.11,-9.04,152.85
97.14,-9.01,152.85
97.18,-8.98,152.84
97.22,-8.95,152.84
97.26,-8.92,152.83
97.30,-8.89,152.83
97.35,-8.85,152.82
97.39,-8.82,152.82
97.44,-8.78,152.81
97.49,-8.74,152.81
97.53,-8.70,152.80
97.57,-8.66,152.80
97.60,-8.63,152.79
97.64,-8.59,152.79
97.67,-8.56,152.78
97.70,-8.53,152.78
97.73,-8.50,152.77
97.77,-8.47,152.77
97.80,-8.43,152.76
97.83,-8.40,152.75
97.86,-8.37,152.75
97.89,-8.34,152.74
97.93,-8.31,152.74
97.95,-8.28,152.73
97.98,-8.25,152.72
98.00,-8.23,152.72
98.02,-8.20,152.71
98.04,-8.18,152.70
98.06,-8.16,152.69
98.08,-8.14,152.68
98.10,-8.12,152.68
98.11,-8.09,152.67
98.13,-8.07,152.66
98.14,-8.05,152.65
98.15,-8.03,152.65
98.16,-8.01,152.64
98.17,-8.00,152.63
98.19,-7.98,152.62
98.20,-7.96,152.60
98.22,-7.93,152.59
98.23,-7.91,152.58
98.23,-7.90,152.57
98.23,-7.88,152.56
98.24,-7.87,152.56
98.24,-7.85,152.55
98.24,-7.84,152.54
98.25,-7.82,152.53
98.25,-7.80,152.52
98.26,-7.79,152.51
98.26,-7.77,152.50
98.26,-7.76,152.49
98.26,-7.75,152.48
98.25,-7.74,152.47
98.23,-7.73,152.46
98.22,-7.73,152.45
98.21,-7.72,152.45
98.20,-7.72,152.44
98.20,-7.71,152.43
98.19,-7.70,152.42
98.18,-7.70,152.41
98.16,-7.69,152.40
98.15,-7.68,152.40
98.14,-7.67,152.39
98.13,-7.66,152.39
98.12,-7.64,152.38
98.11,-7.62,152.38
98.10,-7.60,152.37
98.09,-7.58,152.37
98.08,-7.56,152.36
98.06,-7.54,152.36
98.05,-7.52,152.35
98.03,-7.51,152.35
98.01,-7.50,152.35
97.99,-7.50,152.35
97.97,-7.50,152.34
97.94,-7.51,152.34
97.91,-7.53,152.34
97.87,-7.57,152.33
97.84,-7.62,152.33
97.80,-7.68,152.33
97.76,-7.74,152.32
97.73,-7.81,152.31
97.70,-7.87,152.30
97.67,-7.93,152.30
97.65,-7.98,152.29
97.62,-8.02,152.28
97.59,-8.06,152.28
97.56,-8.09,152.28
97.52,-8.12,152.27
97.49,-8.14,152.27
97.46,-8.15,152.27
97.43,-8.17,152.27
97.41,-8.17,152.28
97.39,-8.18,152.28
97.38,-8.18,152.28
97.36,-8.18,152.27
97.35,-8.19,152.27
97.33,-8.19,152.27
97.30,-8.20,152.27
97.28,-8.20,152.27
97.25,-8.22,152.28
97.21,-8.23,152.28
97.18,-8.26,152.29
97.14,-8.31,152.29
97.11,-8.36,152.29
97.07,-8.43,152.29
97.03,-8.51,152.29
97.00,-8.60,152.29
96.96,-8.69,152.29
96.93,-8.78,152.29
96.89,-8.88,152.28
96.85,-8.97,152.28
96.80,-9.07,152.28
96.75,-9.16,152.28
96.71,-9.26,152.28
96.66,-9.35,152.28
96.62,-9.45,152.28
96.57,-9.53,152.28
96.53,-9.62,152.28
96.49,-9.70,152.28
96.45,-9.77,152.28
96.41,-9.83,152.28
96.37,-9.89,152.28
96.33,-9.94,152.28
96.29,-9.99,152.28
96.26,-10.04,152.28
96.23,-10.08,152.28
96.19,-10.12,152.28
96.16,-10.17,152.28
96.13,-10.21,152.28
96.11,-10.25,152.29
96.08,-10.28,152.29
96.06,-10.32,152.29
96.04,-10.35,152.29
96.01,-10.38,152.29
95.98,-10.41,152.29
95.96,-10.43,152.29
95.93,-10.46,152.28
95.91,-10.49,152.28
95.89,-10.51,152.29
95.87,-10.53,152.29
95.85,-10.56,152.29
95.82,-10.60,152.30
95.79,-10.65,152.30
95.75,-10.71,152.30
95.71,-10.76,152.30
95.68,-10.80,152.30
95.66,-10.84,152.30
95.64,-10.87,152.30
95.60,-10.90,152.30
95.56,-10.94,152.30
95.51,-10.99,152.31
95.45,-11.04,152.32
95.38,-11.10,152.32
95.30,-11.18,152.33
95.20,-11.28,152.34
95.09,-11.38,152.34
94.98,-11.49,152.36
94.88,-11.60,152.37
94.80,-11.70,152.39
94.74,-11.79,152.40
94.70,-11.86,152.42
94.67,-11.91,152.44
94.66,-11.95,152.46
94.67,-11.98,152.47
94.68,-11.99,152.48
94.70,-11.99,152.50
94.73,-11.99,152.51
94.76,-11.99,152.52
94.80,-11.96,152.52
94.85,-11.92,152.52
94.90,-11.87,152.52
94.95,-11.82,152.52
95.00,-11.76,152.52
95.05,-11.71,152.52
95.09,-11.67,152.53
95.13,-11.62,152.53
95.17,-11.58,152.53
95.22,-11.54,152.53
95.26,-11.50,152.53
95.29,-11.46,152.53
95.33,-11.43,152.53
95.37,-11.39,152.53
95.40,-11.35,152.53
95.44,-11.31,152.52
95.47,-11.27,152.52
95.50,-11.24,152.52
95.52,-11.21,152.52
95.55,-11.19,152.52
95.57,-11.16,152.52
95.60,-11.13,152.52
95.63,-11.11,152.52
95.65,-11.08,152.52
95.67,-11.06,152.53
95.69,-11.03,152.53
95.71,-11.01,152.53
95.73,-10.99,152.53
95.74,-10.97,152.54
95.76,-10.95,152.54
95.77,-10.94,152.55
95.77,-10.93,152.55
95.77,-10.91,152.56
95.77,-10.90,152.57
95.76,-10.89,152.58
95.75,-10.88,152.59
95.74,-10.88,152.60
95.73,-10.87,152.62
95.72,-10.86,152.63
95.72,-10.85,152.64
95.73,-10.83,152.65
95.74,-10.82,152.66
95.75,-10.80,152.67
95.76,-10.78,152.68
95.78,-10.76,152.69
95.81,-10.75,152.70
95.83,-10.72,152.71
95.87,-10.70,152.72
95.90,-10.67,152.72
95.93,-10.65,152.73
95.97,-10.62,152.74
96.00,-10.59,152.74
96.04,-10.56,152.75
96.08,-10.54,152.75
96.12,-10.51,152.75
96.16,-10.47,152.76
96.21,-10.44,152.76
96.26,-10.41,152.77
96.31,-10.37,152.77
96.36,-10.34,152.77
96.41,-10.30,152.77
96.47,-10.27,152.77
96.53,-10.23,152.77
96.59,-10.19,152.77
96.65,-10.15,152.77
96.70,-10.12,152.77
96.75,-10.08,152.77
96.81,-10.04,152.77
96.86,-10.00,152.77
96.92,-9.96,152.77
96.97,-9.92,152.77
97.04,-9.87,152.77
97.10,-9.83,152.76
97.17,-9.78,152.76
97.24,-9.73,152.76
97.31,-9.68,152.76
97.38,-9.63,152.76
97.46,-9.58,152.75
97.52,-9.52,152.75
97.59,-9.47,152.74
97.66,-9.43,152.74
97.73,-9.38,152.74
97.80,-9.33,152.74
97.87,-9.28,152.73
97.94,-9.23,152.73
98.01,-9.18,152.73
98.07,-9.13,152.72
98.13,-9.08,152.72
98.18,-9.03,152.71
98.24,-8.99,152.71
98.30,-8.93,152.70
98.37,-8.87,152.69
98.44,-8.81,152.69
98.52,-8.75,152.68
98.60,-8.69,152.67
98.67,-8.63,152.66
98.74,-8.57,152.65
98.80,-8.51,152.64
98.88,-8.45,152.63
98.95,-8.39,152.63
99.03,-8.32,152.61
99.11,-8.25,152.60
99.19,-8.17,152.58
99.26,-8.10,152.57
99.33,-8.04,152.55
99.38,-7.98,152.54
99.42,-7.94,152.52
99.45,-7.89,152.50
99.48,-7.85,152.49
99.52,-7.81,152.47
99.55,-7.77,152.45
99.58,-7.74,152.44
99.60,-7.71,152.42
99.62,-7.68,152.40
99.63,-7.67,152.39
99.63,-7.66,152.37
99.63,-7.67,152.36
99.61,-7.68,152.34
99.58,-7.70,152.33
99.55,-7.73,152.31
99.51,-7.76,152.30
99.47,-7.80,152.29
99.42,-7.84,152.28
99.37,-7.90,152.27
99.32,-7.95,152.26
99.29,-8.01,152.25
99.26,-8.08,152.24
99.24,-8.16,152.24
99.23,-8.25,152.23
99.22,-8.35,152.22
99.20,-8.47,152.21
99.18,-8.59,152.20
99.16,-8.70,152.20
99.14,-8.80,152.18
99.12,-8.90,152.17
99.10,-8.98,152.16
99.09,-9.05,152.14
99.06,-9.10,152.12
99.04,-9.14,152.10
99.02,-9.18,152.09
98.98,-9.22,152.08
98.94,-9.27,152.07
98.89,-9.32,152.05
98.83,-9.38,152.03
98.76,-9.42,152.00
98.70,-9.45,151.95
98.63,-9.47,151.91
98.56,-9.48,151.87
98.48,-9.49,151.84
98.40,-9.51,151.81
98.31,-9.53,151.78
98.22,-9.54,151.76
98.14,-9.56,151.73
98.07,-9.56,151.71
97.99,-9.56,151.69
97.92,-9.56,151.67
97.85,-9.57,151.66
97.79,-9.58,151.65
97.73,-9.60,151.65
97.67,-9.61,151.65
97.62,-9.62,151.64
97.57,-9.62,151.64
97.53,-9.62,151.64
97.48,-9.62,151.64
97.43,-9.62,151.64
97.37,-9.62,151.63
97.31,-9.62,151.63
97.25,-9.62,151.62
97.18,-9.61,151.61
97.12,-9.60,151.60
97.05,-9.58,151.60
96.98,-9.56,151.59
96.90,-9.53,151.59
96.84,-9.50,151.59
96.78,-9.47,151.60
96.71,-9.43,151.60
96.65,-9.39,151.60
96.60,-9.34,151.60
96.54,-9.28,151.60
96.48,-9.22,151.60
96.42,-9.15,151.61
96.37,-9.09,151.63
96.31,-9.02,151.65
96.25,-8.96,151.67
96.21,-8.91,151.70
96.16,-8.85,151.74
96.13,-8.78,151.77
