X,Y,Z
69.43,41.55,184.60
68.65,40.97,184.13
68.11,40.00,183.90
67.85,38.70,183.91
67.87,37.10,184.14
68.05,35.30,184.51
68.29,33.45,184.92
68.52,31.68,185.35
68.68,30.06,185.75
68.75,28.66,186.12
68.72,27.49,186.46
68.60,26.45,186.76
68.41,25.46,187.03
68.16,24.42,187.28
67.89,23.29,187.54
67.68,22.04,187.85
67.56,20.61,188.26
67.54,19.01,188.76
67.62,17.21,189.34
67.75,15.25,189.93
67.85,13.21,190.48
67.83,11.27,190.96
67.63,9.62,191.37
67.27,8.44,191.69
66.83,7.71,191.96
66.41,7.31,192.22
66.10,7.07,192.49
65.97,6.83,192.79
66.02,6.54,193.16
66.16,6.18,193.57
66.27,5.83,194.03
66.31,5.60,194.51
66.29,5.58,194.98
66.26,5.79,195.39
66.28,6.23,195.73
66.36,6.82,195.96
66.53,7.55,196.08
66.82,8.44,196.08
67.21,9.48,195.99
67.64,10.66,195.80
68.34,11.60,195.63
69.35,11.55,195.86
70.13,11.16,196.14
70.33,10.70,196.13
70.23,10.27,195.93
70.51,10.08,195.87
70.90,10.19,195.81
71.06,10.57,195.58
71.30,11.14,195.34
71.65,11.74,195.17
71.89,12.21,194.98
72.10,12.52,194.81
72.27,12.67,194.69
72.41,12.72,194.60
72.57,12.73,194.54
72.71,12.75,194.46
72.85,12.77,194.37
73.02,12.81,194.27
73.20,12.86,194.16
73.38,12.92,194.04
73.58,12.99,193.92
73.78,13.08,193.80
73.98,13.17,193.68
74.18,13.26,193.56
74.37,13.35,193.46
74.54,13.41,193.36
74.68,13.45,193.28
74.80,13.47,193.21
74.91,13.51,193.16
75.01,13.56,193.10
75.08,13.64,193.05
75.14,13.75,193.01
75.18,13.90,192.97
75.21,14.07,192.94
75.21,14.27,192.92
75.19,14.51,192.91
75.15,14.77,192.91
75.10,15.06,192.93
75.03,15.37,192.95
74.93,15.70,192.97
74.83,16.05,193.00
74.73,16.41,193.02
74.63,16.80,193.05
74.53,17.19,193.07
74.44,17.59,193.08
74.35,17.99,193.08
74.27,18.37,193.08
74.21,18.74,193.07
74.15,19.09,193.05
74.12,19.43,193.02
74.10,19.74,193.00
74.08,20.02,192.95
74.06,20.28,192.90
74.06,20.50,192.85
74.06,20.69,192.81
74.05,20.84,192.76
74.05,20.95,192.72
74.05,21.01,192.68
74.06,21.05,192.64
74.09,21.06,192.60
74.15,21.05,192.55
74.23,21.03,192.47
74.33,21.00,192.38
74.44,20.97,192.27
74.55,20.95,192.15
74.69,20.96,192.02
74.83,21.03,191.87
74.96,21.17,191.70
75.10,21.40,191.52
75.24,21.73,191.33
75.35,22.18,191.12
75.45,22.76,190.90
75.50,23.47,190.68
75.52,24.28,190.48
75.50,25.19,190.33
75.42,26.22,190.22
75.33,27.39,190.20
75.26,28.71,190.24
75.21,30.20,190.32
75.19,31.85,190.37
75.14,33.69,190.31
75.01,35.72,190.14
74.72,37.91,189.86
74.21,40.20,189.45
