X,Y,Z
78.56,-1.20,9.00
78.36,-1.01,8.96
78.22,-0.72,8.94
78.08,-0.33,8.91
78.04,0.12,8.89
78.05,0.60,8.88
78.05,1.11,8.86
78.10,1.67,8.84
78.17,2.27,8.83
78.26,2.95,8.81
78.40,3.72,8.78
78.56,4.62,8.75
78.75,5.66,8.71
78.98,6.87,8.66
79.28,8.28,8.63
79.66,9.84,8.59
80.03,11.49,8.54
80.40,13.19,8.48
80.80,14.97,8.43
81.24,16.79,8.40
81.65,18.58,8.36
82.13,20.36,8.35
82.64,22.08,8.37
83.16,23.84,8.40
83.68,25.75,8.44
84.10,27.72,8.49
84.38,29.71,8.54
84.48,31.67,8.56
84.42,33.55,8.50
84.17,35.16,8.31
83.86,36.25,8.00
83.60,36.64,7.63
83.45,36.49,7.31
83.34,35.98,7.08
83.23,35.21,6.94
83.10,34.29,6.88
82.95,33.25,6.89
82.78,32.13,6.93
82.57,30.97,7.00
82.30,29.79,7.08
81.98,28.57,7.19
81.62,27.30,7.32
81.22,25.96,7.47
80.81,24.56,7.65
80.37,23.12,7.86
79.89,21.66,8.11
79.35,20.20,8.40
78.75,18.78,8.74
78.09,17.42,9.12
77.43,16.18,9.52
76.77,15.09,9.93
76.15,14.21,10.34
75.58,13.56,10.76
75.11,13.10,11.18
74.83,12.71,11.62
74.81,12.27,12.07
75.05,11.72,12.54
75.49,11.06,13.00
76.01,10.32,13.44
76.50,9.61,13.81
76.88,9.01,14.09
77.11,8.59,14.27
77.24,8.36,14.35
77.34,8.33,14.35
77.47,8.49,14.31
77.68,8.87,14.26
77.98,9.48,14.24
78.36,10.34,14.31
78.79,11.49,14.37
79.63,12.45,14.31
80.62,12.60,14.41
81.28,12.09,14.56
81.40,11.32,14.55
81.29,10.54,14.49
81.31,9.89,14.52
81.43,9.58,14.57
81.48,9.51,14.56
81.62,9.56,14.55
81.82,9.55,14.58
81.92,9.43,14.57
82.00,9.26,14.54
82.09,9.06,14.52
82.15,8.84,14.50
82.21,8.62,14.48
82.28,8.42,14.46
82.32,8.27,14.42
82.39,8.16,14.38
82.46,8.08,14.33
82.52,8.03,14.29
82.58,8.02,14.24
82.61,8.07,14.19
82.62,8.17,14.17
82.61,8.30,14.17
82.58,8.43,14.18
82.53,8.56,14.21
82.46,8.71,14.26
82.41,8.88,14.31
82.37,9.08,14.35
82.35,9.33,14.39
82.36,9.60,14.43
82.39,9.88,14.45
82.43,10.16,14.46
82.48,10.43,14.47
82.54,10.66,14.48
82.61,10.84,14.49
82.69,10.98,14.48
82.79,11.06,14.47
82.91,11.13,14.44
83.05,11.18,14.39
83.23,11.25,14.31
83.43,11.32,14.23
83.62,11.40,14.14
83.80,11.45,14.06
83.95,11.48,13.98
84.08,11.49,13.92
84.15,11.48,13.87
84.20,11.45,13.84
84.22,11.39,13.82
84.20,11.33,13.80
84.18,11.25,13.79
84.16,11.18,13.78
84.15,11.12,13.76
84.16,11.08,13.73
84.19,11.08,13.70
84.24,11.12,13.67
84.31,11.24,13.63
84.41,11.43,13.58
84.52,11.71,13.53
84.64,12.08,13.49
84.76,12.54,13.45
84.89,13.10,13.44
85.04,13.77,13.43
85.17,14.57,13.42
85.29,15.53,13.41
85.41,16.68,13.44
85.54,18.06,13.52
85.60,19.70,13.60
85.52,21.62,13.65
85.29,23.83,13.68
85.02,26.28,13.71
84.78,28.91,13.75
84.65,31.67,13.85
84.54,34.50,13.96
84.38,37.38,14.08
84.06,40.24,14.23
83.57,43.06,14.35
82.90,45.84,14.35
81.99,48.56,14.19
80.92,51.17,13.95
79.32,53.64,13.28
77.61,55.41,12.39
76.75,56.15,12.21
76.81,56.00,12.80
77.85,55.04,13.99
79.65,53.54,15.53
81.75,51.72,17.05
83.80,49.75,18.32
85.60,47.77,19.23
87.09,45.87,19.80
88.27,44.11,20.07
89.11,42.49,20.08
89.58,40.97,19.86
89.70,39.47,19.44
89.50,37.94,18.85
89.06,36.29,18.13
88.45,34.49,17.38
87.67,32.52,16.61
86.90,30.45,15.91
86.25,28.32,15.35
85.77,26.16,14.94
85.50,24.00,14.67
85.44,21.88,14.50
85.55,19.81,14.42
85.77,17.81,14.38
86.02,15.92,14.38
86.22,14.14,14.40
86.26,12.49,14.41
86.13,11.01,14.40
85.82,9.72,14.36
85.36,8.61,14.32
84.80,7.66,14.34
84.17,6.80,14.45
83.52,5.94,14.66
82.91,5.06,14.97
82.43,4.19,15.38
82.10,3.40,15.86
81.96,2.79,16.39
82.01,2.42,16.97
82.12,2.21,17.57
82.21,2.03,18.17
82.22,1.82,18.73
82.18,1.59,19.22
82.15,1.47,19.62
82.17,1.61,19.92
82.25,2.11,20.11
82.36,2.97,20.21
82.43,4.14,20.23
82.55,5.66,19.96
83.41,6.64,19.51
84.57,6.66,19.36
85.77,6.18,19.31
86.21,5.44,19.06
86.31,4.92,18.68
86.63,4.61,18.51
87.05,4.42,18.45
87.28,4.43,18.33
