X,Y,Z
81.39,-7.49,221.87
81.36,-7.48,221.88
81.36,-7.46,221.87
81.38,-7.43,221.87
81.40,-7.39,221.86
81.43,-7.36,221.85
81.47,-7.31,221.84
81.53,-7.27,221.82
81.59,-7.21,221.80
81.67,-7.15,221.78
81.76,-7.09,221.76
81.85,-7.03,221.74
81.94,-6.97,221.71
82.03,-6.90,221.69
82.13,-6.83,221.66
82.23,-6.75,221.64
82.35,-6.65,221.61
82.46,-6.55,221.58
82.56,-6.44,221.55
82.65,-6.32,221.53
82.74,-6.21,221.51
82.83,-6.09,221.49
82.93,-5.97,221.47
83.03,-5.85,221.45
83.13,-5.73,221.43
83.24,-5.60,221.41
83.34,-5.47,221.39
83.44,-5.34,221.37
83.54,-5.20,221.35
83.64,-5.07,221.34
83.74,-4.92,221.32
83.85,-4.77,221.31
83.96,-4.61,221.29
84.07,-4.44,221.28
84.19,-4.26,221.26
84.31,-4.07,221.25
84.44,-3.86,221.22
84.57,-3.64,221.20
84.69,-3.38,221.18
84.82,-3.10,221.16
84.94,-2.80,221.13
85.06,-2.46,221.10
85.20,-2.07,221.06
85.35,-1.63,221.02
85.50,-1.14,220.98
85.64,-0.61,220.93
85.80,-0.04,220.88
85.95,0.58,220.83
86.09,1.25,220.80
86.22,1.97,220.76
86.33,2.75,220.73
86.45,3.57,220.70
86.58,4.46,220.68
86.75,5.41,220.66
86.94,6.45,220.63
87.15,7.56,220.58
87.41,8.74,220.55
87.69,10.00,220.51
87.98,11.34,220.48
88.29,12.76,220.46
88.61,14.26,220.43
88.94,15.86,220.38
89.29,17.56,220.30
89.62,19.37,220.17
89.93,21.30,219.99
90.25,23.33,219.73
90.55,25.47,219.39
90.80,27.70,218.93
90.95,29.99,218.35
90.96,32.27,217.63
90.84,34.48,216.80
90.56,36.56,215.85
90.20,38.55,214.76
89.88,40.49,213.56
89.65,42.41,212.27
89.68,44.48,211.11
89.66,46.16,210.20
89.28,47.04,209.49
88.57,47.12,208.89
88.03,46.62,208.67
87.85,45.77,208.82
88.03,44.74,209.27
88.42,43.64,209.92
88.94,42.51,210.68
89.49,41.38,211.52
89.96,40.26,212.36
90.31,39.14,213.14
90.48,38.02,213.84
90.46,36.89,214.42
90.31,35.74,214.93
90.12,34.51,215.41
89.96,33.12,215.91
89.86,31.57,216.41
89.81,29.82,216.92
89.80,27.93,217.46
89.78,25.95,218.00
89.70,23.93,218.54
89.54,21.90,219.08
89.31,19.89,219.62
89.02,17.90,220.18
88.71,15.94,220.80
88.39,13.99,221.50
88.10,12.06,222.30
87.83,10.15,223.20
87.58,8.30,224.19
87.32,6.56,225.27
87.04,4.96,226.42
86.75,3.53,227.64
86.51,2.20,228.91
86.36,0.90,230.19
86.32,-0.35,231.41
86.36,-1.45,232.50
86.40,-2.27,233.35
86.38,-2.75,233.94
86.32,-2.90,234.28
86.17,-2.80,234.41
85.99,-2.48,234.37
85.82,-1.91,234.19
85.78,-1.31,233.41
86.59,-0.85,232.45
87.46,-1.01,231.89
87.95,-1.34,231.37
88.33,-1.42,231.01
88.64,-1.43,230.90
88.71,-1.54,230.92
88.68,-1.71,231.10
88.58,-1.86,231.32
88.48,-2.00,231.48
88.50,-2.08,231.56
88.60,-2.10,231.58
88.73,-2.07,231.58
88.83,-2.02,231.59
88.89,-1.97,231.63
88.91,-1.90,231.69
88.91,-1.79,231.75
88.90,-1.66,231.80
88.90,-1.48,231.84
88.92,-1.28,231.88
88.95,-1.05,231.91
88.99,-0.81,231.94
89.03,-0.56,231.98
89.07,-0.31,232.02
89.12,-0.07,232.04
89.19,0.18,232.06
89.28,0.43,232.07
89.38,0.69,232.07
89.50,0.96,232.07
89.62,1.22,232.07
89.75,1.49,232.07
89.88,1.76,232.08
90.00,2.02,232.10
90.11,2.26,232.13
90.21,2.51,232.16
90.31,2.76,232.18
90.42,3.01,232.20
90.53,3.27,232.22
90.64,3.53,232.24
90.76,3.79,232.25
90.88,4.06,232.25
91.01,4.33,232.26
91.13,4.58,232.28
91.26,4.81,232.31
91.39,5.05,232.34
91.53,5.28,232.37
91.68,5.52,232.39
91.85,5.76,232.40
92.03,6.00,232.42
92.22,6.24,232.44
92.43,6.50,232.46
92.64,6.78,232.49
92.86,7.09,232.52
93.09,7.45,232.57
93.31,7.87,232.64
93.51,8.35,232.73
93.70,8.91,232.86
93.90,9.55,233.01
94.11,10.28,233.19
94.34,11.13,233.39
94.59,12.09,233.59
94.82,13.17,233.80
95.06,14.40,234.01
95.32,15.79,234.23
95.57,17.37,234.45
95.81,19.14,234.66
96.02,21.11,234.84
96.17,23.26,234.98
96.28,25.61,235.07
96.32,28.13,235.09
96.27,30.77,235.03
96.18,33.46,234.88
96.07,36.15,234.66
95.82,38.76,234.34
95.40,41.21,233.86
94.85,43.56,233.18
94.04,45.87,232.17
92.76,48.11,230.64
90.71,50.31,228.39
87.94,52.01,225.78
84.83,52.68,223.21
82.09,52.42,221.07
80.31,51.68,219.71
79.58,50.76,219.14
79.67,49.79,219.24
80.15,48.75,219.72
80.74,47.65,220.45
81.26,46.51,221.30
81.65,45.33,222.21
81.91,44.13,223.15
82.08,42.88,224.09
82.22,41.56,225.04
82.39,40.13,226.02
82.64,38.57,227.04
82.97,36.85,228.09
83.36,34.96,229.15
83.74,32.89,230.15
