X,Y,Z
88.13,10.82,271.73
88.10,10.89,271.67
88.07,10.97,271.61
88.04,11.05,271.55
88.01,11.15,271.49
87.97,11.24,271.42
87.93,11.35,271.35
87.89,11.46,271.28
87.85,11.58,271.22
87.81,11.70,271.15
87.77,11.82,271.10
87.73,11.95,271.04
87.68,12.09,270.99
87.63,12.24,270.93
87.59,12.39,270.88
87.55,12.56,270.83
87.50,12.73,270.79
87.46,12.90,270.74
87.42,13.08,270.70
87.37,13.27,270.65
87.34,13.47,270.61
87.30,13.67,270.57
87.27,13.87,270.54
87.24,14.07,270.50
87.20,14.28,270.46
87.16,14.50,270.43
87.10,14.71,270.40
87.04,14.91,270.37
86.97,15.10,270.36
86.90,15.28,270.37
86.81,15.44,270.38
86.74,15.58,270.41
86.66,15.70,270.46
86.59,15.80,270.51
86.53,15.86,270.58
86.47,15.90,270.63
86.43,15.90,270.68
86.41,15.88,270.71
86.39,15.85,270.72
86.37,15.79,270.71
86.36,15.72,270.68
86.36,15.65,270.65
86.36,15.56,270.62
86.36,15.48,270.58
86.36,15.39,270.54
86.35,15.30,270.50
86.35,15.22,270.46
86.36,15.15,270.42
86.36,15.09,270.38
86.37,15.05,270.33
86.39,15.03,270.27
86.42,15.04,270.20
86.44,15.07,270.13
86.46,15.11,270.06
86.48,15.18,269.99
86.51,15.26,269.92
86.55,15.37,269.84
86.59,15.51,269.74
86.64,15.67,269.65
86.70,15.86,269.55
86.76,16.06,269.45
86.83,16.28,269.35
86.90,16.51,269.25
86.98,16.75,269.15
87.06,16.99,269.05
87.15,17.25,268.95
87.24,17.52,268.84
87.34,17.81,268.73
87.44,18.12,268.62
87.54,18.45,268.51
87.64,18.80,268.39
87.75,19.18,268.28
87.85,19.59,268.18
87.97,20.02,268.10
88.10,20.48,268.03
88.23,20.97,267.96
88.38,21.49,267.89
88.54,22.07,267.81
88.72,22.70,267.73
88.90,23.40,267.62
89.10,24.18,267.49
89.30,25.06,267.32
89.48,26.04,267.10
89.65,27.15,266.84
89.81,28.39,266.53
89.95,29.77,266.16
90.04,31.31,265.71
90.04,33.02,265.18
89.90,34.90,264.54
89.59,36.94,263.78
89.10,39.09,262.90
88.42,41.32,261.88
87.55,43.53,260.70
86.51,45.64,259.36
85.29,47.60,257.87
83.87,49.46,256.14
82.27,51.23,254.13
80.60,52.93,251.88
79.19,54.68,249.71
78.24,56.34,248.07
77.58,57.33,247.14
77.27,57.57,246.93
77.50,57.28,247.42
78.29,56.69,248.47
79.47,55.96,249.85
80.75,55.15,251.35
81.87,54.30,252.78
82.70,53.43,254.06
83.21,52.54,255.14
83.36,51.60,255.98
83.12,50.61,256.55
82.65,49.56,256.97
82.06,48.42,257.31
81.47,47.12,257.65
80.96,45.63,258.02
80.54,43.95,258.48
80.22,42.07,259.03
79.98,40.06,259.68
79.75,37.94,260.41
79.51,35.78,261.21
79.27,33.61,262.10
79.07,31.47,263.07
78.96,29.38,264.14
78.95,27.35,265.33
79.03,25.37,266.63
79.19,23.46,268.04
79.40,21.64,269.50
79.61,19.94,270.97
79.78,18.36,272.36
79.91,16.88,273.63
80.00,15.44,274.75
80.11,14.04,275.68
80.26,12.72,276.42
80.44,11.58,276.93
80.59,10.71,277.22
80.65,10.14,277.36
